CODIGO;VIVIENDA TURISTICA;PLAZAS;PLAZA POR VIVIENDA TURISTICA;PORCENTAJE VIVIENDA TURISTICA;PROV;PROV_LITERAL;MUN;MUN_LITERAL
0105101003;2;5;2,5;0,3;01;Araba/Álava;01051;Salvatierra/Agurain
0105201001;3;23;7,7;1,2;01;Araba/Álava;01052;Samaniego
0105301001;5;35;7,0;1,2;01;Araba/Álava;01053;San Millán/Donemiliaga
0105401001;2;11;5,5;0,3;01;Araba/Álava;01054;Urkabustaiz
0105501001;7;56;8,0;0,7;01;Araba/Álava;01055;Valdegovía/Gaubea
0105601001;0;0;;0,0;01;Araba/Álava;01056;Harana/Valle de Arana
0105701001;1;7;7,0;0,4;01;Araba/Álava;01057;Villabuena de Álava/Eskuernaga
0105801001;5;20;4,0;0,5;01;Araba/Álava;01058;Legutio
0105901001;4;10;2,5;1,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901002;3;11;3,7;0,8;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901003;5;13;2,6;0,8;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901004;1;2;2,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901005;3;13;4,3;0,6;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901007;1;2;2,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901008;3;10;3,3;0,5;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901009;2;7;3,5;0,7;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901010;2;9;4,5;0,5;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901011;2;10;5,0;0,5;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901012;7;33;4,7;1,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901013;3;6;2,0;0,7;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901014;2;7;3,5;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901015;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901016;3;10;3,3;0,5;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901017;1;2;2,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901018;3;10;3,3;0,4;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901019;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901020;2;4;2,0;0,4;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901021;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901022;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901023;2;8;4,0;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901024;1;5;5,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901025;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901026;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901027;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901028;1;4;4,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901029;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901030;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901031;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901032;2;4;2,0;0,4;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901033;1;2;2,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901034;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901035;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901036;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901037;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901038;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105901039;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902001;3;10;3,3;0,4;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902002;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902003;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902004;1;4;4,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902005;2;6;3,0;0,4;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902006;1;1;1,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902007;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902008;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902009;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902010;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902011;1;4;4,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902012;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902013;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902014;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902015;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902016;1;4;4,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902017;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902018;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902019;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902020;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902021;1;1;1,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902022;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902023;2;7;3,5;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902024;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902025;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902026;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902027;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902028;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902029;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902030;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902031;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902032;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902033;1;2;2,0;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902034;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902035;1;4;4,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902036;1;4;4,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902037;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902038;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902039;1;4;4,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902040;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902041;2;5;2,5;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902042;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902043;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105902044;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903001;1;3;3,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903002;1;2;2,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903003;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903004;2;9;4,5;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903005;1;4;4,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903006;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903007;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903008;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
