,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,photos,opening_hours.open_now,permanently_closed
23,OPERATIONAL,"Carrer de Muntaner, 476 principal, 08006 Barcelona, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulari Tagore SL,ChIJtZPwT3SYpBIRmjGglN7EGPk,4.3,ChIJtZPwT3SYpBIRmjGglN7EGPk,"['school', 'point_of_interest', 'establishment']",6,41.402576,2.138433,41.40389592989273,2.139743129892722,41.40119627010728,2.137043470107277,"C43Q+29 Barcelona, Spain",8FH4C43Q+29,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104976629734972124657"">A Google User</a>'], 'photo_reference': 'Aap_uEBZDMVPKZwWGOj7A4GLyxVhJaRNAA0aNIhKQSJ8BVYyyjDbknMTSkh7T2ha_A7BTIU3LQ0sUYaWuJMwgnTr67l5jH8GM9h4zSTxhscAUwiypZfEZzHf7QXTXXwn3Z3pDwjsfcIYNwMtJ4lg4MkT1O-eC0EqsLB58IpIUa3Qz8imw86y', 'width': 1024}]",False,
24,OPERATIONAL,"Carrer Sogorb, 25, 46520 Port de Sagunt, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Escuela Infantil Petitons,ChIJ6dUMdQYWYA0RVG2N11L5qVA,5.0,ChIJ6dUMdQYWYA0RVG2N11L5qVA,"['school', 'point_of_interest', 'establishment']",1,39.6605092,-0.2198507,39.66188707989272,-0.2184761201072778,39.65918742010728,-0.2211757798927222,"MQ6J+63 Port de Sagunt, Spain",8CFXMQ6J+63,,,
25,OPERATIONAL,"C/ de la Nena Casas, 36, 08017 Barcelona, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Nins J.infancia Parvulario,ChIJhRkKv26YpBIRQ074Jj0hItU,0.0,ChIJhRkKv26YpBIRQ074Jj0hItU,"['school', 'point_of_interest', 'establishment']",0,41.3954051,2.1313646,41.39675457989271,2.132714829892723,41.39405492010727,2.130015170107278,"94WJ+5G Barcelona, Spain",8FH494WJ+5G,,,
26,OPERATIONAL,"Av. de Valencia, 9, 46670 La Pobla Llarga, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,"Guarderia Infantil Laboral el Castell, La Pobla Llarga",ChIJv2kvCpGkYQ0RhwgfjRG4Ttc,5.0,ChIJv2kvCpGkYQ0RhwgfjRG4Ttc,"['point_of_interest', 'establishment']",1,39.0839009,-0.4763737,39.08541822989272,-0.4749715701072776,39.08271857010728,-0.4776712298927221,"3GMF+HF La Pobla Llarga, Spain",8CFX3GMF+HF,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109589131483533497292"">Miguel Guardiola</a>'], 'photo_reference': 'Aap_uEDm-lB8TnFKPkn-wbDzwQujUHxxc8vvOn4B01pDmCSSbk9TKqNCF2vQdFj5WfqhcJvJ-7XqNsRmfCodBAKeHxWbRxxCf5vmqFOLCOIktGuSkyHInpoDTMSKy2VQqHKpFUwSOkqjnQWGEFRms5vaI2dUYNcqzeZ4rRw6QXsYB5UDrJ-h', 'width': 2560}]",,
27,OPERATIONAL,"Carrer de Moncofa, 6, 12003 Castelló de la Plana, Castelló, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Escuela Infantil San Cristobal,ChIJW5uIvtD_Xw0RMVVm7bMGKq8,4.7,ChIJW5uIvtD_Xw0RMVVm7bMGKq8,"['school', 'point_of_interest', 'establishment']",7,39.987126,-0.0287522,39.98850037989271,-0.02751627010727779,39.98580072010727,-0.03021592989272221,"XXPC+VF Castellón de la Plana, Spain",8CFXXXPC+VF,"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115091479135611646805"">Escuela Infantil San Cristobal</a>'], 'photo_reference': 'Aap_uEChBqZon6wBpStU7K1sDuRuZL8MaXO4cwovLp7YKs1fSgy7kAZqsjY-6qA_GsNGZAQ7L82V-CNztimp2nJda-F3ofoIOIg6BTIJKOsJe8sKOv7PUHMIEgsS0u2hSHM8YOEl7a55DwuYSlrBBOy0cht03UcNOdI91SoWY3XURqIWGCB2', 'width': 851}]",True,
28,OPERATIONAL,"Plaza San Jos, 6 C 46740 Cogullada, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,La Cometa,ChIJAQAAALy7YQ0RIxQreRhnH2o,0.0,ChIJAQAAALy7YQ0RIxQreRhnH2o,"['school', 'point_of_interest', 'establishment']",0,39.0964381,-0.3983829,39.09764747989273,-0.3973668201072778,39.09494782010728,-0.4000664798927222,,,,,
29,OPERATIONAL,"Avinguda d'Espronceda, 8, 12004 Castelló de la Plana, Castelló, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Guardería Sol-Solet,ChIJK3mIADD-Xw0RWONTfVQN65Y,3.6,ChIJK3mIADD-Xw0RWONTfVQN65Y,"['point_of_interest', 'establishment']",7,39.99173860000001,-0.0468184,39.99302357989272,-0.04546842010727778,39.99032392010728,-0.0481680798927222,"XXR3+M7 Castellón de la Plana, Spain",8CFXXXR3+M7,"[{'height': 281, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111315022231162194467"">A Google User</a>'], 'photo_reference': 'Aap_uEAL9jOGKy_AKeXMbGAqZW4CF42zoTohKL0d9jieJd2GNNIcBwSQc8psLEDxkRjHwHkHtw624LmFkd11KTDWktuIPJrQ9oMieMWJwN92RIVKi8E80wrvfoDMTrNdk2JHx_m0EVccvrR7CzPeLeW5_IWLWpZQa9LFT_-1uk4uOW6AoyJg', 'width': 500}]",False,
30,OPERATIONAL,"C. de Sant Vicent Màrtir, 143, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulario El Belén,ChIJIUdeqjdPYA0RpO6oK2CcPno,0.0,ChIJIUdeqjdPYA0RpO6oK2CcPno,"['school', 'point_of_interest', 'establishment']",0,39.4626112,-0.3820577,39.46397512989272,-0.3807958701072777,39.46127547010727,-0.3834955298927222,"FJ79+25 Valencia, Spain",8CFXFJ79+25,,,
31,OPERATIONAL,"C/ de Guillem de Castro, 67, 46008 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Centro Privado de Educación Infantil Bambini,ChIJGd2nND9PYA0RXKSGuf0Hlhk,3.9,ChIJGd2nND9PYA0RXKSGuf0Hlhk,"['school', 'point_of_interest', 'establishment']",7,39.4709818,-0.3838398,39.47234302989272,-0.3824385201072777,39.46964337010728,-0.3851381798927221,"FJC8+9F Valencia, Spain",8CFXFJC8+9F,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103587149575533771546"">Pablo G.</a>'], 'photo_reference': 'Aap_uECzecbtUA1Wcn76bH-y570e0fgHtZ7eCXrEsn9Oc3u_F5IRD4n5kM19MEzz8Oq1PfEPxcRDulOdPECIb8CMKtJtb3d3m0YTz6swiqk5M6U6rj6gzK4stFrj2QBoyyQunZsMTkjOXPqBO-qnGvDaYYPvESus9Lt4Z85i23TkAc_EEGAY', 'width': 2560}]",False,
32,OPERATIONAL,"C. de Sant Vicent Màrtir, 143, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulario El Belén,ChIJIUdeqjdPYA0RpO6oK2CcPno,0.0,ChIJIUdeqjdPYA0RpO6oK2CcPno,"['school', 'point_of_interest', 'establishment']",0,39.4626112,-0.3820577,39.46397512989272,-0.3807958701072777,39.46127547010727,-0.3834955298927222,"FJ79+25 Valencia, Spain",8CFXFJ79+25,,,
