,Asalariados,Pensionistas,Desempleados,Prestacionistas,Otros_ingresos,Code,Index_Gini,dist_rent_p80_p20,media_edad,percent_menos_18,percernt_mas_65,tamaño_casa_media,percent_casa_unipersonales,habitantes,Renta neta media por persona ,renta_media_hogar,media_unidad_consumo,mediana_unidad_consumo,renta_bruta_persona,renta_bruta_hogar,viviendas_turisticas,plazas,plaza_vivienda_turistica,percent_vivienda_turistica
1387,8263.0,3110.0,296.0,674.0,775.0,900,28.1,2.4,44.3,13.3,17.8,2.7,21.7,1739.0,11.259,30.506,16.676,15.750,13.119,35.544,1,3,3.0,0.2
1388,9118.0,3000.0,284.0,738.0,935.0,901,25.8,2.2,44.4,14.4,17.0,2.66,19.3,1966.0,11.960,31.779,17.914,16.450,14.076,37.401,0,0,0.0,0.0
1389,6209.0,4099.0,258.0,799.0,1165.0,902,32.6,2.7,47.5,13.0,28.8,2.48,26.7,1238.0,10.895,27.281,15.849,13.650,12.529,31.375,5,21,4.2,0.9
1390,6403.0,4807.0,269.0,826.0,1450.0,903,31.6,2.8,48.5,13.5,30.6,2.54,25.8,1244.0,11.775,30.028,17.351,15.050,13.754,35.075,3,4,1.3,0.6
1391,8007.0,3822.0,314.0,707.0,1137.0,904,33.0,3.0,45.9,13.2,22.4,2.51,27.6,983.0,11.743,29.600,17.164,15.750,13.987,35.257,3,5,1.7,0.7
1392,9321.0,3222.0,237.0,732.0,1363.0,905,36.4,3.4,42.5,16.6,17.5,2.75,24.2,1432.0,12.271,34.193,18.506,15.750,14.875,41.448,6,22,3.7,0.8
1393,6697.0,2474.0,323.0,548.0,499.0,906,33.3,3.0,42.6,16.0,19.0,2.5,32.3,1682.0,9.244,23.278,13.528,12.250,10.540,26.542,3,11,3.7,0.3
1394,9124.0,4031.0,252.0,826.0,881.0,908,26.6,2.3,46.6,11.2,21.3,2.59,19.4,1882.0,12.814,33.275,18.889,17.850,15.114,39.247,3,5,1.7,0.4
1395,8778.0,3238.0,307.0,781.0,937.0,909,27.8,2.3,45.5,11.8,18.5,2.48,24.8,1131.0,11.913,29.626,17.539,15.750,14.041,34.917,1,2,2.0,0.2
1396,6823.0,3242.0,260.0,730.0,759.0,900,28.9,2.4,45.4,15.4,20.9,2.53,25.2,1869.0,10.286,26.207,15.141,14.350,11.813,30.100,4,16,4.0,0.4
1397,10098.0,1961.0,247.0,496.0,1891.0,901,29.5,2.4,40.9,18.3,13.8,2.52,27.8,1938.0,12.317,31.230,18.201,15.750,14.694,37.255,0,0,0.0,0.0
1398,6361.0,2533.0,265.0,568.0,818.0,902,33.6,3.1,42.2,16.7,18.0,2.6,27.5,1002.0,9.204,23.994,13.745,12.250,10.547,27.494,0,0,0.0,0.0
1399,6465.0,2778.0,289.0,543.0,699.0,903,30.7,3.0,44.8,14.2,23.4,2.32,35.6,790.0,9.487,22.214,13.550,12.950,10.774,25.227,1,3,3.0,0.2
1400,5144.0,3170.0,392.0,737.0,428.0,904,30.7,2.8,46.1,13.6,22.2,2.19,39.8,748.0,8.847,19.680,12.400,11.550,9.871,21.959,0,0,0.0,0.0
1401,5856.0,4674.0,233.0,866.0,949.0,905,28.4,2.5,48.3,11.9,31.8,2.51,24.3,1022.0,10.889,27.993,16.006,15.050,12.578,32.335,0,0,0.0,0.0
1402,7355.0,4271.0,218.0,734.0,749.0,906,27.4,2.2,48.2,10.2,25.7,2.61,18.0,767.0,11.495,30.053,16.929,16.450,13.327,34.840,0,0,0.0,0.0
1403,5185.0,3128.0,367.0,646.0,522.0,907,31.3,3.1,46.3,13.1,25.9,2.42,28.7,903.0,8.866,21.406,12.712,12.250,9.848,23.778,0,0,0.0,0.0
1404,9649.0,1572.0,286.0,502.0,1012.0,908,32.5,2.9,37.0,25.2,10.9,2.51,29.9,2161.0,10.825,27.372,16.573,14.350,13.021,32.925,8,17,2.1,0.8
1405,7794.0,2439.0,277.0,703.0,681.0,909,30.0,2.6,42.7,15.4,16.5,2.45,28.6,1642.0,10.308,25.552,15.144,14.350,11.893,29.482,6,15,2.5,1.0
1406,5698.0,5049.0,204.0,874.0,1218.0,900,29.4,2.5,50.7,10.9,37.6,2.26,30.0,909.0,11.473,25.871,16.186,15.050,13.042,29.410,0,0,0.0,0.0
1407,9161.0,3408.0,260.0,492.0,2060.0,901,35.9,3.7,43.8,14.4,19.3,2.62,28.2,1635.0,12.055,32.140,18.670,16.450,15.382,41.010,10,43,4.3,1.5
1408,8701.0,2934.0,263.0,881.0,825.0,902,27.0,2.4,44.6,13.4,18.3,2.59,22.6,1413.0,11.575,30.158,17.301,16.450,13.604,35.447,0,0,0.0,0.0
1409,9827.0,5076.0,252.0,605.0,5205.0,1001,37.1,3.3,45.8,16.6,26.3,2.45,33.3,1949.0,16.445,40.563,24.422,19.950,20.965,51.710,19,78,4.1,1.7
1410,7565.0,3790.0,283.0,590.0,1665.0,1002,33.7,3.1,44.9,16.1,22.1,2.41,33.7,1543.0,11.719,28.681,17.173,15.050,13.892,34.000,12,47,3.9,1.5
1411,7580.0,2153.0,383.0,529.0,933.0,1003,35.8,3.2,42.1,16.7,17.0,2.5,30.7,1978.0,9.815,24.806,14.620,12.250,11.579,29.265,19,63,3.3,2.2
1412,6993.0,3447.0,243.0,633.0,1031.0,1004,32.2,2.9,44.2,15.9,21.7,2.55,29.3,1282.0,10.667,27.466,15.638,14.350,12.347,31.792,9,31,3.4,1.5
1413,7266.0,5082.0,207.0,682.0,1754.0,1005,33.9,3.1,49.2,13.5,32.9,2.39,31.5,1380.0,12.680,30.879,18.602,16.450,14.990,36.505,5,17,3.4,0.7
1414,6690.0,2671.0,258.0,585.0,883.0,1006,37.2,3.5,43.2,16.2,18.9,2.44,35.8,1331.0,9.566,23.595,14.050,11.550,11.086,27.345,10,41,4.1,1.2
1415,6933.0,2915.0,265.0,540.0,1233.0,1007,35.2,3.2,42.9,15.6,19.0,2.63,26.4,2081.0,10.101,26.945,15.046,12.950,11.886,31.706,16,53,3.3,2.0
1416,5439.0,3628.0,321.0,757.0,710.0,1008,31.9,2.6,46.8,13.6,25.4,2.37,32.1,1720.0,9.602,22.909,13.645,12.950,10.855,25.899,8,27,3.4,0.9
