,name,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
136,CEIP 103,3.4,23,39.4556216,-0.34217529999999996,education,1242,school
137,Colegio La Purísima Franciscanas De La Inmaculada,1.0,1,39.461689,-0.3340417000000001,education,1104,school
138,Escuela Infantil Jardín de Serrería,3.7,3,39.463368700000004,-0.337756,education,1216,school
139,Escuela de Educación Infantil Grumete J. Trenor,0.0,0,39.4393593,-0.3532146,education,1041,school
140,Escuela Nautica Puerto De Alboraya Eend 0087 V,0.0,0,39.4615904,-0.3374277,education,1104,school
141,Escuela Infantil Municipal Mestra Empar Navarro i Giner,0.0,0,39.4530855,-0.3571238,education,1040,school
142,Escuela Nautica Tramontana,0.0,0,39.462847,-0.33248629999999996,education,1106,school
143,TISSORA,4.9,194,39.4612768,-0.3352594,education,1104,school
144,BETEL SCHOOL,4.8,12,39.4841246,-0.358143,education,1405,school
145,Academia,0.0,0,39.484463,-0.356026,education,1405,school
146,Centro Preescolar Marni II,0.0,0,39.4924155,-0.3680629,education,1533,school
148,Centro Privado de Educación Infantil Pipo,5.0,1,39.4923896,-0.37675240000000004,education,1522,school
149,guarderia municipal eulen,3.7,3,39.4923911,-0.38642340000000003,education,1615,school
150,Escuela infantil tramvia el parc,5.0,23,39.494605,-0.39776209999999995,education,1605,school
151,CEI Embolic,5.0,1,39.4968152,-0.3931203,education,1629,primary_school
152,Futuro Colegio público Benicalap Norte,0.0,0,39.4959383,-0.38968759999999997,education,1629,school
153,COLEGIO ARGOS S.L.,3.9,23,39.49747670000001,-0.3987965,education,1620,school
154,Escola Infantil de segon cicle Les Rondalles,4.8,6,39.465531,-0.338328,education,1238,school
155,Academia de Ingles,0.0,0,39.4712484,-0.33702329999999997,education,1140,school
156,Escuela Infantil Els Marinerets,5.0,7,39.466472100000004,-0.3323508,education,1117,school
157,El Edén Centro de Educación Infantil,5.0,6,39.470426,-0.345056,education,1329,school
158,Estudio Danza Maria Carbonell,4.0,12,39.465461700000006,-0.3367383,education,1243,school
159,CEIP Municipal Profesor Santiago Grisolia,4.6,16,39.4697842,-0.3406933,education,1305,school
160,l'escola Del Cabanyal,1.0,1,39.4684938,-0.33015409999999995,education,1122,school
161,Escola Infantil Meravelles,4.5,19,39.4702558,-0.345032,education,1329,school
162,Papallona,0.0,0,39.430554,-0.34212109999999996,education,1042,school
163,Escuela de Vela RCNValencia,5.0,1,39.4283605,-0.32893130000000004,education,1106,school
164,Gent Menuda,4.8,9,39.4455544,-0.3353596,education,1148,school
165,Escuela Graduada Vicente Hervas,0.0,0,39.444917700000005,-0.3348319,education,1148,school
166,2a Parada,0.0,0,39.444382399999995,-0.3438703,education,1042,school
168,CEIP Juan Manuel Montoya,2.3,3,39.4449489,-0.3346686,education,1148,school
169,Col.legi Ntra. Sra. Desamparados,3.1,19,39.449327000000004,-0.333013,education,1146,school
171,CEIP Ausiàs March,5.0,3,39.450052,-0.3324293,education,1145,school
172,Escuela de baile,0.0,0,39.4716975,-0.345421,education,1312,school
173,Escuela Infantil Bamby-abade,3.7,6,39.4725444,-0.3607101,education,0607,school
174,Centro de Educación Infantil Llavoretes,5.0,20,39.472977,-0.3548511,education,0609,school
175,ETSA Valencia,0.0,0,39.48158979999999,-0.34476979999999996,education,1325,school
177,CEI INFANTES,5.0,1,39.4790897,-0.32695630000000003,education,1135,school
179,ETSID DE DAVID,0.0,0,39.4802439,-0.3369217,education,1325,school
180,Escola d'Estiu - UPV,0.0,0,39.4820566,-0.34038,education,1325,school
181,CEIP Vicente Blasco Ibáñez,4.0,5,39.479720799999996,-0.325395,education,1138,school
182,Escola de Persones Adultes Malvarrosa,2.9,8,39.477283899999996,-0.3277365,education,1134,school
226,Escuela Infantil Mestra María de Maeztu,0.0,0,39.5427299,-0.4122969,education,1706,school
227,CEIP Manuel González Martí,4.4,14,39.5304246,-0.3818449,education,1701,school
235,Pavelló Masarrojos,5.0,1,39.5414568,-0.40602,education,1706,school
243,Dani Correa,0.0,0,39.545727299999996,-0.41502659999999997,education,1706,school
258,Escuela Infantil Little Planet,0.0,0,39.38066930000001,-0.3317965,education,1908,school
268,Academia Jardín,4.1,37,39.4512292,-0.3783058,education,1028,school
270,CEIP Lluís de Santangel,4.3,9,39.3814412,-0.3308783,education,1908,school
271,""" Pi Verot "" Arbol monumental - El Saler",5.0,1,39.381679600000005,-0.3305092,education,1908,school
272,Colegio Santiago Calatrava,0.0,0,39.426291799999994,-0.36457459999999997,education,1903,school
274,Centro De Estudios Alba.,4.9,10,39.429249600000006,-0.3619711,education,1904,school
275,CEIP Castellar-Oliveral,3.9,8,39.4292259,-0.3661038,education,1903,school
284,The Essence Of Paella,5.0,3,39.3085574,-0.3176813,education,1909,school
298,Escola de Persones Adultes Sant Marcel·li,4.7,3,39.446843900000005,-0.3910836,education,0935,school
302,CENTRO DE EDUCACIÓN INFANTIL MONTESSORI-SAN ISIDRO,4.6,9,39.452281899999996,-0.40355209999999997,education,0835,school
303,CEIP Sant Isidre,4.2,10,39.450181799999996,-0.4035917,education,0839,school
320,Nadem a Pinedo,0.0,0,39.421247799999996,-0.33437059999999996,education,1907,school
321,CEIP Pinedo,5.0,8,39.4222287,-0.3354118,education,1906,school
322,CENTRO DE FORMACIÓN RENFE,0.0,0,39.439834999999995,-0.3685565,education,1041,school
331,Colegio El Ave María,4.6,7,39.50122200000001,-0.4232903,education,1808,school
332,Escoleta,0.0,0,39.5041545,-0.422629,education,1803,school
334,Col·legi Santiago Calatrava,0.0,0,39.4943039,-0.4185063,education,0418,school
335,SIOAM Benimamet,3.8,20,39.500531099999996,-0.4187013000000001,education,1805,school
362,Salvador t,0.0,0,39.4929135,-0.390219,education,1625,primary_school
363,CPFP,0.0,0,39.4831435,-0.35439109999999996,education,1405,primary_school
366,Colegio San Vicente Ferrer - Dominicos Valencia,3.1,29,39.46767,-0.369481,education,0235,school
367,Escuela Infantil Pipolandia,5.0,7,39.4584132,-0.3614481,education,1009,primary_school
368,PSYLICOM Distribuciones Editoriales,0.0,0,39.484402200000005,-0.37306459999999997,education,0518,primary_school
369,Comenius Centre Educatiu,4.3,46,39.488954,-0.38429,education,0536,primary_school
370,Colegio Nuestra Señora del Pilar - Marianistas Valencia,4.4,47,39.4764657,-0.35466479999999995,education,0623,primary_school
