location_raw;Índice de Gini;Distribución de la renta P80/P20
2807906084 Madrid sección 06084;39,3;4,1
2807906085 Madrid sección 06085;31,9;2,6
2807906089 Madrid sección 06089;30,4;2,7
2807906090 Madrid sección 06090;33,7;3
2807906091 Madrid sección 06091;35;3,4
2807906092 Madrid sección 06092;35;3
2807906093 Madrid sección 06093;34,1;3
2807906094 Madrid sección 06094;35,9;3,6
2807906095 Madrid sección 06095;32;2,7
2807906096 Madrid sección 06096;35,8;3,3
2807906097 Madrid sección 06097;31,3;2,8
2807906098 Madrid sección 06098;31,5;2,7
2807906099 Madrid sección 06099;33,5;3,1
2807906101 Madrid sección 06101;34,9;2,8
2807906102 Madrid sección 06102;33,6;2,9
2807906103 Madrid sección 06103;36;3,4
2807906104 Madrid sección 06104;35,4;3,2
2807906105 Madrid sección 06105;35,6;3,4
2807906106 Madrid sección 06106;37,8;3,9
2807906107 Madrid sección 06107;35,2;3,2
2807906108 Madrid sección 06108;38,8;3,6
2807906109 Madrid sección 06109;36,9;3,5
2807906110 Madrid sección 06110;37,7;3,8
2807906111 Madrid sección 06111;35,1;3,2
2807906112 Madrid sección 06112;30,3;2,7
2807906113 Madrid sección 06113;34,5;3
2807906114 Madrid sección 06114;35,8;3,4
2807906115 Madrid sección 06115;34,4;2,8
2807906116 Madrid sección 06116;34,6;3,2
2807906117 Madrid sección 06117;37,8;4
2807906118 Madrid sección 06118;37,1;3,5
2807906119 Madrid sección 06119;38,8;3,9
2807906120 Madrid sección 06120;36,1;3,3
2807906121 Madrid sección 06121;34,9;3,3
2807906122 Madrid sección 06122;35,5;3,2
2807906123 Madrid sección 06123;36,8;3,4
2807906124 Madrid sección 06124;36,3;3,5
2807906125 Madrid sección 06125;32,4;2,9
2807906126 Madrid sección 06126;35,9;3,3
2807906127 Madrid sección 06127;39,9;4,2
2807906128 Madrid sección 06128;33,4;2,8
2807906129 Madrid sección 06129;37,9;3,7
2807907 Madrid distrito 07;38,8;3,4
2807907001 Madrid sección 07001;37,2;3,6
2807907002 Madrid sección 07002;42,5;3,8
2807907003 Madrid sección 07003;39,2;3,5
2807907004 Madrid sección 07004;33,1;2,8
2807907005 Madrid sección 07005;36,2;3,1
2807907006 Madrid sección 07006;34,1;2,8
2807907007 Madrid sección 07007;32,7;2,8
2807907008 Madrid sección 07008;33,2;2,7
2807907009 Madrid sección 07009;34,1;3
2807907010 Madrid sección 07010;35,4;3,4
2807907011 Madrid sección 07011;36,3;3,8
2807907012 Madrid sección 07012;36,4;3,4
2807907013 Madrid sección 07013;34;2,5
2807907014 Madrid sección 07014;38,5;3,6
2807907016 Madrid sección 07016;36,8;3,8
2807907017 Madrid sección 07017;32,8;2,8
2807907018 Madrid sección 07018;32,8;2,7
2807907019 Madrid sección 07019;33,5;3
2807907021 Madrid sección 07021;42,4;3,1
2807907023 Madrid sección 07023;35,3;2,8
2807907024 Madrid sección 07024;32,5;2,6
2807907025 Madrid sección 07025;32,4;2,7
2807907026 Madrid sección 07026;33,8;3
2807907028 Madrid sección 07028;32,1;2,5
2807907030 Madrid sección 07030;36,8;3,3
2807907031 Madrid sección 07031;32,6;2,5
2807907032 Madrid sección 07032;33,6;3,3
2807907034 Madrid sección 07034;32,6;3
2807907035 Madrid sección 07035;31;2,7
2807907036 Madrid sección 07036;35,3;2,9
2807907038 Madrid sección 07038;32,9;3,2
2807907039 Madrid sección 07039;39,1;3,3
2807907040 Madrid sección 07040;33,7;3
2807907041 Madrid sección 07041;35,6;3,6
2807907042 Madrid sección 07042;35,3;3
2807907043 Madrid sección 07043;38,9;3,1
2807907044 Madrid sección 07044;35,8;2,9
2807907045 Madrid sección 07045;38,2;3,6
2807907046 Madrid sección 07046;40,5;3,6
2807907047 Madrid sección 07047;38,3;3,5
2807907048 Madrid sección 07048;37,9;3,1
2807907049 Madrid sección 07049;34,9;3,1
2807907050 Madrid sección 07050;42,7;3,9
2807907051 Madrid sección 07051;38,6;3,3
2807907052 Madrid sección 07052;37,9;3,7
2807907053 Madrid sección 07053;38,5;3,8
2807907055 Madrid sección 07055;34,7;2,8
2807907056 Madrid sección 07056;35,9;3,2
2807907057 Madrid sección 07057;37,8;3,6
2807907058 Madrid sección 07058;33;3
2807907059 Madrid sección 07059;39,3;3,8
2807907060 Madrid sección 07060;43,3;3,7
2807907061 Madrid sección 07061;34,5;3,1
2807907062 Madrid sección 07062;32,5;3
2807907063 Madrid sección 07063;34,1;3
2807907064 Madrid sección 07064;34,7;3,1
2807907065 Madrid sección 07065;40,1;3,6
2807907066 Madrid sección 07066;37;3,2
2807907067 Madrid sección 07067;35,2;3,1
2807907068 Madrid sección 07068;33,6;3,1
2807907069 Madrid sección 07069;34,9;3,1
2807907070 Madrid sección 07070;38;3,3
2807907071 Madrid sección 07071;33,4;2,6
2807907072 Madrid sección 07072;39,4;3,4
2807907073 Madrid sección 07073;44,2;3,9
2807907075 Madrid sección 07075;45,6;4,8
2807907076 Madrid sección 07076;44;4,2
2807907078 Madrid sección 07078;45,4;4,6
2807907079 Madrid sección 07079;41,5;3,9
2807907080 Madrid sección 07080;45,6;4,2
2807907081 Madrid sección 07081;45,6;4,8
2807907082 Madrid sección 07082;45,4;4,3
2807907083 Madrid sección 07083;45,6;4,8
2807907084 Madrid sección 07084;45,6;4
2807907085 Madrid sección 07085;45,3;4,2
2807907086 Madrid sección 07086;38,9;3,5
2807907087 Madrid sección 07087;42,3;4
2807907088 Madrid sección 07088;32,7;2,8
2807907089 Madrid sección 07089;40,5;3,7
2807907090 Madrid sección 07090;44;4
2807907091 Madrid sección 07091;37,6;3,6
2807907092 Madrid sección 07092;45,6;3,7
2807907093 Madrid sección 07093;42,7;3,9
2807907094 Madrid sección 07094;43,8;3,7
2807907095 Madrid sección 07095;43,5;3,4
2807907096 Madrid sección 07096;37,3;2,8
2807907097 Madrid sección 07097;39;3,7
2807907098 Madrid sección 07098;30,5;2,4
2807907099 Madrid sección 07099;32,9;2,5
2807907100 Madrid sección 07100;43,7;4,1
2807907101 Madrid sección 07101;37,8;3,7
2807907102 Madrid sección 07102;36;3,2
2807907103 Madrid sección 07103;37,9;3,4
2807907105 Madrid sección 07105;33,2;3
2807907106 Madrid sección 07106;35,2;3,6
2807907107 Madrid sección 07107;37,3;2,7
2807907108 Madrid sección 07108;37,8;3,6
2807907109 Madrid sección 07109;35,6;3,1
2807907110 Madrid sección 07110;33,2;2,7
2807907111 Madrid sección 07111;35,5;2,8
2807907112 Madrid sección 07112;;
2807907113 Madrid sección 07113;35,5;3,2
2807907114 Madrid sección 07114;36,2;2,7
2807907115 Madrid sección 07115;41,7;3,7
2807907116 Madrid sección 07116;33,3;2,6
2807907117 Madrid sección 07117;38,4;3,6
2807907118 Madrid sección 07118;34,6;3
2807907119 Madrid sección 07119;32,3;2,6
2807907120 Madrid sección 07120;29,2;2,4
2807907121 Madrid sección 07121;36,7;2,9
2807907122 Madrid sección 07122;38,2;3,9
2807907123 Madrid sección 07123;31;2,6
2807907124 Madrid sección 07124;35,2;2,7
2807907125 Madrid sección 07125;36;2,9
2807907126 Madrid sección 07126;29,9;2,3
2807907127 Madrid sección 07127;32,3;2,8
2807907128 Madrid sección 07128;45,6;3,1
2807907129 Madrid sección 07129;37,1;3
2807907130 Madrid sección 07130;37,7;3
2807907131 Madrid sección 07131;35,9;2,7
2807907132 Madrid sección 07132;41,5;3,1
2807907133 Madrid sección 07133;36,2;2,7
2807907134 Madrid sección 07134;23,3;2,1
2807907135 Madrid sección 07135;35;2,9
2807908 Madrid distrito 08;35,4;3,1
2807908001 Madrid sección 08001;26,9;2,3
2807908002 Madrid sección 08002;32;2,4
2807908003 Madrid sección 08003;27,3;2,2
2807908004 Madrid sección 08004;23,7;2
2807908005 Madrid sección 08005;45,6;4,8
2807908006 Madrid sección 08006;36,9;3,1
2807908007 Madrid sección 08007;44,4;3,3
2807908008 Madrid sección 08008;37,7;3,2
2807908009 Madrid sección 08009;38,4;3,4
2807908010 Madrid sección 08010;36,3;3,3
2807908011 Madrid sección 08011;33,2;2,9
2807908012 Madrid sección 08012;37,3;3
2807908013 Madrid sección 08013;38;3,6
2807908014 Madrid sección 08014;28,2;2,2
2807908015 Madrid sección 08015;34,1;3,2
2807908016 Madrid sección 08016;30,9;2,7
2807908017 Madrid sección 08017;33,9;2,9
2807908018 Madrid sección 08018;27,2;2,4
2807908019 Madrid sección 08019;30;2,6
2807908020 Madrid sección 08020;30,6;2,8
2807908021 Madrid sección 08021;31,2;2,7
2807908022 Madrid sección 08022;29,3;2,5
2807908023 Madrid sección 08023;29,2;2,5
2807908024 Madrid sección 08024;28,1;2,3
2807908025 Madrid sección 08025;29,8;2,4
2807908026 Madrid sección 08026;28,5;2,7
2807908027 Madrid sección 08027;29,6;2,5
2807908028 Madrid sección 08028;28,4;2,5
2807908029 Madrid sección 08029;29,2;2,4
2807908030 Madrid sección 08030;27,8;2,3
2807908031 Madrid sección 08031;28,1;2,2
2807908032 Madrid sección 08032;30,2;2,7
2807908033 Madrid sección 08033;26,3;2,3
2807908034 Madrid sección 08034;30,5;2,4
2807908035 Madrid sección 08035;30,4;2,3
2807908036 Madrid sección 08036;27,4;2,4
2807908037 Madrid sección 08037;27,9;2,3
2807908038 Madrid sección 08038;27,7;2,2
2807908039 Madrid sección 08039;27;2,2
2807908040 Madrid sección 08040;25,6;2,2
2807908041 Madrid sección 08041;26;2,1
2807908042 Madrid sección 08042;27,3;2,2
2807908043 Madrid sección 08043;26,1;2,2
2807908044 Madrid sección 08044;26;2,1
2807908045 Madrid sección 08045;27,4;2,4
2807908046 Madrid sección 08046;30,8;2,9
2807908047 Madrid sección 08047;28,5;2,5
2807908048 Madrid sección 08048;29,7;2,5
2807908049 Madrid sección 08049;30,7;2,6
2807908050 Madrid sección 08050;34,2;3,2
2807908051 Madrid sección 08051;27,8;2,5
2807908052 Madrid sección 08052;32;3,1
2807908053 Madrid sección 08053;29,5;2,5
2807908054 Madrid sección 08054;28,3;2,4
2807908055 Madrid sección 08055;27,4;2,4
2807908056 Madrid sección 08056;28,2;2,3
2807908057 Madrid sección 08057;28,7;2,5
2807908058 Madrid sección 08058;29,9;2,3
2807908059 Madrid sección 08059;25,7;2,2
2807908060 Madrid sección 08060;30;2,4
2807908061 Madrid sección 08061;31,6;2,8
2807908062 Madrid sección 08062;27,8;2,4
2807908063 Madrid sección 08063;28;2,4
2807908064 Madrid sección 08064;29,5;2,4
2807908065 Madrid sección 08065;31;2,7
2807908066 Madrid sección 08066;31,5;2,9
2807908067 Madrid sección 08067;29,4;2,5
2807908068 Madrid sección 08068;28,9;2,5
2807908069 Madrid sección 08069;28,7;2,4
2807908071 Madrid sección 08071;30,2;2,7
2807908072 Madrid sección 08072;29,7;2,6
2807908073 Madrid sección 08073;28,3;2,5
2807908074 Madrid sección 08074;28,8;2,5
2807908075 Madrid sección 08075;31;2,8
2807908076 Madrid sección 08076;30,2;2,5
2807908077 Madrid sección 08077;31,1;2,8
2807908078 Madrid sección 08078;30,2;2,8
2807908079 Madrid sección 08079;28,4;2,3
2807908080 Madrid sección 08080;31,4;2,9
2807908081 Madrid sección 08081;28,3;2,6
2807908082 Madrid sección 08082;28,1;2,4
2807908083 Madrid sección 08083;28,5;2,5
2807908084 Madrid sección 08084;30;2,7
2807908085 Madrid sección 08085;29,6;2,6
2807908086 Madrid sección 08086;28;2,7
2807908087 Madrid sección 08087;30,7;2,7
2807908088 Madrid sección 08088;30,8;2,8
2807908089 Madrid sección 08089;29,7;2,5
2807908090 Madrid sección 08090;27,8;2,6
2807908091 Madrid sección 08091;27,6;2,6
2807908092 Madrid sección 08092;27,2;2,3
2807908093 Madrid sección 08093;28,7;2,6
2807908094 Madrid sección 08094;28,7;2,6
2807908095 Madrid sección 08095;28,8;2,4
2807908096 Madrid sección 08096;26,6;2,3
2807908097 Madrid sección 08097;29,8;2,3
2807908098 Madrid sección 08098;26,7;2,2
2807908099 Madrid sección 08099;30,4;2,4
2807908100 Madrid sección 08100;29;2,2
2807908102 Madrid sección 08102;29,4;2,3
2807908103 Madrid sección 08103;34,4;2,7
2807908104 Madrid sección 08104;31,6;2,5
2807908105 Madrid sección 08105;34;3,1
2807908106 Madrid sección 08106;29,8;2,7
2807908107 Madrid sección 08107;28,3;2,4
2807908108 Madrid sección 08108;28,7;2,5
2807908109 Madrid sección 08109;33,2;3
2807908110 Madrid sección 08110;27,3;2,4
2807908111 Madrid sección 08111;31,5;2,6
2807908112 Madrid sección 08112;35;3,9
2807908113 Madrid sección 08113;29,2;2,6
2807908114 Madrid sección 08114;35,4;3,4
2807908115 Madrid sección 08115;31,8;2,9
2807908116 Madrid sección 08116;27,6;2,3
2807908117 Madrid sección 08117;34;2,9
2807908119 Madrid sección 08119;32,5;2,8
2807908120 Madrid sección 08120;33,9;3
2807908121 Madrid sección 08121;30;2,5
2807908122 Madrid sección 08122;28,8;2,8
2807908123 Madrid sección 08123;33,5;3
2807908124 Madrid sección 08124;34,5;3,3
2807908125 Madrid sección 08125;37,8;3,7
2807908126 Madrid sección 08126;33;2,9
2807908128 Madrid sección 08128;28;2,3
2807908129 Madrid sección 08129;40,5;4,8
2807908130 Madrid sección 08130;34,1;4,6
2807908131 Madrid sección 08131;36,3;3
2807908132 Madrid sección 08132;39;2,8
2807908133 Madrid sección 08133;31,5;2,6
2807908134 Madrid sección 08134;45,6;3,8
2807908135 Madrid sección 08135;36,1;3
2807908136 Madrid sección 08136;37,8;2,9
2807908137 Madrid sección 08137;43,4;2,8
2807908138 Madrid sección 08138;45,6;4,3
2807908139 Madrid sección 08139;29,3;2,5
2807908140 Madrid sección 08140;29,7;2,6
2807908141 Madrid sección 08141;28,1;2
2807908142 Madrid sección 08142;29,3;2,5
2807908143 Madrid sección 08143;35,2;2,9
2807908144 Madrid sección 08144;29,9;2,3
2807908145 Madrid sección 08145;31,9;2,7
2807908146 Madrid sección 08146;26;2,2
2807908147 Madrid sección 08147;31,4;2,5
2807908148 Madrid sección 08148;30;2,3
2807908149 Madrid sección 08149;33,7;2,8
2807908150 Madrid sección 08150;40,7;3,2
2807908151 Madrid sección 08151;27,2;2,4
2807908152 Madrid sección 08152;37,4;3,1
2807908153 Madrid sección 08153;31,8;2,5
2807908154 Madrid sección 08154;29,5;2,2
2807908155 Madrid sección 08155;27,7;2,3
2807908156 Madrid sección 08156;30,1;2,3
2807908157 Madrid sección 08157;31,6;2,5
2807908158 Madrid sección 08158;36,9;2,9
2807908159 Madrid sección 08159;33,8;2,5
2807908160 Madrid sección 08160;32,4;2,7
2807908161 Madrid sección 08161;26,2;2,2
2807908162 Madrid sección 08162;29,9;2,6
2807908163 Madrid sección 08163;29,9;2,5
2807908164 Madrid sección 08164;29;2,5
2807908165 Madrid sección 08165;29,2;2,3
2807908166 Madrid sección 08166;43,8;3,9
2807908167 Madrid sección 08167;29,3;2,4
2807908168 Madrid sección 08168;27,6;2,2
2807908169 Madrid sección 08169;30,5;2,5
2807908170 Madrid sección 08170;28,7;2,5
2807908171 Madrid sección 08171;28,7;2,4
2807908172 Madrid sección 08172;29,8;2,6
2807908173 Madrid sección 08173;33,8;2,7
2807908174 Madrid sección 08174;29,4;2,4
2807908175 Madrid sección 08175;37,6;3,1
2807908176 Madrid sección 08176;32,7;2,6
2807908177 Madrid sección 08177;27;2,2
2807908178 Madrid sección 08178;29,1;2,4
2807908179 Madrid sección 08179;28,1;2,3
2807908180 Madrid sección 08180;27;2,4
2807908181 Madrid sección 08181;30,4;2,4
2807908182 Madrid sección 08182;34,1;3,1
2807908183 Madrid sección 08183;30;2,5
2807908184 Madrid sección 08184;31,1;2,6
2807908185 Madrid sección 08185;29,5;2,6
2807908186 Madrid sección 08186;27,9;2,3
2807908187 Madrid sección 08187;29,9;2,4
2807908188 Madrid sección 08188;26,5;2,3
2807909 Madrid distrito 09;41,6;3,4
2807909001 Madrid sección 09001;28,9;2,6
2807909002 Madrid sección 09002;29,7;2,6
2807909004 Madrid sección 09004;29;2,6
2807909005 Madrid sección 09005;28,7;2,4
2807909006 Madrid sección 09006;29;2,4
2807909007 Madrid sección 09007;32,4;2,6
2807909008 Madrid sección 09008;31,1;2,5
2807909009 Madrid sección 09009;29,4;2,8
2807909010 Madrid sección 09010;27;2,2
2807909011 Madrid sección 09011;35,8;3,1
2807909012 Madrid sección 09012;32,7;3
2807909013 Madrid sección 09013;37,6;3,4
2807909014 Madrid sección 09014;43,8;3,8
2807909015 Madrid sección 09015;37,5;3,2
2807909016 Madrid sección 09016;40,3;3,7
2807909017 Madrid sección 09017;39,5;3,5
2807909018 Madrid sección 09018;45,6;3,8
2807909019 Madrid sección 09019;38,4;2,7
2807909020 Madrid sección 09020;45,6;4
2807909021 Madrid sección 09021;44,7;3,5
2807909022 Madrid sección 09022;37,8;3,4
2807909023 Madrid sección 09023;41,7;3,4
2807909024 Madrid sección 09024;43,5;3,7
2807909025 Madrid sección 09025;42,6;3,2
2807909026 Madrid sección 09026;34,3;3,2
2807909028 Madrid sección 09028;31,6;2,6
2807909029 Madrid sección 09029;31,4;2,6
2807909030 Madrid sección 09030;45,6;3,2
2807909031 Madrid sección 09031;27,4;2,2
2807909033 Madrid sección 09033;35,9;2,9
2807909034 Madrid sección 09034;36,5;2,7
2807909035 Madrid sección 09035;31,8;2,5
2807909036 Madrid sección 09036;31,5;2,6
2807909037 Madrid sección 09037;34,4;2,8
2807909038 Madrid sección 09038;34,1;2,7
2807909039 Madrid sección 09039;30;2,9
2807909040 Madrid sección 09040;29,8;2,5
2807909041 Madrid sección 09041;45,6;4,4
2807909043 Madrid sección 09043;45,6;4,8
2807909044 Madrid sección 09044;33,3;2,7
2807909045 Madrid sección 09045;35,1;3,1
2807909046 Madrid sección 09046;32,8;2,9
2807909047 Madrid sección 09047;32,2;2,8
2807909049 Madrid sección 09049;29,6;2,6
2807909050 Madrid sección 09050;32,9;3,2
2807909051 Madrid sección 09051;30,1;2,6
2807909052 Madrid sección 09052;29,1;2,5
2807909053 Madrid sección 09053;31,7;2,9
2807909054 Madrid sección 09054;27,8;2,3
2807909055 Madrid sección 09055;29,5;2,6
2807909056 Madrid sección 09056;30,2;2,5
2807909057 Madrid sección 09057;26,9;2,5
2807909058 Madrid sección 09058;32;2,6
2807909060 Madrid sección 09060;32,2;2,7
2807909061 Madrid sección 09061;35,5;3,4
2807909063 Madrid sección 09063;41,6;3,6
2807909064 Madrid sección 09064;30,2;2,7
2807909065 Madrid sección 09065;30;2,5
2807909066 Madrid sección 09066;29,2;2,3
2807909067 Madrid sección 09067;28,4;2,7
2807909068 Madrid sección 09068;32,3;2,8
2807909069 Madrid sección 09069;33,5;3,2
2807909070 Madrid sección 09070;25,6;2,2
2807909071 Madrid sección 09071;45,6;4
2807909072 Madrid sección 09072;45,6;3,9
2807909073 Madrid sección 09073;43,4;3,7
2807909074 Madrid sección 09074;38;3,7
2807909075 Madrid sección 09075;45,6;4,3
2807909076 Madrid sección 09076;35,5;3
2807909077 Madrid sección 09077;39,1;3,4
2807909078 Madrid sección 09078;45,6;4,5
2807909079 Madrid sección 09079;29,3;2,3
2807909080 Madrid sección 09080;36,3;2,8
2807909081 Madrid sección 09081;35,8;2,9
2807909082 Madrid sección 09082;30,9;2,5
2807909083 Madrid sección 09083;31,2;2,4
2807909084 Madrid sección 09084;32,2;3,1
2807909085 Madrid sección 09085;30,3;2,3
2807909086 Madrid sección 09086;43,4;4
2807909087 Madrid sección 09087;45,6;3,6
2807909088 Madrid sección 09088;32,9;2,7
2807909089 Madrid sección 09089;45,4;3,5
2807909090 Madrid sección 09090;28,8;2,5
2807909091 Madrid sección 09091;41,7;3,9
2807909092 Madrid sección 09092;35,7;2,7
2807910 Madrid distrito 10;32,5;2,9
2807910001 Madrid sección 10001;32;2,7
2807910002 Madrid sección 10002;36;4,1
2807910003 Madrid sección 10003;36,1;3,9
2807910004 Madrid sección 10004;32,6;2,8
2807910005 Madrid sección 10005;31,1;2,9
2807910006 Madrid sección 10006;34,5;3,4
2807910007 Madrid sección 10007;29,9;2,5
2807910008 Madrid sección 10008;34,1;3
2807910009 Madrid sección 10009;33;3
2807910010 Madrid sección 10010;30;2,6
2807910011 Madrid sección 10011;27,1;2,3
2807910012 Madrid sección 10012;29,1;2,7
2807910013 Madrid sección 10013;26,5;2,2
2807910014 Madrid sección 10014;28,1;2,4
2807910015 Madrid sección 10015;31,6;3
2807910016 Madrid sección 10016;31,7;3
2807910017 Madrid sección 10017;40,7;3,1
2807910018 Madrid sección 10018;36;3,7
2807910020 Madrid sección 10020;30,2;2,5
2807910021 Madrid sección 10021;32,9;3,1
2807910022 Madrid sección 10022;36;3,3
2807910023 Madrid sección 10023;34,7;3,3
2807910024 Madrid sección 10024;36,4;3,4
2807910025 Madrid sección 10025;34,2;3,1
2807910026 Madrid sección 10026;31,3;2,7
2807910027 Madrid sección 10027;35,5;3,3
2807910028 Madrid sección 10028;35,4;3,3
2807910029 Madrid sección 10029;34,9;3,3
2807910030 Madrid sección 10030;37,2;3,1
2807910031 Madrid sección 10031;36;3,1
2807910032 Madrid sección 10032;34,9;3
2807910033 Madrid sección 10033;34,2;3,2
2807910034 Madrid sección 10034;36,1;3,4
2807910035 Madrid sección 10035;35,1;3,2
2807910036 Madrid sección 10036;31,6;2,9
2807910037 Madrid sección 10037;35,5;3,1
2807910038 Madrid sección 10038;33,5;3
2807910039 Madrid sección 10039;33,1;3
2807910040 Madrid sección 10040;39,1;4,2
2807910041 Madrid sección 10041;32,7;2,6
2807910042 Madrid sección 10042;30;2,6
2807910043 Madrid sección 10043;32,5;2,8
2807910044 Madrid sección 10044;33,2;3,4
2807910046 Madrid sección 10046;30,4;2,7
2807910047 Madrid sección 10047;36;3,3
2807910048 Madrid sección 10048;32,4;2,7
2807910049 Madrid sección 10049;32,4;2,8
2807910050 Madrid sección 10050;31,2;2,7
2807910051 Madrid sección 10051;30,5;2,4
2807910052 Madrid sección 10052;33,1;2,8
2807910053 Madrid sección 10053;31,5;2,7
2807910054 Madrid sección 10054;29,2;2,6
2807910055 Madrid sección 10055;33,1;3,2
2807910056 Madrid sección 10056;32,4;2,8
2807910057 Madrid sección 10057;31,7;2,6
2807910058 Madrid sección 10058;30,3;2,8
2807910059 Madrid sección 10059;29,9;2,6
2807910060 Madrid sección 10060;34,4;3
2807910061 Madrid sección 10061;30,4;2,8
2807910062 Madrid sección 10062;32,8;3,5
2807910063 Madrid sección 10063;33,1;3,2
2807910065 Madrid sección 10065;33,1;2,6
2807910067 Madrid sección 10067;27;2,6
2807910068 Madrid sección 10068;30,6;2,8
2807910069 Madrid sección 10069;32,3;2,7
2807910070 Madrid sección 10070;34,4;3,4
2807910072 Madrid sección 10072;34,3;2,9
2807910073 Madrid sección 10073;31,5;2,7
2807910074 Madrid sección 10074;35,3;3,4
2807910075 Madrid sección 10075;32,8;3,1
2807910076 Madrid sección 10076;30,6;2,7
2807910077 Madrid sección 10077;31;2,4
2807910078 Madrid sección 10078;32,4;3,1
2807910081 Madrid sección 10081;28,7;2,6
2807910082 Madrid sección 10082;32,1;3
2807910083 Madrid sección 10083;34,6;3
2807910084 Madrid sección 10084;31,5;2,5
2807910086 Madrid sección 10086;31,9;2,9
2807910087 Madrid sección 10087;25,3;2,1
2807910088 Madrid sección 10088;29,9;2,6
2807910089 Madrid sección 10089;30,5;2,6
2807910090 Madrid sección 10090;27,1;2,4
2807910091 Madrid sección 10091;26,2;2,4
2807910092 Madrid sección 10092;28,8;2,6
2807910093 Madrid sección 10093;30,3;2,8
2807910094 Madrid sección 10094;33,3;2,8
2807910095 Madrid sección 10095;32,6;2,9
2807910096 Madrid sección 10096;30,8;2,8
2807910098 Madrid sección 10098;30,2;2,6
2807910099 Madrid sección 10099;29,2;2,7
2807910100 Madrid sección 10100;30,6;2,8
2807910101 Madrid sección 10101;25,9;2,2
2807910102 Madrid sección 10102;29,7;2,7
2807910103 Madrid sección 10103;29,1;2,4
2807910104 Madrid sección 10104;;
2807910106 Madrid sección 10106;31;2,5
2807910107 Madrid sección 10107;27,8;2,4
2807910108 Madrid sección 10108;26,8;2,3
2807910109 Madrid sección 10109;28,7;2,5
2807910110 Madrid sección 10110;29,5;2,4
2807910111 Madrid sección 10111;28,5;2,6
2807910112 Madrid sección 10112;31,6;3,1
2807910113 Madrid sección 10113;29,5;2,6
2807910114 Madrid sección 10114;31,4;2,9
2807910115 Madrid sección 10115;28,3;2,5
2807910116 Madrid sección 10116;29,6;2,7
2807910117 Madrid sección 10117;29,2;2,5
2807910118 Madrid sección 10118;30,8;2,9
2807910119 Madrid sección 10119;26,6;2,4
2807910120 Madrid sección 10120;29,5;2,6
2807910121 Madrid sección 10121;30,2;2,5
2807910122 Madrid sección 10122;28,8;2,5
2807910123 Madrid sección 10123;28,1;2,5
2807910124 Madrid sección 10124;33;3
2807910125 Madrid sección 10125;33,1;3,1
2807910126 Madrid sección 10126;31,8;2,8
2807910127 Madrid sección 10127;30,3;3
2807910128 Madrid sección 10128;28,8;2,6
2807910129 Madrid sección 10129;28,5;2,6
2807910130 Madrid sección 10130;31,1;2,9
2807910131 Madrid sección 10131;34,9;3,2
2807910132 Madrid sección 10132;31;2,9
2807910133 Madrid sección 10133;31,9;2,9
2807910134 Madrid sección 10134;30,1;2,7
2807910135 Madrid sección 10135;26,9;2,4
2807910136 Madrid sección 10136;30,4;2,7
2807910137 Madrid sección 10137;31,4;2,9
2807910138 Madrid sección 10138;28,3;2,5
2807910139 Madrid sección 10139;29,1;2,5
2807910140 Madrid sección 10140;28,2;2,9
2807910142 Madrid sección 10142;32,6;3,1
2807910143 Madrid sección 10143;33,8;3
2807910144 Madrid sección 10144;35,1;3,2
2807910145 Madrid sección 10145;34,5;3,7
2807910146 Madrid sección 10146;32,5;2,8
2807910147 Madrid sección 10147;35,1;3,1
2807910148 Madrid sección 10148;35,2;3,4
2807910149 Madrid sección 10149;34,5;3,2
2807910150 Madrid sección 10150;31,6;2,8
2807910151 Madrid sección 10151;38,9;3,8
2807910152 Madrid sección 10152;22,9;1,9
2807910153 Madrid sección 10153;29,1;2,5
2807910154 Madrid sección 10154;30,5;2,8
2807910156 Madrid sección 10156;20,7;1,8
2807910157 Madrid sección 10157;20,5;1,8
2807910158 Madrid sección 10158;20,5;1,8
2807910159 Madrid sección 10159;20,5;1,8
2807910161 Madrid sección 10161;28,4;2,6
2807910162 Madrid sección 10162;29,5;2,4
2807910163 Madrid sección 10163;28,2;2,3
2807910164 Madrid sección 10164;29,3;2,6
2807910165 Madrid sección 10165;29,5;2,5
2807910167 Madrid sección 10167;29,5;2,7
2807910168 Madrid sección 10168;27,8;2,4
2807910169 Madrid sección 10169;28,5;2,7
2807910170 Madrid sección 10170;28;2,5
2807910171 Madrid sección 10171;27,7;2,4
2807910172 Madrid sección 10172;28,2;2,4
2807910173 Madrid sección 10173;29,4;2,5
2807910174 Madrid sección 10174;28,6;2,5
2807910175 Madrid sección 10175;27,1;2,4
2807910176 Madrid sección 10176;29,3;2,4
2807910178 Madrid sección 10178;26,4;2,3
2807910179 Madrid sección 10179;27,4;2,4
2807910180 Madrid sección 10180;28,5;2,7
2807910181 Madrid sección 10181;28,2;2,5
2807910182 Madrid sección 10182;28,1;2,4
2807910183 Madrid sección 10183;26,8;2,5
2807910184 Madrid sección 10184;25,8;2,2
2807910185 Madrid sección 10185;29,2;2,6
2807910187 Madrid sección 10187;31,1;2,9
2807910188 Madrid sección 10188;26,8;2,5
2807910189 Madrid sección 10189;28,7;2,6
2807910190 Madrid sección 10190;30,6;2,8
2807910191 Madrid sección 10191;28,3;2,4
2807910192 Madrid sección 10192;26,7;2,5
2807910193 Madrid sección 10193;25,4;2,2
2807910194 Madrid sección 10194;27,1;2,4
2807910196 Madrid sección 10196;;
