location_raw;Índice de Gini;Distribución de la renta P80/P20
2000201 Aduna distrito 01;22,1;2
2000201001 Aduna sección 01001;22,1;2
35001 Agaete;30,3;2,5
3500101 Agaete distrito 01;30,3;2,5
3500101001 Agaete sección 01001;31;2,5
3500101002 Agaete sección 01002;31,3;2,7
3500101003 Agaete sección 01003;25,9;2,1
3500101004 Agaete sección 01004;33,2;2,7
3500101005 Agaete sección 01005;30,3;2,5
37002 Agallas;23,9;2,3
3700201 Agallas distrito 01;23,9;2,3
3700201001 Agallas sección 01001;23,9;2,3
25002 Àger;26,3;2,4
2500201 Àger distrito 01;26,3;2,4
2500201001 Àger sección 01001;26,3;2,4
36020 Agolada;27,3;2,2
3602001 Agolada distrito 01;27,2;2,2
3602001001 Agolada sección 01001;27,2;2,2
3602002 Agolada distrito 02;28,1;2,2
3602002001 Agolada sección 02001;28,1;2,2
3602003 Agolada distrito 03;25,7;2,4
3602003001 Agolada sección 03001;25,7;2,4
50003 Agón;26,8;2,1
5000301 Agón distrito 01;26,8;2,1
5000301001 Agón sección 01001;26,8;2,1
26002 Agoncillo;29,5;2,5
2600201 Agoncillo distrito 01;29,5;2,5
2600201001 Agoncillo sección 01001;29,5;2,5
03002 Agost;29,9;2,6
0300201 Agost distrito 01;29,9;2,6
0300201001 Agost sección 01001;33,3;2,8
0300201002 Agost sección 01002;28,1;2,6
0300201003 Agost sección 01003;27,1;2,2
25003 Agramunt;28,7;2,6
2500301 Agramunt distrito 01;28,7;2,6
2500301001 Agramunt sección 01001;27,9;2,5
2500301002 Agramunt sección 01002;31,5;3,1
2500301003 Agramunt sección 01003;28;2,6
2500301004 Agramunt sección 01004;28,2;2,4
42004 Ágreda;26,3;2,2
4200401 Ágreda distrito 01;26,3;2,2
4200401001 Ágreda sección 01001;25,6;2,2
4200401002 Ágreda sección 01002;27,3;2,4
03003 Agres;29,7;2,3
0300301 Agres distrito 01;29,7;2,3
0300301001 Agres sección 01001;29,7;2,3
18001 Agrón;28,2;2,7
1800101 Agrón distrito 01;28,2;2,7
1800101001 Agrón sección 01001;28,2;2,7
41001 Aguadulce;27,9;2,1
4100101 Aguadulce distrito 01;28,5;2,3
4100101001 Aguadulce sección 01001;28,5;2,3
4100102 Aguadulce distrito 02;26,8;2
4100102001 Aguadulce sección 02001;26,8;2
50004 Aguarón;25,9;2,5
5000401 Aguarón distrito 01;25,9;2,5
5000401001 Aguarón sección 01001;25,9;2,5
09006 Aguas Cándidas;.;.
0900601 Aguas Cándidas distrito 01;.;.
0900601001 Aguas Cándidas sección 01001;.;.
47002 Aguasal;.;.
4700201 Aguasal distrito 01;.;.
4700201001 Aguasal sección 01001;.;.
44003 Aguatón;.;.
4400301 Aguatón distrito 01;.;.
4400301001 Aguatón sección 01001;.;.
44004 Aguaviva;28,9;2
4400401 Aguaviva distrito 01;28,9;2
4400401001 Aguaviva sección 01001;28,9;2
13002 Agudo;27,9;2,2
1300201 Agudo distrito 01;27,9;2,2
1300201001 Agudo sección 01001;28,9;2,2
1300201002 Agudo sección 01002;26,6;2,1
22004 Agüero;27,1;2,5
2200401 Agüero distrito 01;27,1;2,5
2200401001 Agüero sección 01001;27,1;2,5
40004 Aguilafuente;30,6;2,7
4000401 Aguilafuente distrito 01;30,6;2,7
4000401001 Aguilafuente sección 01001;30,6;2,7
09007 Aguilar de Bureba;.;.
0900701 Aguilar de Bureba distrito 01;.;.
0900701001 Aguilar de Bureba sección 01001;.;.
34004 Aguilar de Campoo;26,8;2,2
3400401 Aguilar de Campoo distrito 01;29,2;2,4
3400401001 Aguilar de Campoo sección 01001;30,3;2,5
3400401002 Aguilar de Campoo sección 01002;28,5;2,3
3400402 Aguilar de Campoo distrito 02;25,2;2,2
3400402001 Aguilar de Campoo sección 02001;23,7;2,2
3400402002 Aguilar de Campoo sección 02002;26,1;2,2
3400402003 Aguilar de Campoo sección 02003;25,2;2,1
3400403 Aguilar de Campoo distrito 03;28,2;2,5
3400403001 Aguilar de Campoo sección 03001;28,2;2,5
47003 Aguilar de Campos;31;3,3
4700301 Aguilar de Campos distrito 01;31;3,3
4700301001 Aguilar de Campos sección 01001;31;3,3
31008 Aguilar de Codés;;
3100801 Aguilar de Codés distrito 01;;
3100801001 Aguilar de Codés sección 01001;;
14002 Aguilar de la Frontera;29,5;2,1
1400201 Aguilar de la Frontera distrito 01;28,9;2,2
1400201001 Aguilar de la Frontera sección 01001;28,2;2,2
1400201002 Aguilar de la Frontera sección 01002;33,3;2,7
1400201003 Aguilar de la Frontera sección 01003;22,4;1,9
1400202 Aguilar de la Frontera distrito 02;28,1;2,4
1400202001 Aguilar de la Frontera sección 02001;28;2,2
1400202002 Aguilar de la Frontera sección 02002;29,7;2,3
1400202003 Aguilar de la Frontera sección 02003;25,7;2,2
1400202004 Aguilar de la Frontera sección 02004;27,6;2,5
1400203 Aguilar de la Frontera distrito 03;28,1;2,4
1400203001 Aguilar de la Frontera sección 03001;24,6;2,3
1400203002 Aguilar de la Frontera sección 03002;29,2;2,2
1400203003 Aguilar de la Frontera sección 03003;29;2,5
1400203004 Aguilar de la Frontera sección 03004;27,6;2,3
08002 Aguilar de Segarra;25,4;2,1
0800201 Aguilar de Segarra distrito 01;25,4;2,1
0800201001 Aguilar de Segarra sección 01001;25,4;2,1
44005 Aguilar del Alfambra;.;.
4400501 Aguilar del Alfambra distrito 01;.;.
4400501001 Aguilar del Alfambra sección 01001;.;.
26003 Aguilar del Río Alhama;30,8;2,4
2600301 Aguilar del Río Alhama distrito 01;30,8;2,4
2600301001 Aguilar del Río Alhama sección 01001;30,8;2,4
30003 Águilas;30,3;2,5
3000301 Águilas distrito 01;30,3;2,5
3000301001 Águilas sección 01001;36,2;3,1
3000301002 Águilas sección 01002;32,7;2,9
3000301003 Águilas sección 01003;29,9;2,5
3000301004 Águilas sección 01004;25;2
3000301005 Águilas sección 01005;25,5;2,1
3000301006 Águilas sección 01006;30,2;2,6
3000301007 Águilas sección 01007;30,1;2,2
3000301008 Águilas sección 01008;35;2,7
3000301009 Águilas sección 01009;34;3,1
3000301010 Águilas sección 01010;27,5;2,5
3000301011 Águilas sección 01011;29,6;2,2
3000301012 Águilas sección 01012;24,3;2
3000301013 Águilas sección 01013;28,1;2,2
3000301014 Águilas sección 01014;23,8;2
3000301015 Águilas sección 01015;36,2;3,5
3000301016 Águilas sección 01016;29,8;2,5
3000301017 Águilas sección 01017;31,2;2,5
3000301018 Águilas sección 01018;27,6;2,5
3000301019 Águilas sección 01019;28,9;2,5
3000301020 Águilas sección 01020;24,8;2,1
3000301021 Águilas sección 01021;28,5;2,5
3000301022 Águilas sección 01022;28,7;2,6
3000301023 Águilas sección 01023;26,4;2,2
3000301024 Águilas sección 01024;31,9;2,8
3000301025 Águilas sección 01025;24,3;2
3000301026 Águilas sección 01026;21,9;1,9
3000301027 Águilas sección 01027;26,2;2,1
3000301028 Águilas sección 01028;24,5;2,2
3000301029 Águilas sección 01029;28,5;2,4
3000301030 Águilas sección 01030;31,6;2,3
50005 Aguilón;27,5;2,4
5000501 Aguilón distrito 01;27,5;2,4
5000501001 Aguilón sección 01001;27,5;2,4
35002 Agüimes;28,9;2,4
3500201 Agüimes distrito 01;28,9;2,4
3500201001 Agüimes sección 01001;29,1;2,7
3500201002 Agüimes sección 01002;27,6;2,4
3500201003 Agüimes sección 01003;25,5;2,2
3500201004 Agüimes sección 01004;28,8;2,3
3500201005 Agüimes sección 01005;26,6;2,4
3500201006 Agüimes sección 01006;34,1;3,2
3500201007 Agüimes sección 01007;28,7;2,5
3500201008 Agüimes sección 01008;28,2;2,4
3500201009 Agüimes sección 01009;26,4;2,3
3500201010 Agüimes sección 01010;29,4;2,5
3500201011 Agüimes sección 01011;25,5;2,2
3500201012 Agüimes sección 01012;31,3;2,7
3500201013 Agüimes sección 01013;23,9;2
3500201014 Agüimes sección 01014;27,3;2,5
3500201015 Agüimes sección 01015;27,4;2,5
3500201016 Agüimes sección 01016;28,8;2,7
3500201017 Agüimes sección 01017;29,4;2,5
3500201018 Agüimes sección 01018;31,4;2,8
3500201019 Agüimes sección 01019;24,1;2
3500201020 Agüimes sección 01020;23,3;2,2
3500201021 Agüimes sección 01021;24,4;2,1
3500201022 Agüimes sección 01022;30,1;2,7
3500201023 Agüimes sección 01023;29,1;2,6
17001 Agullana;31,8;2,4
1700101 Agullana distrito 01;31,8;2,4
1700101001 Agullana sección 01001;31,8;2,4
46004 Agullent;25,9;2,2
4600401 Agullent distrito 01;25,9;2,2
4600401001 Agullent sección 01001;25,9;2,2
38002 Agulo;29,9;2,4
3800201 Agulo distrito 01;29,9;2,4
3800201001 Agulo sección 01001;29,9;2,4
01051 Agurain/Salvatierra;;
0105101 Agurain/Salvatierra distrito 01;;
0105101001 Agurain/Salvatierra sección 01001;;
0105101002 Agurain/Salvatierra sección 01002;;
0105101003 Agurain/Salvatierra sección 01003;;
10006 Ahigal;27;2,4
1000601 Ahigal distrito 01;27;2,4
1000601001 Ahigal sección 01001;27;2,4
37003 Ahigal de los Aceiteros;32,1;3
3700301 Ahigal de los Aceiteros distrito 01;32,1;3
3700301001 Ahigal de los Aceiteros sección 01001;32,1;3
37004 Ahigal de Villarino;.;.
3700401 Ahigal de Villarino distrito 01;.;.
3700401001 Ahigal de Villarino sección 01001;.;.
06003 Ahillones;27;2,2
0600301 Ahillones distrito 01;27;2,2
0600301001 Ahillones sección 01001;27;2,2
20016 Aia;29,6;2,3
2001601 Aia distrito 01;29,6;2,3
2001601001 Aia sección 01001;29,8;2,4
2001601002 Aia sección 01002;29,1;2,4
31009 Aibar/Oibar;;
3100901 Aibar/Oibar distrito 01;;
3100901001 Aibar/Oibar sección 01001;;
46042 Aielo de Malferit;26,4;2,2
4604201 Aielo de Malferit distrito 01;26,4;2,2
4604201001 Aielo de Malferit sección 01001;25,8;2,2
4604201002 Aielo de Malferit sección 01002;27;2,3
46043 Aielo de Rugat;30,5;2,5
4604301 Aielo de Rugat distrito 01;30,5;2,5
4604301001 Aielo de Rugat sección 01001;30,5;2,5
08014 Aiguafreda;26,8;2,1
0801401 Aiguafreda distrito 01;26,8;2,1
0801401001 Aiguafreda sección 01001;26,8;2,1
43001 Aiguamúrcia;31,7;2,9
4300101 Aiguamúrcia distrito 01;31,7;2,9
4300101001 Aiguamúrcia sección 01001;31,7;2,9
17002 Aiguaviva;26,2;2,1
1700201 Aiguaviva distrito 01;26,2;2,1
1700201001 Aiguaviva sección 01001;26,2;2,1
03004 Aigües;37,6;3,5
0300401 Aigües distrito 01;37,6;3,5
0300401001 Aigües sección 01001;37,6;3,5
12002 Aín;29,1;2,5
1200201 Aín distrito 01;29,1;2,5
1200201001 Aín sección 01001;29,1;2,5
22907 Aínsa-Sobrarbe;30;2,5
2290701 Aínsa-Sobrarbe distrito 01;30;2,5
2290701001 Aínsa-Sobrarbe sección 01001;30;2,5
50006 Ainzón;25,9;2,4
5000601 Ainzón distrito 01;25,9;2,4
5000601001 Ainzón sección 01001;25,9;2,4
22006 Aisa;28,5;2,2
2200601 Aisa distrito 01;28,5;2,2
2200601001 Aisa sección 01001;28,5;2,2
25038 Aitona;31,3;2,7
2503801 Aitona distrito 01;31,3;2,7
2503801001 Aitona sección 01001;29,6;2,5
2503801002 Aitona sección 01002;32,8;2,7
20003 Aizarnazabal;26,4;2,4
2000301 Aizarnazabal distrito 01;26,4;2,4
2000301001 Aizarnazabal sección 01001;26,4;2,4
28002 Ajalvir;30,3;2,7
2800201 Ajalvir distrito 01;30,3;2,7
2800201001 Ajalvir sección 01001;30,2;2,5
2800201002 Ajalvir sección 01002;30;2,7
26004 Ajamil de Cameros;.;.
2600401 Ajamil de Cameros distrito 01;.;.
2600401001 Ajamil de Cameros sección 01001;.;.
48911 Ajangiz;23,7;2,1
4891101 Ajangiz distrito 01;23,7;2,1
4891101001 Ajangiz sección 01001;23,7;2,1
45001 Ajofrín;26,5;2,1
4500101 Ajofrín distrito 01;26,5;2,1
4500101001 Ajofrín sección 01001;26,6;2,3
4500101002 Ajofrín sección 01002;26,4;2,1
44006 Alacón;32,6;2,6
4400601 Alacón distrito 01;32,6;2,6
4400601001 Alacón sección 01001;32,6;2,6
50007 Aladrén;.;.
5000701 Aladrén distrito 01;.;.
5000701001 Aladrén sección 01001;.;.
47004 Alaejos;31,6;2,4
4700401 Alaejos distrito 01;31,6;2,4
4700401001 Alaejos sección 01001;33,2;2,5
4700401002 Alaejos sección 01002;29,5;2,2
50008 Alagón;26;2,2
5000801 Alagón distrito 01;26;2,2
5000801001 Alagón sección 01001;25,1;2
5000801002 Alagón sección 01002;26,4;2,3
5000801003 Alagón sección 01003;26,1;2,2
5000801004 Alagón sección 01004;25,2;2,1
10903 Alagón del Río;25,9;2
1090301 Alagón del Río distrito 01;25,9;2
1090301001 Alagón del Río sección 01001;25,9;2
07002 Alaior;27,9;2,2
0700201 Alaior distrito 01;27,3;2,2
0700201001 Alaior sección 01001;25;2,1
0700201002 Alaior sección 01002;29,8;2,4
0700202 Alaior distrito 02;28,3;2,3
0700202001 Alaior sección 02001;28,7;2,3
