location_raw;Fuente de ingreso: salario;Fuente de ingreso: pensiones;Fuente de ingreso: prestaciones por desempleo;Fuente de ingreso: otras prestaciones;Fuente de ingreso: otros ingresos
47001 Adalia;;;;;
4700101 Adalia distrito 01;;;;;
4700101001 Adalia sección 01001;;;;;
14001 Adamuz;4111;2555;745;468;1544
1400101 Adamuz distrito 01;4111;2555;745;468;1544
1400101001 Adamuz sección 01001;4338;2197;839;479;1393
1400101002 Adamuz sección 01002;4472;2990;599;429;1751
1400101003 Adamuz sección 01003;3606;2666;737;481;1575
05001 Adanero;6973;3485;192;706;2285
0500101 Adanero distrito 01;6973;3485;192;706;2285
0500101001 Adanero sección 01001;6973;3485;192;706;2285
38001 Adeje;7108;1063;368;238;2008
3800101 Adeje distrito 01;7108;1063;368;238;2008
3800101001 Adeje sección 01001;7652;1462;432;245;1820
3800101002 Adeje sección 01002;7093;771;495;292;627
3800101003 Adeje sección 01003;6915;1157;307;255;2618
3800101004 Adeje sección 01004;6488;1409;427;337;719
3800101005 Adeje sección 01005;6804;1855;356;269;1880
3800101006 Adeje sección 01006;7088;1292;457;313;993
3800101007 Adeje sección 01007;5685;1047;316;136;1962
3800101008 Adeje sección 01008;6297;1187;328;201;2142
3800101009 Adeje sección 01009;9286;834;277;294;2234
3800101010 Adeje sección 01010;8814;1315;302;320;2448
3800101011 Adeje sección 01011;6239;651;403;136;1640
3800101012 Adeje sección 01012;7163;1065;439;292;3515
3800101013 Adeje sección 01013;7810;777;295;240;3494
3800101014 Adeje sección 01014;7418;1330;476;239;1162
3800101015 Adeje sección 01015;7021;830;472;324;1022
3800101016 Adeje sección 01016;7534;859;357;322;1551
3800101017 Adeje sección 01017;7011;917;372;212;1513
3800101018 Adeje sección 01018;7326;1019;265;153;3481
46001 Ademuz;5816;2743;239;593;1834
4600101 Ademuz distrito 01;5816;2743;239;593;1834
4600101001 Ademuz sección 01001;5816;2743;239;593;1834
31007 Adiós;;;;;
3100701 Adiós distrito 01;;;;;
3100701001 Adiós sección 01001;;;;;
19003 Adobes;;;;;
1900301 Adobes distrito 01;;;;;
1900301001 Adobes sección 01001;;;;;
46002 Ador;7381;2874;320;511;1156
4600201 Ador distrito 01;7381;2874;320;511;1156
4600201001 Ador sección 01001;7381;2874;320;511;1156
04003 Adra;4440;1680;421;448;1880
0400301 Adra distrito 01;5432;1728;402;443;1949
0400301001 Adra sección 01001;5121;2499;337;376;2371
0400301002 Adra sección 01002;5381;1815;343;405;2244
0400301003 Adra sección 01003;5224;1170;416;455;2491
0400301004 Adra sección 01004;5169;1191;479;453;1188
0400301005 Adra sección 01005;6065;1537;477;424;1326
0400301006 Adra sección 01006;5845;2874;292;507;2139
0400301007 Adra sección 01007;4981;2124;360;454;2694
0400302 Adra distrito 02;3757;2016;527;533;999
0400302001 Adra sección 02001;4163;2393;535;490;1102
0400302002 Adra sección 02002;3864;1884;507;533;912
0400302003 Adra sección 02003;3097;1763;549;586;1009
0400303 Adra distrito 03;3776;1522;457;485;1554
0400303001 Adra sección 03001;3499;2068;428;554;1335
0400303002 Adra sección 03002;3154;1501;451;399;1324
0400303003 Adra sección 03003;4219;1270;473;494;1773
0400304 Adra distrito 04;3808;2385;263;413;2118
0400304001 Adra sección 04001;3808;2385;263;413;2118
0400305 Adra distrito 05;3048;1297;372;355;2784
0400305001 Adra sección 05001;2899;1511;411;382;2095
0400305002 Adra sección 05002;3151;1150;345;337;3257
09003 Adrada de Haza;6150;3588;277;911;2402
0900301 Adrada de Haza distrito 01;6150;3588;277;911;2402
0900301001 Adrada de Haza sección 01001;6150;3588;277;911;2402
40002 Adrada de Pirón;;;;;
4000201 Adrada de Pirón distrito 01;;;;;
4000201001 Adrada de Pirón sección 01001;;;;;
05002 Adrada, La;5489;2531;370;536;1114
0500201 Adrada, La distrito 01;5489;2531;370;536;1114
0500201001 Adrada, La sección 01001;5161;2568;430;596;1038
0500201002 Adrada, La sección 01002;5849;2490;304;470;1199
42003 Adradas;;;;;
4200301 Adradas distrito 01;;;;;
4200301001 Adradas sección 01001;;;;;
40003 Adrados;4619;5222;72;886;2127
4000301 Adrados distrito 01;4619;5222;72;886;2127
4000301001 Adrados sección 01001;4619;5222;72;886;2127
20002 Aduna;12534,2;;;1187,4;3885
2000201 Aduna distrito 01;12534,2;;;1187,4;3885
2000201001 Aduna sección 01001;12534,2;;;1187,4;3885
35001 Agaete;7176;3049;402;641;1179
3500101 Agaete distrito 01;7176;3049;402;641;1179
3500101001 Agaete sección 01001;7172;3320;329;512;1121
3500101002 Agaete sección 01002;6833;2920;447;487;1134
3500101003 Agaete sección 01003;6818;2931;382;597;700
3500101004 Agaete sección 01004;7475;3566;329;1121;2008
3500101005 Agaete sección 01005;7652;2697;481;626;1081
37002 Agallas;4406;4508;394;669;1150
3700201 Agallas distrito 01;4406;4508;394;669;1150
3700201001 Agallas sección 01001;4406;4508;394;669;1150
25002 Àger;7929;3903;151;640;1813
2500201 Àger distrito 01;7929;3903;151;640;1813
2500201001 Àger sección 01001;7929;3903;151;640;1813
36020 Agolada;4447;4117;154;821;1105
3602001 Agolada distrito 01;5259;3738;143;777;1376
3602001001 Agolada sección 01001;5259;3738;143;777;1376
3602002 Agolada distrito 02;3467;4526;202;1074;683
3602002001 Agolada sección 02001;3467;4526;202;1074;683
3602003 Agolada distrito 03;3999;4385;117;602;1072
3602003001 Agolada sección 03001;3999;4385;117;602;1072
50003 Agón;5804;5604;161;307;2135
5000301 Agón distrito 01;5804;5604;161;307;2135
5000301001 Agón sección 01001;5804;5604;161;307;2135
26002 Agoncillo;8280;3270;298;452;2339
2600201 Agoncillo distrito 01;8280;3270;298;452;2339
2600201001 Agoncillo sección 01001;8280;3270;298;452;2339
03002 Agost;6130;2488;316;442;1125
0300201 Agost distrito 01;6130;2488;316;442;1125
0300201001 Agost sección 01001;5454;2498;314;448;971
0300201002 Agost sección 01002;6194;2908;303;463;1282
0300201003 Agost sección 01003;6914;1946;336;406;1125
25003 Agramunt;8826;2889;181;514;2062
2500301 Agramunt distrito 01;8826;2889;181;514;2062
2500301001 Agramunt sección 01001;7740;3186;173;629;2462
2500301002 Agramunt sección 01002;7524;3313;141;564;2230
2500301003 Agramunt sección 01003;9189;2500;190;448;1982
2500301004 Agramunt sección 01004;9619;2987;196;512;1873
42004 Ágreda;8503;3520;214;414;2158
4200401 Ágreda distrito 01;8503;3520;214;414;2158
4200401001 Ágreda sección 01001;8712;3165;222;409;2110
4200401002 Ágreda sección 01002;8239;3969;204;421;2218
03003 Agres;6937;3161;280;567;1852
0300301 Agres distrito 01;6937;3161;280;567;1852
0300301001 Agres sección 01001;6937;3161;280;567;1852
18001 Agrón;4698;2670;800;673;619
1800101 Agrón distrito 01;4698;2670;800;673;619
1800101001 Agrón sección 01001;4698;2670;800;673;619
41001 Aguadulce;4599;2291;807;518;1075
4100101 Aguadulce distrito 01;4648;2676;678;577;1687
4100101001 Aguadulce sección 01001;4648;2676;678;577;1687
4100102 Aguadulce distrito 02;4563;2005;846;475;622
4100102001 Aguadulce sección 02001;4563;2005;846;475;622
50004 Aguarón;7039;3502;208;488;2583
5000401 Aguarón distrito 01;7039;3502;208;488;2583
5000401001 Aguarón sección 01001;7039;3502;208;488;2583
09006 Aguas Cándidas;;;;;
0900601 Aguas Cándidas distrito 01;;;;;
0900601001 Aguas Cándidas sección 01001;;;;;
47002 Aguasal;;;;;
4700201 Aguasal distrito 01;;;;;
4700201001 Aguasal sección 01001;;;;;
44003 Aguatón;;;;;
4400301 Aguatón distrito 01;;;;;
4400301001 Aguatón sección 01001;;;;;
44004 Aguaviva;6666;2859;196;574;2741
4400401 Aguaviva distrito 01;6666;2859;196;574;2741
4400401001 Aguaviva sección 01001;6666;2859;196;574;2741
13002 Agudo;3310;3127;314;761;1680
1300201 Agudo distrito 01;3310;3127;314;761;1680
1300201001 Agudo sección 01001;3590;2945;336;731;1652
1300201002 Agudo sección 01002;2866;3415;280;810;1725
22004 Agüero;6908;5969;374;531;2187
2200401 Agüero distrito 01;6908;5969;374;531;2187
2200401001 Agüero sección 01001;6908;5969;374;531;2187
40004 Aguilafuente;6607;3201;159;738;1903
4000401 Aguilafuente distrito 01;6607;3201;159;738;1903
4000401001 Aguilafuente sección 01001;6607;3201;159;738;1903
09007 Aguilar de Bureba;;;;;
0900701 Aguilar de Bureba distrito 01;;;;;
0900701001 Aguilar de Bureba sección 01001;;;;;
34004 Aguilar de Campoo;9712;3631;308;529;1797
3400401 Aguilar de Campoo distrito 01;10474;4161;279;571;2725
3400401001 Aguilar de Campoo sección 01001;11362;4205;268;642;3528
3400401002 Aguilar de Campoo sección 01002;9624;4118;290;503;1958
3400402 Aguilar de Campoo distrito 02;9679;3288;335;517;1261
3400402001 Aguilar de Campoo sección 02001;8286;4089;384;704;966
3400402002 Aguilar de Campoo sección 02002;9398;3333;348;511;1646
3400402003 Aguilar de Campoo sección 02003;10399;2934;308;443;1185
3400403 Aguilar de Campoo distrito 03;7667;4112;230;475;2262
3400403001 Aguilar de Campoo sección 03001;7667;4112;230;475;2262
47003 Aguilar de Campos;5558;3110;89;277;2832
4700301 Aguilar de Campos distrito 01;5558;3110;89;277;2832
4700301001 Aguilar de Campos sección 01001;5558;3110;89;277;2832
31008 Aguilar de Codés;;;;;
3100801 Aguilar de Codés distrito 01;;;;;
3100801001 Aguilar de Codés sección 01001;;;;;
14002 Aguilar de la Frontera;4741;2187;813;580;1056
1400201 Aguilar de la Frontera distrito 01;4604;2686;804;551;1436
1400201001 Aguilar de la Frontera sección 01001;4753;2510;738;653;1255
1400201002 Aguilar de la Frontera sección 01002;6195;3611;394;585;3022
1400201003 Aguilar de la Frontera sección 01003;3547;2270;846;454;630
