location_raw;Fuente de ingreso: salario;Fuente de ingreso: pensiones;Fuente de ingreso: prestaciones por desempleo;Fuente de ingreso: otras prestaciones;Fuente de ingreso: otros ingresos
37193 Miranda del Castañar;4461;3493;198;740;2724
3719301 Miranda del Castañar distrito 01;4461;3493;198;740;2724
3719301001 Miranda del Castañar sección 01001;4461;3493;198;740;2724
06084 Mirandilla;5132;2460;417;463;1259
0608401 Mirandilla distrito 01;5132;2460;417;463;1259
0608401001 Mirandilla sección 01001;5132;2460;417;463;1259
09220 Miraveche;;;;;
0922001 Miraveche distrito 01;;;;;
0922001001 Miraveche sección 01001;;;;;
43084 Miravet;6315;3627;202;487;2073
4308401 Miravet distrito 01;6315;3627;202;487;2073
4308401001 Miravet sección 01001;6315;3627;202;487;2073
44150 Miravete de la Sierra;;;;;
4415001 Miravete de la Sierra distrito 01;;;;;
4415001001 Miravete de la Sierra sección 01001;;;;;
05129 Mirón, El;4931;4603;221;713;2983
0512901 Mirón, El distrito 01;4931;4603;221;713;2983
0512901001 Mirón, El sección 01001;4931;4603;221;713;2983
05130 Mironcillo;7389;4868;185;739;1524
0513001 Mironcillo distrito 01;7389;4868;185;739;1524
0513001001 Mironcillo sección 01001;7389;4868;185;739;1524
05131 Mirueña de los Infanzones;;;;;
0513101 Mirueña de los Infanzones distrito 01;;;;;
0513101001 Mirueña de los Infanzones sección 01001;;;;;
46169 Mislata;8022;2790;284;620;1002
4616901 Mislata distrito 01;8022;2790;284;620;1002
4616901001 Mislata sección 01001;6892;2580;207;761;1111
4616901002 Mislata sección 01002;5856;3322;329;705;902
4616901003 Mislata sección 01003;7493;2647;282;661;647
4616901004 Mislata sección 01004;11272;1802;299;675;1498
4616901005 Mislata sección 01005;6260;3052;322;699;869
4616901006 Mislata sección 01006;7381;3641;305;714;1818
4616901007 Mislata sección 01007;5186;3444;278;669;752
4616901008 Mislata sección 01008;6096;3249;299;485;640
4616901009 Mislata sección 01009;8014;3621;273;725;1628
4616901010 Mislata sección 01010;8988;4207;251;563;1955
4616901011 Mislata sección 01011;6258;3826;339;597;698
4616901012 Mislata sección 01012;7759;3690;342;612;704
4616901013 Mislata sección 01013;7920;3429;234;574;582
4616901014 Mislata sección 01014;6629;3164;286;648;809
4616901015 Mislata sección 01015;7480;2722;279;557;1499
4616901016 Mislata sección 01016;5751;2400;291;506;763
4616901017 Mislata sección 01017;7528;3362;271;575;984
4616901018 Mislata sección 01018;8515;2806;259;594;911
4616901019 Mislata sección 01019;6580;2291;275;517;504
4616901020 Mislata sección 01020;6035;3026;391;729;597
4616901021 Mislata sección 01021;8451;2625;267;471;1180
4616901022 Mislata sección 01022;9208;3193;302;701;914
4616901023 Mislata sección 01023;8149;2491;275;702;767
4616901024 Mislata sección 01024;6343;2399;367;555;551
4616901025 Mislata sección 01025;4773;2151;318;398;259
4616901026 Mislata sección 01026;7480;3805;198;732;1307
4616901027 Mislata sección 01027;7573;2648;293;763;649
4616901028 Mislata sección 01028;8268;3369;270;690;669
4616901029 Mislata sección 01029;10261;1334;285;538;908
4616901030 Mislata sección 01030;8287;3539;294;644;1258
4616901031 Mislata sección 01031;11464;1166;253;544;1050
4616901032 Mislata sección 01032;14092;1053;218;625;1954
36029 Moaña;7561;3297;290;498;1090
3602901 Moaña distrito 01;7824;3099;281;479;1033
3602901001 Moaña sección 01001;6386;3336;298;415;1168
3602901002 Moaña sección 01002;6646;3874;303;477;1354
3602901003 Moaña sección 01003;5927;4121;292;466;1290
3602901004 Moaña sección 01004;7022;3442;314;521;832
3602901005 Moaña sección 01005;10443;2076;236;485;1065
3602901006 Moaña sección 01006;7638;3087;318;385;731
3602901007 Moaña sección 01007;7052;3201;247;566;836
3602902 Moaña distrito 02;7021;3444;308;467;1219
3602902001 Moaña sección 02001;7079;2860;301;415;648
3602902002 Moaña sección 02002;6890;4373;277;553;1599
3602902003 Moaña sección 02003;7059;3322;334;454;1460
3602903 Moaña distrito 03;7571;3482;290;548;1077
3602903001 Moaña sección 03001;7162;3537;263;578;1148
3602903002 Moaña sección 03002;8336;3452;268;511;1155
3602903003 Moaña sección 03003;7486;3404;314;502;854
3602903004 Moaña sección 03004;7385;3712;301;569;1149
3602903005 Moaña sección 03005;7771;3310;307;586;1151
45102 Mocejón;6345;1875;273;382;1313
4510201 Mocejón distrito 01;6345;1875;273;382;1313
4510201001 Mocejón sección 01001;5257;1998;329;335;1069
4510201002 Mocejón sección 01002;6426;2081;268;438;1593
4510201003 Mocejón sección 01003;7567;1506;212;378;1307
19188 Mochales;;;;;
1918801 Mochales distrito 01;;;;;
1918801001 Mochales sección 01001;;;;;
18132 Moclín;3876;2842;821;692;948
1813201 Moclín distrito 01;3741;2974;733;777;1300
1813201001 Moclín sección 01001;3741;2974;733;777;1300
1813202 Moclín distrito 02;4009;2712;846;609;602
1813202001 Moclín sección 02001;4229;2814;846;585;674
1813202002 Moclín sección 02002;3786;2610;846;632;529
29071 Moclinejo;4129;1730;530;783;780
2907101 Moclinejo distrito 01;4129;1730;530;783;780
2907101001 Moclinejo sección 01001;4129;1730;530;783;780
09221 Modúbar de la Emparedada;11193;2086;259;326;1194
0922101 Modúbar de la Emparedada distrito 01;11193;2086;259;326;1194
0922101001 Modúbar de la Emparedada sección 01001;11193;2086;259;326;1194
15049 Moeche;5252;4331;195;663;1068
1504901 Moeche distrito 01;5252;4331;195;663;1068
1504901001 Moeche sección 01001;5607;4661;173;570;1414
1504901002 Moeche sección 01002;4939;4040;214;745;762
35012 Mogán;6752;1601;390;349;1969
3501201 Mogán distrito 01;7258;1903;389;449;1867
3501201001 Mogán sección 01001;7672;1996;342;457;2225
3501201002 Mogán sección 01002;6259;2029;472;490;2588
3501201003 Mogán sección 01003;7527;1722;381;412;1006
3501202 Mogán distrito 02;6148;1007;369;225;1933
3501202001 Mogán sección 02001;6261;1219;440;241;2478
3501202002 Mogán sección 02002;6068;857;318;214;1546
3501203 Mogán distrito 03;5400;2288;533;472;1411
3501203001 Mogán sección 03001;5251;2729;557;570;982
3501203002 Mogán sección 03002;5500;1989;516;405;1702
3501204 Mogán distrito 04;7438;1662;359;345;2326
3501204001 Mogán sección 04001;6933;1448;406;337;1301
3501204002 Mogán sección 04002;7572;2081;280;362;3545
3501204003 Mogán sección 04003;7981;943;481;313;944
3501205 Mogán distrito 05;6948;1947;382;435;1510
3501205001 Mogán sección 05001;6948;1947;382;435;1510
37194 Mogarraz;6454;3514;228;772;1543
3719401 Mogarraz distrito 01;6454;3514;228;772;1543
3719401001 Mogarraz sección 01001;6454;3514;228;772;1543
46170 Mogente/Moixent;6468;2271;252;647;1173
4617001 Mogente/Moixent distrito 01;6468;2271;252;647;1173
4617001001 Mogente/Moixent sección 01001;6257;2646;232;973;956
4617001002 Mogente/Moixent sección 01002;6457;1910;239;657;1393
4617001003 Mogente/Moixent sección 01003;6634;1999;240;461;1219
4617001004 Mogente/Moixent sección 01004;6503;2518;287;546;1107
21050 Moguer;6540;1626;624;466;1124
2105001 Moguer distrito 01;6037;1609;615;490;1035
2105001001 Moguer sección 01001;5533;1803;679;526;1160
2105001002 Moguer sección 01002;6444;1761;525;509;1406
2105001003 Moguer sección 01003;6223;1355;614;448;714
2105002 Moguer distrito 02;6740;1938;498;562;1498
2105002001 Moguer sección 02001;6500;2001;534;563;1627
2105002002 Moguer sección 02002;7111;1938;418;535;1530
2105002003 Moguer sección 02003;6669;1852;536;591;1293
2105003 Moguer distrito 03;6749;1503;683;411;1017
2105003001 Moguer sección 03001;5636;1538;664;407;978
2105003002 Moguer sección 03002;6453;606;801;243;788
2105003003 Moguer sección 03003;9725;3827;449;817;1620
2105003004 Moguer sección 03004;6090;2189;532;587;1250
10124 Mohedas de Granadilla;2963;3379;846;620;1009
1012401 Mohedas de Granadilla distrito 01;2963;3379;846;620;1009
1012401001 Mohedas de Granadilla sección 01001;2963;3379;846;620;1009
45103 Mohedas de la Jara;2917;4246;111;399;2556
4510301 Mohedas de la Jara distrito 01;2917;4246;111;399;2556
4510301001 Mohedas de la Jara sección 01001;2917;4246;111;399;2556
19189 Mohernando;6877;2220;294;911;1773
1918901 Mohernando distrito 01;6877;2220;294;911;1773
1918901001 Mohernando sección 01001;6877;2220;294;911;1773
08138 Moià;9637;2628;214;659;2269
0813801 Moià distrito 01;9637;2628;214;659;2269
0813801001 Moià sección 01001;9985;2523;196;697;2742
0813801002 Moià sección 01002;9442;2735;214;634;1915
0813801003 Moià sección 01003;9304;2640;253;629;1987
04064 Mojácar;5410;2609;276;356;2065
0406401 Mojácar distrito 01;5410;2609;276;356;2065
0406401001 Mojácar sección 01001;4876;2339;323;408;1344
0406401002 Mojácar sección 01002;5620;2715;258;335;2348
47090 Mojados;8223;2364;264;496;1134
4709001 Mojados distrito 01;8223;2364;264;496;1134
4709001001 Mojados sección 01001;8192;2338;257;592;1033
4709001002 Mojados sección 01002;8245;2382;269;426;1207
04903 Mojonera, La;3787;913;401;385;2467
0490301 Mojonera, La distrito 01;3787;913;401;385;2467
0490301001 Mojonera, La sección 01001;2921;837;371;419;3574
0490301002 Mojonera, La sección 01002;4255;945;366;372;3018
0490301003 Mojonera, La sección 01003;3494;807;438;328;1386
0490301004 Mojonera, La sección 01004;4336;1259;377;524;2420
0490301005 Mojonera, La sección 01005;3991;799;479;322;1363
49119 Molacillos;6592;2498;221;819;1597
4911901 Molacillos distrito 01;6592;2498;221;819;1597
4911901001 Molacillos sección 01001;6592;2498;221;819;1597
28086 Molar, El;8987;1584;250;387;1140
2808601 Molar, El distrito 01;8987;1584;250;387;1140
2808601001 Molar, El sección 01001;9056;1437;239;367;806
2808601002 Molar, El sección 01002;9518;1959;214;388;1595
2808601003 Molar, El sección 01003;8235;1252;306;408;899
43085 Molar, El;6845;4297;129;559;1987
4308501 Molar, El distrito 01;6845;4297;129;559;1987
4308501001 Molar, El sección 01001;6845;4297;129;559;1987
41063 Molares, Los;5034;1738;706;555;691
4106301 Molares, Los distrito 01;5034;1738;706;555;691
4106301001 Molares, Los sección 01001;4783;2125;624;619;656
4106301002 Molares, Los sección 01002;5263;1386;781;497;722
49120 Molezuelas de la Carballeda;;;;;
4912001 Molezuelas de la Carballeda distrito 01;;;;;
4912001001 Molezuelas de la Carballeda sección 01001;;;;;
19190 Molina de Aragón;6746;3043;236;535;1794
1919001 Molina de Aragón distrito 01;6746;3043;236;535;1794
1919001001 Molina de Aragón sección 01001;6791;2895;280;633;1794
1919001002 Molina de Aragón sección 01002;6581;3136;221;495;1975
1919001003 Molina de Aragón sección 01003;6963;3020;224;518;1519
30027 Molina de Segura;9046;1881;268;596;1618
3002701 Molina de Segura distrito 01;9046;1881;268;596;1618
3002701001 Molina de Segura sección 01001;6249;2067;280;504;611
3002701002 Molina de Segura sección 01002;6817;1811;281;619;437
3002701003 Molina de Segura sección 01003;4763;2069;316;823;659
3002701004 Molina de Segura sección 01004;5466;1890;260;683;943
3002701005 Molina de Segura sección 01005;5651;2669;266;550;1091
3002701006 Molina de Segura sección 01006;5941;1577;358;532;784
3002701007 Molina de Segura sección 01007;6895;1691;301;555;554
3002701008 Molina de Segura sección 01008;8754;2191;267;637;1026
3002701009 Molina de Segura sección 01009;6242;2456;215;840;739
3002701010 Molina de Segura sección 01010;6100;2427;257;817;611
3002701011 Molina de Segura sección 01011;5821;2737;283;795;960
3002701012 Molina de Segura sección 01012;5726;3105;312;821;785
3002701013 Molina de Segura sección 01013;6131;2301;380;494;516
3002701014 Molina de Segura sección 01014;8210;1935;263;575;675
3002701015 Molina de Segura sección 01015;8726;2103;172;412;1174
3002701016 Molina de Segura sección 01016;7197;1965;313;664;548
3002701017 Molina de Segura sección 01017;6709;1755;266;452;902
3002701018 Molina de Segura sección 01018;6004;1312;422;504;509
3002701019 Molina de Segura sección 01019;6337;3243;332;534;2242
3002701020 Molina de Segura sección 01020;6839;3279;275;631;3263
3002701021 Molina de Segura sección 01021;8376;1941;261;688;1453
3002701022 Molina de Segura sección 01022;12818;1192;251;521;2747
3002701023 Molina de Segura sección 01023;7887;3197;360;569;1611
3002701024 Molina de Segura sección 01024;6043;2399;358;664;623
3002701025 Molina de Segura sección 01025;6888;2907;268;778;706
3002701026 Molina de Segura sección 01026;9990;2338;282;542;2206
3002701027 Molina de Segura sección 01027;7581;1947;312;499;605
3002701028 Molina de Segura sección 01028;5593;2681;244;730;1470
3002701029 Molina de Segura sección 01029;7572;2168;283;590;1216
3002701030 Molina de Segura sección 01030;13970;4221;113;767;6440
3002701031 Molina de Segura sección 01031;10150;2436;218;703;2244
3002701032 Molina de Segura sección 01032;8882;1245;236;528;795
3002701033 Molina de Segura sección 01033;5753;2057;378;588;826
3002701034 Molina de Segura sección 01034;15485;2250;138;493;2685
3002701035 Molina de Segura sección 01035;16760;1753;173;635;6550
3002701036 Molina de Segura sección 01036;9690;854;281;475;860
3002701037 Molina de Segura sección 01037;15162;1029;219;315;3941
3002701038 Molina de Segura sección 01038;;;;;
3002701039 Molina de Segura sección 01039;7844;1916;314;832;886
3002701040 Molina de Segura sección 01040;11573;975;273;472;2281
3002701041 Molina de Segura sección 01041;7268;1085;309;472;444
3002701042 Molina de Segura sección 01042;6613;2308;343;790;647
3002701043 Molina de Segura sección 01043;6172;2044;324;659;710
3002701044 Molina de Segura sección 01044;6359;2704;234;821;611
3002701045 Molina de Segura sección 01045;9477;1238;276;546;841
3002701046 Molina de Segura sección 01046;7746;1931;302;720;1059
3002701047 Molina de Segura sección 01047;10362;1761;216;559;4036
3002701048 Molina de Segura sección 01048;4092;1891;369;607;92
3002701049 Molina de Segura sección 01049;7982;1442;229;612;1019
3002701050 Molina de Segura sección 01050;17293;2239;170;469;5470
3002701051 Molina de Segura sección 01051;14316;404;209;481;3125
3002701052 Molina de Segura sección 01052;12066;916;183;660;1303
3002701053 Molina de Segura sección 01053;14097;1350;156;496;2929
3002701054 Molina de Segura sección 01054;7824;2140;337;681;810
3002701055 Molina de Segura sección 01055;12767;1576;181;458;2046
3002701056 Molina de Segura sección 01056;17369;1285;191;518;2749
3002701057 Molina de Segura sección 01057;12732;345;237;547;1386
24100 Molinaseca;7315;3924;273;570;1470
2410001 Molinaseca distrito 01;7315;3924;273;570;1470
2410001001 Molinaseca sección 01001;7315;3924;273;570;1470
02049 Molinicos;4606;3884;412;603;1179
0204901 Molinicos distrito 01;4606;3884;412;603;1179
0204901001 Molinicos sección 01001;4606;3884;412;603;1179
37195 Molinillo;;;;;
3719501 Molinillo distrito 01;;;;;
3719501001 Molinillo sección 01001;;;;;
44151 Molinos;5588;4564;158;800;1317
4415101 Molinos distrito 01;5588;4564;158;800;1317
4415101001 Molinos sección 01001;5588;4564;158;800;1317
42117 Molinos de Duero;10057;3437;244;272;2355
4211701 Molinos de Duero distrito 01;10057;3437;244;272;2355
4211701001 Molinos de Duero sección 01001;10057;3437;244;272;2355
28087 Molinos, Los;10233;3476;252;458;2254
2808701 Molinos, Los distrito 01;10233;3476;252;458;2254
2808701001 Molinos, Los sección 01001;10833;2843;278;486;1493
2808701002 Molinos, Los sección 01002;9558;4187;222;426;3109
08123 Molins de Rei;12754;3011;223;727;2017
0812301 Molins de Rei distrito 01;11528;3836;253;732;2167
0812301001 Molins de Rei sección 01001;11045;3515;275;567;2339
0812301002 Molins de Rei sección 01002;12543;3593;236;870;1907
0812301003 Molins de Rei sección 01003;10723;4331;256;692;2339
0812302 Molins de Rei distrito 02;11644;2846;213;795;1281
0812302001 Molins de Rei sección 02001;12987;2339;209;598;1154
0812302002 Molins de Rei sección 02002;12679;3188;205;814;2094
0812302003 Molins de Rei sección 02003;8577;3767;177;1005;952
0812302004 Molins de Rei sección 02004;11737;2394;263;878;1101
0812303 Molins de Rei distrito 03;14355;2831;215;686;2606
0812303001 Molins de Rei sección 03001;13726;2155;225;799;1577
0812303002 Molins de Rei sección 03002;16198;2930;209;563;3752
0812303003 Molins de Rei sección 03003;14839;4093;227;698;3950
0812303004 Molins de Rei sección 03004;12241;2771;200;682;1489
0812304 Molins de Rei distrito 04;10257;2482;259;592;982
0812304001 Molins de Rei sección 04001;10257;2482;259;592;982
39046 Molledo;5851;4508;211;788;915
3904601 Molledo distrito 01;5851;4508;211;788;915
3904601001 Molledo sección 01001;5851;4508;211;788;915
25137 Mollerussa;8967;2132;236;574;1670
2513701 Mollerussa distrito 01;8967;2132;236;574;1670
2513701001 Mollerussa sección 01001;7851;2242;229;608;1672
2513701002 Mollerussa sección 01002;8889;2258;224;557;1456
2513701003 Mollerussa sección 01003;7092;1811;322;522;2164
2513701004 Mollerussa sección 01004;10301;2185;204;531;2084
2513701005 Mollerussa sección 01005;8974;2034;244;644;1142
2513701006 Mollerussa sección 01006;10206;2120;224;566;1687
17106 Mollet de Peralada;5911;4499;325;262;3289
1710601 Mollet de Peralada distrito 01;5911;4499;325;262;3289
1710601001 Mollet de Peralada sección 01001;5911;4499;325;262;3289
08124 Mollet del Vallès;10179;2726;274;692;1157
0812401 Mollet del Vallès distrito 01;9430;3072;293;695;1127
0812401001 Mollet del Vallès sección 01001;9817;3200;247;628;1066
0812401002 Mollet del Vallès sección 01002;8686;3200;293;693;1017
0812401003 Mollet del Vallès sección 01003;7929;2928;320;641;774
0812401004 Mollet del Vallès sección 01004;11451;4062;274;691;2221
0812401005 Mollet del Vallès sección 01005;9593;2681;299;752;874
0812401006 Mollet del Vallès sección 01006;9303;2801;273;731;1172
0812401007 Mollet del Vallès sección 01007;9261;2620;328;693;562
0812402 Mollet del Vallès distrito 02;11168;2757;272;708;1310
0812402001 Mollet del Vallès sección 02001;9681;3416;253;555;1830
0812402002 Mollet del Vallès sección 02002;11912;3055;222;622;1779
0812402003 Mollet del Vallès sección 02003;9511;2798;328;785;962
0812402004 Mollet del Vallès sección 02004;9845;2295;275;789;809
0812402005 Mollet del Vallès sección 02005;11360;3210;276;720;1350
0812402006 Mollet del Vallès sección 02006;8135;3281;297;878;1090
0812402007 Mollet del Vallès sección 02007;10982;2441;284;784;949
0812402008 Mollet del Vallès sección 02008;14934;1973;266;653;1468
0812402009 Mollet del Vallès sección 02009;15762;2229;221;584;1644
0812403 Mollet del Vallès distrito 03;9953;2533;265;681;1080
0812403001 Mollet del Vallès sección 03001;8789;3130;274;730;1263
0812403002 Mollet del Vallès sección 03002;8473;3353;258;710;891
0812403003 Mollet del Vallès sección 03003;10263;3230;315;816;1534
0812403004 Mollet del Vallès sección 03004;9874;3351;255;757;2846
0812403005 Mollet del Vallès sección 03005;13859;3332;214;693;2002
0812403006 Mollet del Vallès sección 03006;5770;1665;356;589;251
0812403007 Mollet del Vallès sección 03007;7956;2699;318;685;485
0812403008 Mollet del Vallès sección 03008;9009;2933;306;659;951
0812403009 Mollet del Vallès sección 03009;7609;3661;273;559;1221
0812403010 Mollet del Vallès sección 03010;10579;2310;238;800;969
0812403011 Mollet del Vallès sección 03011;12340;1440;203;448;595
0812403012 Mollet del Vallès sección 03012;10088;2130;255;686;923
0812403013 Mollet del Vallès sección 03013;12387;1114;242;550;789
0812403014 Mollet del Vallès sección 03014;10946;2133;247;783;504
0812403015 Mollet del Vallès sección 03015;10788;1807;256;803;746
29072 Mollina;4773;2061;482;529;1053
2907201 Mollina distrito 01;4773;2061;482;529;1053
2907201001 Mollina sección 01001;5026;2281;508;578;1407
2907201002 Mollina sección 01002;4538;1857;458;484;723
17107 Molló;8002;4165;342;409;3329
1710701 Molló distrito 01;8002;4165;342;409;3329
1710701001 Molló sección 01001;8002;4165;342;409;3329
25136 Molsosa, La;7340;3725;199;254;5609
2513601 Molsosa, La distrito 01;7340;3725;199;254;5609
2513601001 Molsosa, La sección 01001;7340;3725;199;254;5609
18133 Molvízar;3640;2592;710;559;1242
1813301 Molvízar distrito 01;3640;2592;710;559;1242
1813301001 Molvízar sección 01001;3919;2901;708;534;1335
1813301002 Molvízar sección 01002;3325;2242;713;587;1136
05132 Mombeltrán;4596;3722;308;602;1445
0513201 Mombeltrán distrito 01;4596;3722;308;602;1445
0513201001 Mombeltrán sección 01001;4596;3722;308;602;1445
42118 Momblona;;;;;
4211801 Momblona distrito 01;;;;;
4211801001 Momblona sección 01001;;;;;
49121 Mombuey;5443;3998;183;345;2610
4912101 Mombuey distrito 01;5443;3998;183;345;2610
4912101001 Mombuey sección 01001;5443;3998;183;345;2610
18134 Monachil;7715;2122;341;644;1529
1813401 Monachil distrito 01;6040;2001;426;603;1480
1813401001 Monachil sección 01001;6040;2001;426;603;1480
1813402 Monachil distrito 02;8161;2155;319;656;1542
1813402001 Monachil sección 02001;6537;2228;338;659;888
1813402002 Monachil sección 02002;8323;2441;360;799;1490
1813402003 Monachil sección 02003;9141;1417;277;477;1629
1813402004 Monachil sección 02004;9325;2767;264;666;2862
19191 Monasterio;;;;;
1919101 Monasterio distrito 01;;;;;
1919101001 Monasterio sección 01001;;;;;
09223 Monasterio de la Sierra;;;;;
0922301 Monasterio de la Sierra distrito 01;;;;;
0922301001 Monasterio de la Sierra sección 01001;;;;;
09224 Monasterio de Rodilla;8085;4006;329;255;3256
0922401 Monasterio de Rodilla distrito 01;8085;4006;329;255;3256
0922401001 Monasterio de Rodilla sección 01001;8085;4006;329;255;3256
47091 Monasterio de Vega;;;;;
4709101 Monasterio de Vega distrito 01;;;;;
4709101001 Monasterio de Vega sección 01001;;;;;
46171 Moncada;8035;2493;280;612;1231
4617101 Moncada distrito 01;7675;2596;284;600;1333
4617101001 Moncada sección 01001;11016;2354;251;647;2331
4617101002 Moncada sección 01002;7480;2558;329;496;1434
4617101003 Moncada sección 01003;7196;3297;234;733;1414
4617101004 Moncada sección 01004;6922;2924;274;543;1060
4617101005 Moncada sección 01005;6685;3021;295;546;1080
4617101006 Moncada sección 01006;6619;2021;299;642;861
4617101007 Moncada sección 01007;7821;1692;298;645;945
4617102 Moncada distrito 02;8298;2418;278;620;1156
4617102001 Moncada sección 02001;6580;3632;263;611;1192
4617102002 Moncada sección 02002;6406;2834;218;613;606
4617102003 Moncada sección 02003;6252;2372;275;611;787
4617102004 Moncada sección 02004;12800;2586;264;495;2637
4617102005 Moncada sección 02005;5551;2334;400;636;463
4617102006 Moncada sección 02006;7468;1869;300;590;624
4617102007 Moncada sección 02007;8129;2710;321;687;1313
4617102008 Moncada sección 02008;6549;2187;262;706;493
4617102009 Moncada sección 02009;7542;2711;243;592;887
4617102010 Moncada sección 02010;13375;1709;227;671;2209
09225 Moncalvillo;;;;;
0922501 Moncalvillo distrito 01;;;;;
0922501001 Moncalvillo sección 01001;;;;;
12077 Moncofa;7984;2583;358;616;1350
1207701 Moncofa distrito 01;6419;2779;349;600;1206
1207701001 Moncofa sección 01001;6336;2834;344;634;1063
1207701002 Moncofa sección 01002;6540;2699;355;551;1414
1207702 Moncofa distrito 02;9920;2340;368;636;1528
1207702001 Moncofa sección 02001;9738;2362;339;779;1476
1207702002 Moncofa sección 02002;10033;2327;387;548;1560
29073 Monda;5302;1784;366;636;1046
2907301 Monda distrito 01;5302;1784;366;636;1046
2907301001 Monda sección 01001;5775;1735;343;600;1278
2907301002 Monda sección 01002;4635;1854;399;686;719
36030 Mondariz;5277;3778;308;620;714
3603001 Mondariz distrito 01;6145;3709;272;647;954
3603001001 Mondariz sección 01001;6145;3709;272;647;954
3603002 Mondariz distrito 02;4364;3733;315;589;498
3603002001 Mondariz sección 02001;4644;3626;351;566;431
3603002002 Mondariz sección 02002;;;;;
3603002003 Mondariz sección 02003;3732;3974;235;639;649
3603003 Mondariz distrito 03;5670;3998;355;640;747
3603003001 Mondariz sección 03001;5670;3998;355;640;747
36031 Mondariz-Balneario;9434;3584;405;347;2653
3603101 Mondariz-Balneario distrito 01;9434;3584;405;347;2653
3603101001 Mondariz-Balneario sección 01001;9434;3584;405;347;2653
19192 Mondéjar;6079;1871;200;456;1634
1919201 Mondéjar distrito 01;6079;1871;200;456;1634
1919201001 Mondéjar sección 01001;5849;2060;182;579;1720
1919201002 Mondéjar sección 01002;6231;1748;212;376;1576
27030 Mondoñedo;5417;4493;152;494;1359
2703001 Mondoñedo distrito 01;5417;4493;152;494;1359
2703001001 Mondoñedo sección 01001;5925;4993;117;415;1641
2703001002 Mondoñedo sección 01002;5605;4135;174;537;1414
2703001003 Mondoñedo sección 01003;4422;4676;144;495;911
50170 Monegrillo;7845;3331;108;440;2542
5017001 Monegrillo distrito 01;7845;3331;108;440;2542
5017001001 Monegrillo sección 01001;7845;3331;108;440;2542
22155 Monesma y Cajigar;;;;;
2215501 Monesma y Cajigar distrito 01;;;;;
2215501001 Monesma y Cajigar sección 01001;;;;;
06085 Monesterio;5181;2012;395;533;1618
0608501 Monesterio distrito 01;5217;1931;399;519;1809
0608501001 Monesterio sección 01001;5141;1538;496;417;1613
0608501002 Monesterio sección 01002;5261;2158;342;578;1922
0608502 Monesterio distrito 02;5146;2088;391;546;1435
0608502001 Monesterio sección 02001;5216;1987;401;584;1487
0608502002 Monesterio sección 02002;5023;2268;374;479;1344
50171 Moneva;8161;7695;241;419;4174
5017101 Moneva distrito 01;;;;;
5017101001 Moneva sección 01001;;;;;
49122 Monfarracinos;7670;1741;213;540;1419
4912201 Monfarracinos distrito 01;7670;1741;213;540;1419
4912201001 Monfarracinos sección 01001;7670;1741;213;540;1419
15050 Monfero;5250;3700;206;477;1222
1505001 Monfero distrito 01;5250;3700;206;477;1222
1505001001 Monfero sección 01001;5842;3646;205;373;856
1505001002 Monfero sección 01002;6016;3548;241;410;1249
1505001003 Monfero sección 01003;3961;3888;178;647;1596
22156 Monflorite-Lascasas;10791;2370;171;503;3182
2215601 Monflorite-Lascasas distrito 01;10791;2370;171;503;3182
2215601001 Monflorite-Lascasas sección 01001;10791;2370;171;503;3182
37196 Monforte de la Sierra;;;;;
3719601 Monforte de la Sierra distrito 01;;;;;
3719601001 Monforte de la Sierra sección 01001;;;;;
27031 Monforte de Lemos;6615;3854;216;535;1244
2703101 Monforte de Lemos distrito 01;7204;3458;225;554;1373
2703101001 Monforte de Lemos sección 01001;7788;3864;164;558;1305
2703101002 Monforte de Lemos sección 01002;6773;2864;254;618;993
2703101003 Monforte de Lemos sección 01003;6761;4204;241;574;2283
2703101004 Monforte de Lemos sección 01004;7811;3169;252;482;1473
2703101005 Monforte de Lemos sección 01005;7070;3505;214;535;1236
2703101006 Monforte de Lemos sección 01006;7535;3081;222;525;1124
2703101007 Monforte de Lemos sección 01007;6422;4197;187;645;1379
2703102 Monforte de Lemos distrito 02;6199;4276;206;518;1192
2703102001 Monforte de Lemos sección 02001;6302;4983;133;444;873
2703102002 Monforte de Lemos sección 02002;6895;4603;188;529;1964
2703102003 Monforte de Lemos sección 02003;6944;4025;171;418;1311
2703102004 Monforte de Lemos sección 02004;5064;3867;280;618;658
2703103 Monforte de Lemos distrito 03;5089;4561;196;497;816
2703103001 Monforte de Lemos sección 03001;5653;4677;205;568;850
2703103002 Monforte de Lemos sección 03002;5352;4551;207;475;804
2703103003 Monforte de Lemos sección 03003;4333;4470;177;457;798
44152 Monforte de Moyuela;;;;;
4415201 Monforte de Moyuela distrito 01;;;;;
4415201001 Monforte de Moyuela sección 01001;;;;;
03088 Monforte del Cid;7126;1671;326;433;1484
0308801 Monforte del Cid distrito 01;7126;1671;326;433;1484
0308801001 Monforte del Cid sección 01001;5797;1901;401;569;1161
0308801002 Monforte del Cid sección 01002;6073;1661;383;410;1228
0308801003 Monforte del Cid sección 01003;5921;1997;292;404;1271
0308801004 Monforte del Cid sección 01004;7460;1500;327;450;1672
0308801005 Monforte del Cid sección 01005;9606;1435;255;392;1931
08128 Monistrol de Calders;8222;3505;291;918;1351
0812801 Monistrol de Calders distrito 01;8222;3505;291;918;1351
0812801001 Monistrol de Calders sección 01001;8222;3505;291;918;1351
08127 Monistrol de Montserrat;9514;3197;282;858;887
