location_raw;Renta neta media por persona ;Renta neta media por hogar;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar
42085 Fuentearmegil;12.049;21.568;15.871;15.050;13.136;23.514
4208501 Fuentearmegil distrito 01;12.049;21.568;15.871;15.050;13.136;23.514
4208501001 Fuentearmegil sección 01001;12.049;21.568;15.871;15.050;13.136;23.514
09135 Fuentebureba;.;.;.;.;.;.
0913501 Fuentebureba distrito 01;.;.;.;.;.;.
0913501001 Fuentebureba sección 01001;.;.;.;.;.;.
42086 Fuentecambrón;.;.;.;.;.;.
4208601 Fuentecambrón distrito 01;.;.;.;.;.;.
4208601001 Fuentecambrón sección 01001;.;.;.;.;.;.
42087 Fuentecantos;.;.;.;.;.;.
4208701 Fuentecantos distrito 01;.;.;.;.;.;.
4208701001 Fuentecantos sección 01001;.;.;.;.;.;.
09136 Fuentecén;12.387;21.781;16.308;13.650;14.095;24.784
0913601 Fuentecén distrito 01;12.387;21.781;16.308;13.650;14.095;24.784
0913601001 Fuentecén sección 01001;12.387;21.781;16.308;13.650;14.095;24.784
37136 Fuenteguinaldo;9.450;20.015;13.510;12.250;10.395;22.017
3713601 Fuenteguinaldo distrito 01;9.450;20.015;13.510;12.250;10.395;22.017
3713601001 Fuenteguinaldo sección 01001;9.450;20.015;13.510;12.250;10.395;22.017
21033 Fuenteheridos;7.861;17.759;11.211;9.450;8.907;20.122
2103301 Fuenteheridos distrito 01;7.861;17.759;11.211;9.450;8.907;20.122
2103301001 Fuenteheridos sección 01001;7.861;17.759;11.211;9.450;8.907;20.122
19120 Fuentelahiguera de Albatages;10.362;19.284;14.776;12.250;12.807;23.835
1912001 Fuentelahiguera de Albatages distrito 01;10.362;19.284;14.776;12.250;12.807;23.835
1912001001 Fuentelahiguera de Albatages sección 01001;10.362;19.284;14.776;12.250;12.807;23.835
49080 Fuentelapeña;9.765;21.465;13.748;12.250;10.875;23.904
4908001 Fuentelapeña distrito 01;9.765;21.465;13.748;12.250;10.875;23.904
4908001001 Fuentelapeña sección 01001;9.765;21.465;13.748;12.250;10.875;23.904
09137 Fuentelcésped;16.796;34.462;22.564;18.550;20.292;41.634
0913701 Fuentelcésped distrito 01;16.796;34.462;22.564;18.550;20.292;41.634
0913701001 Fuentelcésped sección 01001;16.796;34.462;22.564;18.550;20.292;41.634
19121 Fuentelencina;9.958;23.972;14.736;13.650;11.275;27.143
1912101 Fuentelencina distrito 01;9.958;23.972;14.736;13.650;11.275;27.143
1912101001 Fuentelencina sección 01001;9.958;23.972;14.736;13.650;11.275;27.143
16087 Fuentelespino de Haro;10.494;24.262;15.072;13.650;11.670;26.981
1608701 Fuentelespino de Haro distrito 01;10.494;24.262;15.072;13.650;11.670;26.981
1608701001 Fuentelespino de Haro sección 01001;10.494;24.262;15.072;13.650;11.670;26.981
16088 Fuentelespino de Moya;9.565;19.490;13.610;12.600;10.731;21.866
1608801 Fuentelespino de Moya distrito 01;9.565;19.490;13.610;12.600;10.731;21.866
1608801001 Fuentelespino de Moya sección 01001;9.565;19.490;13.610;12.600;10.731;21.866
37137 Fuenteliante;.;.;.;.;.;.
3713701 Fuenteliante distrito 01;.;.;.;.;.;.
3713701001 Fuenteliante sección 01001;.;.;.;.;.;.
09138 Fuentelisendo;.;.;.;.;.;.
0913801 Fuentelisendo distrito 01;.;.;.;.;.;.
0913801001 Fuentelisendo sección 01001;.;.;.;.;.;.
42088 Fuentelmonge;.;.;.;.;.;.
4208801 Fuentelmonge distrito 01;.;.;.;.;.;.
4208801001 Fuentelmonge sección 01001;.;.;.;.;.;.
19122 Fuentelsaz;.;.;.;.;.;.
1912201 Fuentelsaz distrito 01;.;.;.;.;.;.
1912201001 Fuentelsaz sección 01001;.;.;.;.;.;.
42089 Fuentelsaz de Soria;.;.;.;.;.;.
4208901 Fuentelsaz de Soria distrito 01;.;.;.;.;.;.
4208901001 Fuentelsaz de Soria sección 01001;.;.;.;.;.;.
19123 Fuentelviejo;.;.;.;.;.;.
1912301 Fuentelviejo distrito 01;.;.;.;.;.;.
1912301001 Fuentelviejo sección 01001;.;.;.;.;.;.
09139 Fuentemolinos;16.414;39.634;23.761;24.850;19.546;47.195
0913901 Fuentemolinos distrito 01;.;.;.;.;.;.
0913901001 Fuentemolinos sección 01001;.;.;.;.;.;.
16904 Fuentenava de Jábaga;14.341;31.152;20.131;17.150;17.163;37.283
1690401 Fuentenava de Jábaga distrito 01;14.341;31.152;20.131;17.150;17.163;37.283
1690401001 Fuentenava de Jábaga sección 01001;14.341;31.152;20.131;17.150;17.163;37.283
09140 Fuentenebro;13.466;26.483;18.378;16.450;15.562;30.604
0914001 Fuentenebro distrito 01;13.466;26.483;18.378;16.450;15.562;30.604
0914001001 Fuentenebro sección 01001;13.466;26.483;18.378;16.450;15.562;30.604
19124 Fuentenovilla;10.199;23.027;14.320;12.250;11.710;26.439
1912401 Fuentenovilla distrito 01;10.199;23.027;14.320;12.250;11.710;26.439
1912401001 Fuentenovilla sección 01001;10.199;23.027;14.320;12.250;11.710;26.439
47068 Fuente-Olmedo;.;.;.;.;.;.
4706801 Fuente-Olmedo distrito 01;.;.;.;.;.;.
4706801001 Fuente-Olmedo sección 01001;.;.;.;.;.;.
40086 Fuentepelayo;11.463;27.314;16.754;15.750;13.390;31.905
4008601 Fuentepelayo distrito 01;11.463;27.314;16.754;15.750;13.390;31.905
4008601001 Fuentepelayo sección 01001;11.463;27.314;16.754;15.750;13.390;31.905
42090 Fuentepinilla;.;.;.;.;.;.
4209001 Fuentepinilla distrito 01;.;.;.;.;.;.
4209001001 Fuentepinilla sección 01001;.;.;.;.;.;.
40087 Fuentepiñel;.;.;.;.;.;.
4008701 Fuentepiñel distrito 01;.;.;.;.;.;.
4008701001 Fuentepiñel sección 01001;.;.;.;.;.;.
40088 Fuenterrebollo;9.535;22.488;13.865;11.550;10.693;25.222
4008801 Fuenterrebollo distrito 01;9.535;22.488;13.865;11.550;10.693;25.222
4008801001 Fuenterrebollo sección 01001;9.535;22.488;13.865;11.550;10.693;25.222
37138 Fuenterroble de Salvatierra;9.239;20.418;13.433;12.250;10.513;23.235
3713801 Fuenterroble de Salvatierra distrito 01;9.239;20.418;13.433;12.250;10.513;23.235
3713801001 Fuenterroble de Salvatierra sección 01001;9.239;20.418;13.433;12.250;10.513;23.235
46129 Fuenterrobles;9.054;21.377;13.327;12.950;10.192;24.065
4612901 Fuenterrobles distrito 01;9.054;21.377;13.327;12.950;10.192;24.065
4612901001 Fuenterrobles sección 01001;9.054;21.377;13.327;12.950;10.192;24.065
16089 Fuentes;10.342;25.275;15.298;15.750;11.767;28.758
1608901 Fuentes distrito 01;10.342;25.275;15.298;15.750;11.767;28.758
1608901001 Fuentes sección 01001;10.342;25.275;15.298;15.750;11.767;28.758
44111 Fuentes Calientes;.;.;.;.;.;.
4411101 Fuentes Calientes distrito 01;.;.;.;.;.;.
4411101001 Fuentes Calientes sección 01001;.;.;.;.;.;.
44112 Fuentes Claras;11.147;25.767;16.033;14.350;12.787;29.557
4411201 Fuentes Claras distrito 01;11.147;25.767;16.033;14.350;12.787;29.557
4411201001 Fuentes Claras sección 01001;11.147;25.767;16.033;14.350;12.787;29.557
41042 Fuentes de Andalucía;8.250;21.358;12.336;11.550;9.195;23.805
4104201 Fuentes de Andalucía distrito 01;9.473;23.190;13.873;12.950;10.751;26.319
4104201001 Fuentes de Andalucía sección 01001;9.473;23.190;13.873;12.950;10.751;26.319
4104201002 Fuentes de Andalucía sección 01002;;;;;;
4104202 Fuentes de Andalucía distrito 02;8.201;20.083;12.146;11.550;9.052;22.166
4104202001 Fuentes de Andalucía sección 02001;7.710;18.242;11.346;10.850;8.399;19.873
4104202002 Fuentes de Andalucía sección 02002;8.428;20.976;12.513;11.550;9.353;23.280
4104203 Fuentes de Andalucía distrito 03;7.915;21.545;11.986;10.850;8.814;23.992
4104203001 Fuentes de Andalucía sección 03001;7.644;20.643;11.460;10.150;8.425;22.753
4104203002 Fuentes de Andalucía sección 03002;8.218;22.572;12.574;11.550;9.249;25.403
05078 Fuentes de Año;13.867;28.601;19.662;17.850;15.685;32.351
0507801 Fuentes de Año distrito 01;.;.;.;.;.;.
0507801001 Fuentes de Año sección 01001;.;.;.;.;.;.
12064 Fuentes de Ayódar;.;.;.;.;.;.
1206401 Fuentes de Ayódar distrito 01;.;.;.;.;.;.
1206401001 Fuentes de Ayódar sección 01001;.;.;.;.;.;.
37139 Fuentes de Béjar;11.417;26.639;16.379;15.400;13.807;32.216
3713901 Fuentes de Béjar distrito 01;11.417;26.639;16.379;15.400;13.807;32.216
3713901001 Fuentes de Béjar sección 01001;11.417;26.639;16.379;15.400;13.807;32.216
24074 Fuentes de Carbajal;.;.;.;.;.;.
2407401 Fuentes de Carbajal distrito 01;.;.;.;.;.;.
2407401001 Fuentes de Carbajal sección 01001;.;.;.;.;.;.
50115 Fuentes de Ebro;11.499;31.059;17.573;16.450;13.666;36.913
5011501 Fuentes de Ebro distrito 01;11.499;31.059;17.573;16.450;13.666;36.913
5011501001 Fuentes de Ebro sección 01001;11.469;31.568;17.545;16.450;13.620;37.488
5011501002 Fuentes de Ebro sección 01002;11.538;30.400;17.611;16.450;13.727;36.168
50116 Fuentes de Jiloca;9.546;20.729;13.675;10.850;10.734;23.307
5011601 Fuentes de Jiloca distrito 01;9.546;20.729;13.675;10.850;10.734;23.307
5011601001 Fuentes de Jiloca sección 01001;9.546;20.729;13.675;10.850;10.734;23.307
06055 Fuentes de León;7.615;17.525;10.940;9.450;8.434;19.409
0605501 Fuentes de León distrito 01;8.363;18.401;11.851;10.150;9.400;20.684
0605501001 Fuentes de León sección 01001;8.363;18.401;11.851;10.150;9.400;20.684
0605502 Fuentes de León distrito 02;7.063;16.823;10.265;9.450;7.720;18.388
0605502001 Fuentes de León sección 02001;7.297;17.467;10.557;9.100;8.077;19.335
0605502002 Fuentes de León sección 02002;6.800;16.109;9.938;9.450;7.319;17.337
42092 Fuentes de Magaña;.;.;.;.;.;.
4209201 Fuentes de Magaña distrito 01;.;.;.;.;.;.
4209201001 Fuentes de Magaña sección 01001;.;.;.;.;.;.
34076 Fuentes de Nava;10.946;25.594;15.513;13.650;12.571;29.395
3407601 Fuentes de Nava distrito 01;10.946;25.594;15.513;13.650;12.571;29.395
3407601001 Fuentes de Nava sección 01001;10.946;25.594;15.513;13.650;12.571;29.395
37140 Fuentes de Oñoro;10.164;30.404;16.662;12.950;12.182;36.443
3714001 Fuentes de Oñoro distrito 01;10.164;30.404;16.662;12.950;12.182;36.443
3714001001 Fuentes de Oñoro sección 01001;10.164;30.404;16.662;12.950;12.182;36.443
49082 Fuentes de Ropel;11.120;22.480;15.253;13.650;12.465;25.199
4908201 Fuentes de Ropel distrito 01;11.120;22.480;15.253;13.650;12.465;25.199
4908201001 Fuentes de Ropel sección 01001;11.120;22.480;15.253;13.650;12.465;25.199
44113 Fuentes de Rubielos;6.416;16.115;9.371;7.700;7.046;17.696
4411301 Fuentes de Rubielos distrito 01;6.416;16.115;9.371;7.700;7.046;17.696
4411301001 Fuentes de Rubielos sección 01001;6.416;16.115;9.371;7.700;7.046;17.696
34077 Fuentes de Valdepero;13.068;31.167;19.350;18.550;15.336;36.578
3407701 Fuentes de Valdepero distrito 01;13.068;31.167;19.350;18.550;15.336;36.578
3407701001 Fuentes de Valdepero sección 01001;13.068;31.167;19.350;18.550;15.336;36.578
49081 Fuentesaúco;9.535;22.663;14.147;12.950;10.960;26.050
4908101 Fuentesaúco distrito 01;9.546;23.510;14.494;13.650;11.129;27.410
4908101001 Fuentesaúco sección 01001;9.546;23.510;14.494;13.650;11.129;27.410
4908102 Fuentesaúco distrito 02;9.522;21.774;13.755;12.250;10.768;24.623
4908102001 Fuentesaúco sección 02001;9.522;21.774;13.755;12.250;10.768;24.623
40089 Fuentesaúco de Fuentidueña;12.263;26.155;17.395;15.050;14.190;30.263
4008901 Fuentesaúco de Fuentidueña distrito 01;12.263;26.155;17.395;15.050;14.190;30.263
4008901001 Fuentesaúco de Fuentidueña sección 01001;12.263;26.155;17.395;15.050;14.190;30.263
49083 Fuentesecas;.;.;.;.;.;.
4908301 Fuentesecas distrito 01;.;.;.;.;.;.
4908301001 Fuentesecas sección 01001;.;.;.;.;.;.
40091 Fuentesoto;15.388;34.161;21.890;14.350;18.269;40.557
4009101 Fuentesoto distrito 01;15.388;34.161;21.890;14.350;18.269;40.557
4009101001 Fuentesoto sección 01001;15.388;34.161;21.890;14.350;18.269;40.557
44114 Fuentespalda;10.348;22.635;14.901;12.950;11.561;25.289
4411401 Fuentespalda distrito 01;10.348;22.635;14.901;12.950;11.561;25.289
4411401001 Fuentespalda sección 01001;10.348;22.635;14.901;12.950;11.561;25.289
09141 Fuentespina;13.872;36.337;21.028;20.650;16.556;43.366
0914101 Fuentespina distrito 01;13.872;36.337;21.028;20.650;16.556;43.366
0914101001 Fuentespina sección 01001;13.872;36.337;21.028;20.650;16.556;43.366
49084 Fuentespreadas;10.107;23.474;14.853;12.950;11.471;26.642
4908401 Fuentespreadas distrito 01;10.107;23.474;14.853;12.950;11.471;26.642
4908401001 Fuentespreadas sección 01001;10.107;23.474;14.853;12.950;11.471;26.642
42093 Fuentestrún;.;.;.;.;.;.
4209301 Fuentestrún distrito 01;.;.;.;.;.;.
4209301001 Fuentestrún sección 01001;.;.;.;.;.;.
14031 Fuente-Tójar;8.661;18.544;11.961;10.850;9.483;20.303
1403101 Fuente-Tójar distrito 01;8.661;18.544;11.961;10.850;9.483;20.303
1403101001 Fuente-Tójar sección 01001;8.661;18.544;11.961;10.850;9.483;20.303
40092 Fuentidueña;11.849;25.644;17.133;13.650;13.841;29.954
4009201 Fuentidueña distrito 01;11.849;25.644;17.133;13.650;13.841;29.954
4009201001 Fuentidueña sección 01001;11.849;25.644;17.133;13.650;13.841;29.954
28060 Fuentidueña de Tajo;9.993;24.996;14.771;13.650;11.437;28.607
2806001 Fuentidueña de Tajo distrito 01;9.993;24.996;14.771;13.650;11.437;28.607
2806001001 Fuentidueña de Tajo sección 01001;9.993;24.996;14.771;13.650;11.437;28.607
23035 Fuerte del Rey;8.921;22.035;13.289;11.550;10.054;24.834
2303501 Fuerte del Rey distrito 01;8.921;22.035;13.289;11.550;10.054;24.834
2303501001 Fuerte del Rey sección 01001;8.921;22.035;13.289;11.550;10.054;24.834
16091 Fuertescusa;.;.;.;.;.;.
1609101 Fuertescusa distrito 01;.;.;.;.;.;.
1609101001 Fuertescusa sección 01001;.;.;.;.;.;.
22113 Fueva, La;11.949;33.972;18.562;16.450;14.419;40.995
2211301 Fueva, La distrito 01;11.949;33.972;18.562;16.450;14.419;40.995
2211301001 Fueva, La sección 01001;11.949;33.972;18.562;16.450;14.419;40.995
25096 Fuliola, La;10.905;30.451;16.709;15.050;12.732;35.551
2509601 Fuliola, La distrito 01;10.905;30.451;16.709;15.050;12.732;35.551
2509601001 Fuliola, La sección 01001;10.905;30.451;16.709;15.050;12.732;35.551
25097 Fulleda;.;.;.;.;.;.
2509701 Fulleda distrito 01;.;.;.;.;.;.
2509701001 Fulleda sección 01001;.;.;.;.;.;.
31107 Funes;11.181;31.000;;;;
3110701 Funes distrito 01;.;.;;;;
3110701001 Funes sección 01001;.;.;;;;
3110702 Funes distrito 02;.;.;;;;
3110702001 Funes sección 02001;.;.;;;;
31108 Fustiñana;10.265;29.002;;;;
3110801 Fustiñana distrito 01;.;.;;;;
3110801001 Fustiñana sección 01001;.;.;;;;
3110802 Fustiñana distrito 02;.;.;;;;
3110802001 Fustiñana sección 02001;.;.;;;;
16092 Gabaldón;9.149;21.909;13.132;10.850;10.672;25.557
1609201 Gabaldón distrito 01;9.149;21.909;13.132;10.850;10.672;25.557
1609201001 Gabaldón sección 01001;9.149;21.909;13.132;10.850;10.672;25.557
18905 Gabias, Las;9.022;23.558;13.717;12.250;10.448;27.281
1890501 Gabias, Las distrito 01;9.022;23.558;13.717;12.250;10.448;27.281
1890501001 Gabias, Las sección 01001;8.131;22.377;12.476;11.550;9.246;25.445
1890501002 Gabias, Las sección 01002;8.700;24.563;13.368;12.250;10.051;28.379
1890501003 Gabias, Las sección 01003;9.144;21.566;13.299;12.250;10.433;24.606
1890501004 Gabias, Las sección 01004;8.094;21.739;12.279;10.850;9.254;24.855
1890501005 Gabias, Las sección 01005;9.371;24.723;14.341;12.950;10.877;28.697
1890501006 Gabias, Las sección 01006;8.739;25.183;13.958;12.950;10.151;29.250
1890501007 Gabias, Las sección 01007;8.221;21.059;12.350;11.550;9.265;23.732
1890501008 Gabias, Las sección 01008;11.071;28.044;17.152;15.050;13.470;34.120
1890501009 Gabias, Las sección 01009;8.198;22.594;12.779;11.550;9.421;25.966
1890501010 Gabias, Las sección 01010;10.123;23.824;15.051;12.950;11.883;27.967
1890501011 Gabias, Las sección 01011;10.295;27.869;15.552;12.950;12.249;33.159
1890501012 Gabias, Las sección 01012;9.032;22.149;13.437;12.250;10.323;25.314
20038 Gabiria;17.313;50.292;27.024;26.250;20.957;60.875
2003801 Gabiria distrito 01;17.313;50.292;27.024;26.250;20.957;60.875
2003801001 Gabiria sección 01001;17.313;50.292;27.024;26.250;20.957;60.875
04047 Gádor;8.297;19.021;11.913;10.150;9.360;21.458
0404701 Gádor distrito 01;8.297;19.021;11.913;10.150;9.360;21.458
0404701001 Gádor sección 01001;8.646;19.333;12.328;10.850;9.772;21.851
0404701002 Gádor sección 01002;8.057;18.797;11.629;10.150;9.078;21.177
08090 Gaià;13.784;37.690;20.901;15.750;16.433;44.934
0809001 Gaià distrito 01;13.784;37.690;20.901;15.750;16.433;44.934
0809001001 Gaià sección 01001;13.784;37.690;20.901;15.750;16.433;44.934
03072 Gaianes;10.893;24.411;15.935;14.000;12.721;28.508
0307201 Gaianes distrito 01;10.893;24.411;15.935;14.000;12.721;28.508
0307201001 Gaianes sección 01001;10.893;24.411;15.935;14.000;12.721;28.508
12065 Gaibiel;10.928;20.641;15.430;13.650;12.626;23.849
1206501 Gaibiel distrito 01;10.928;20.641;15.430;13.650;12.626;23.849
1206501001 Gaibiel sección 01001;10.928;20.641;15.430;13.650;12.626;23.849
20037 Gaintza;15.946;37.797;23.089;20.650;18.976;44.980
2003701 Gaintza distrito 01;15.946;37.797;23.089;20.650;18.976;44.980
2003701001 Gaintza sección 01001;15.946;37.797;23.089;20.650;18.976;44.980
19125 Gajanejos;.;.;.;.;.;.
1912501 Gajanejos distrito 01;.;.;.;.;.;.
1912501001 Gajanejos sección 01001;.;.;.;.;.;.
37141 Gajates;12.297;30.371;18.344;15.750;13.885;34.293
3714101 Gajates distrito 01;12.297;30.371;18.344;15.750;13.885;34.293
3714101001 Gajates sección 01001;12.297;30.371;18.344;15.750;13.885;34.293
28061 Galapagar;13.807;40.556;21.553;17.850;17.057;50.102
2806101 Galapagar distrito 01;13.807;40.556;21.553;17.850;17.057;50.102
2806101001 Galapagar sección 01001;11.802;34.371;18.110;14.350;14.177;41.287
2806101002 Galapagar sección 01002;11.063;30.588;16.822;14.350;13.137;36.324
2806101003 Galapagar sección 01003;11.779;32.604;17.770;14.350;14.075;38.959
2806101004 Galapagar sección 01004;10.022;29.405;15.698;13.650;11.817;34.672
2806101005 Galapagar sección 01005;15.135;46.153;23.470;19.950;18.700;57.021
2806101006 Galapagar sección 01006;17.316;54.463;27.406;24.850;22.004;69.207
2806101007 Galapagar sección 01007;17.040;51.315;26.994;23.450;21.611;65.082
2806101008 Galapagar sección 01008;22.336;72.515;36.664;27.650;29.324;95.200
2806101009 Galapagar sección 01009;15.205;43.568;23.540;21.350;19.055;54.600
2806101010 Galapagar sección 01010;17.328;53.039;27.144;23.450;22.085;67.603
2806101011 Galapagar sección 01011;9.191;26.534;14.205;12.250;10.621;30.662
2806101012 Galapagar sección 01012;14.567;41.927;22.391;17.850;18.278;52.610
2806101013 Galapagar sección 01013;14.562;43.963;22.861;19.250;17.877;53.971
19126 Galápagos;11.535;31.549;17.842;16.450;13.792;37.723
1912601 Galápagos distrito 01;11.535;31.549;17.842;16.450;13.792;37.723
1912601001 Galápagos sección 01001;11.535;31.549;17.842;16.450;13.792;37.723
31109 Galar;14.282;41.207;;;;
3110901 Galar distrito 01;14.282;41.207;;;;
3110901001 Galar sección 01001;14.282;41.207;;;;
21034 Galaroza;8.301;19.030;11.983;10.850;9.244;21.191
2103401 Galaroza distrito 01;8.301;19.030;11.983;10.850;9.244;21.191
2103401001 Galaroza sección 01001;8.301;19.030;11.983;10.850;9.244;21.191
09143 Galbarros;.;.;.;.;.;.
0914301 Galbarros distrito 01;.;.;.;.;.;.
0914301001 Galbarros sección 01001;.;.;.;.;.;.
26065 Galbárruli;.;.;.;.;.;.
2606501 Galbárruli distrito 01;.;.;.;.;.;.
2606501001 Galbárruli sección 01001;.;.;.;.;.;.
48036 Galdakao;15.279;37.417;22.461;20.650;18.241;44.670
4803601 Galdakao distrito 01;15.728;38.426;23.059;21.350;18.854;46.065
4803601001 Galdakao sección 01001;15.473;37.879;22.780;20.650;18.509;45.311
4803601002 Galdakao sección 01002;16.453;37.882;23.659;22.050;19.509;44.916
4803601003 Galdakao sección 01003;13.625;31.359;19.690;18.550;15.962;36.738
4803601004 Galdakao sección 01004;14.316;33.660;20.639;19.950;16.845;39.606
4803601005 Galdakao sección 01005;14.171;34.270;20.633;19.250;16.973;41.046
4803601006 Galdakao sección 01006;13.451;33.453;20.160;19.250;15.789;39.270
4803601007 Galdakao sección 01007;18.694;49.174;28.358;25.550;23.581;62.028
4803601008 Galdakao sección 01008;16.807;39.494;24.409;22.750;20.309;47.723
4803601009 Galdakao sección 01009;12.827;30.118;18.466;17.500;14.681;34.471
4803601010 Galdakao sección 01010;16.500;41.400;24.317;22.050;19.845;49.792
4803601011 Galdakao sección 01011;15.561;36.220;22.462;20.650;18.426;42.887
4803601012 Galdakao sección 01012;17.813;44.548;25.978;24.850;21.405;53.532
4803601013 Galdakao sección 01013;14.165;32.911;20.279;19.950;16.518;38.378
4803601014 Galdakao sección 01014;17.616;43.911;25.513;24.150;21.313;53.126
4803601015 Galdakao sección 01015;15.364;38.832;22.991;21.350;18.482;46.713
4803601016 Galdakao sección 01016;17.420;42.250;25.362;22.750;20.896;50.681
4803601017 Galdakao sección 01017;17.894;47.737;26.538;25.550;22.066;58.866
4803601018 Galdakao sección 01018;16.673;42.003;24.601;22.750;20.346;51.257
4803602 Galdakao distrito 02;11.772;29.284;17.366;16.450;13.551;33.709
4803602001 Galdakao sección 02001;11.772;29.284;17.366;16.450;13.551;33.709
4803603 Galdakao distrito 03;15.976;39.180;23.385;21.350;19.331;47.408
4803603001 Galdakao sección 03001;15.976;39.180;23.385;21.350;19.331;47.408
4803604 Galdakao distrito 04;14.399;35.442;21.455;20.650;16.979;41.792
4803604001 Galdakao sección 04001;14.762;35.633;21.961;20.650;17.455;42.133
4803604002 Galdakao sección 04002;13.938;34.503;20.726;19.950;16.263;40.257
4803604003 Galdakao sección 04003;14.568;36.070;21.759;20.650;17.288;42.803
48037 Galdames;14.329;31.084;20.221;19.250;16.998;36.875
4803701 Galdames distrito 01;14.329;31.084;20.221;19.250;16.998;36.875
4803701001 Galdames sección 01001;14.329;31.084;20.221;19.250;16.998;36.875
35009 Gáldar;10.057;27.969;15.370;13.650;11.532;32.070
3500901 Gáldar distrito 01;10.057;27.969;15.370;13.650;11.532;32.070
3500901001 Gáldar sección 01001;12.468;35.089;19.163;15.750;14.704;41.384
3500901002 Gáldar sección 01002;12.292;32.364;18.714;15.750;14.611;38.470
3500901003 Gáldar sección 01003;9.502;27.938;14.790;12.950;10.713;31.496
3500901004 Gáldar sección 01004;10.640;29.529;16.242;14.350;12.296;34.123
3500901005 Gáldar sección 01005;7.862;23.083;12.136;11.550;8.607;25.269
3500901006 Gáldar sección 01006;10.044;26.320;14.980;13.650;11.490;30.108
3500901007 Gáldar sección 01007;9.946;27.633;15.393;14.350;11.221;31.174
3500901008 Gáldar sección 01008;10.390;28.207;15.828;13.650;11.946;32.431
3500901009 Gáldar sección 01009;9.356;28.067;14.670;13.650;10.647;31.940
3500901010 Gáldar sección 01010;9.894;27.680;15.035;13.650;11.444;32.016
3500901011 Gáldar sección 01011;8.831;21.321;12.995;12.250;9.643;23.280
3500901013 Gáldar sección 01013;12.245;32.367;18.492;16.450;14.758;39.008
3500901014 Gáldar sección 01014;8.592;24.268;13.051;12.250;9.636;27.216
3500901015 Gáldar sección 01015;9.397;26.241;14.317;13.650;10.646;29.729
3500901016 Gáldar sección 01016;9.106;25.533;13.760;12.950;10.107;28.338
3500901017 Gáldar sección 01017;8.608;26.548;13.564;12.250;9.565;29.499
49085 Galende;11.629;23.540;15.989;14.350;13.181;26.681
4908501 Galende distrito 01;11.629;23.540;15.989;14.350;13.181;26.681
4908501001 Galende sección 01001;11.629;23.540;15.989;14.350;13.181;26.681
18082 Galera;8.296;16.967;11.740;10.150;9.164;18.743
1808201 Galera distrito 01;8.296;16.967;11.740;10.150;9.164;18.743
1808201001 Galera sección 01001;8.296;16.967;11.740;10.150;9.164;18.743
43063 Galera, La;9.185;23.010;13.808;12.250;10.416;26.094
4306301 Galera, La distrito 01;9.185;23.010;13.808;12.250;10.416;26.094
4306301001 Galera, La sección 01001;9.185;23.010;13.808;12.250;10.416;26.094
26066 Galilea;12.166;27.672;17.318;15.750;14.308;32.544
2606601 Galilea distrito 01;12.166;27.672;17.318;15.750;14.308;32.544
2606601001 Galilea sección 01001;12.166;27.672;17.318;15.750;14.308;32.544
37142 Galindo y Perahuy;14.045;30.754;20.215;17.150;16.817;36.824
3714201 Galindo y Perahuy distrito 01;14.045;30.754;20.215;17.150;16.817;36.824
3714201001 Galindo y Perahuy sección 01001;14.045;30.754;20.215;17.150;16.817;36.824
37143 Galinduste;10.356;22.282;14.485;12.950;11.518;24.782
3714301 Galinduste distrito 01;10.356;22.282;14.485;12.950;11.518;24.782
3714301001 Galinduste sección 01001;10.356;22.282;14.485;12.950;11.518;24.782
37144 Galisancho;11.174;25.686;16.092;15.050;12.511;28.759
3714401 Galisancho distrito 01;11.174;25.686;16.092;15.050;12.511;28.759
3714401001 Galisancho sección 01001;11.174;25.686;16.092;15.050;12.511;28.759
10076 Galisteo;8.824;19.772;12.640;11.550;9.866;22.109
1007601 Galisteo distrito 01;8.824;19.772;12.640;11.550;9.866;22.109
1007601001 Galisteo sección 01001;8.824;19.772;12.640;11.550;9.866;22.109
04048 Gallardos, Los;8.387;20.205;12.986;11.550;9.560;23.030
0404801 Gallardos, Los distrito 01;8.387;20.205;12.986;11.550;9.560;23.030
0404801001 Gallardos, Los sección 01001;8.387;20.205;12.986;11.550;9.560;23.030
09144 Gallega, La;.;.;.;.;.;.
0914401 Gallega, La distrito 01;.;.;.;.;.;.
0914401001 Gallega, La sección 01001;.;.;.;.;.;.
40093 Gallegos;9.553;23.301;14.105;11.550;10.872;26.517
4009301 Gallegos distrito 01;9.553;23.301;14.105;11.550;10.872;26.517
4009301001 Gallegos sección 01001;9.553;23.301;14.105;11.550;10.872;26.517
05079 Gallegos de Altamiros;.;.;.;.;.;.
0507901 Gallegos de Altamiros distrito 01;.;.;.;.;.;.
0507901001 Gallegos de Altamiros sección 01001;.;.;.;.;.;.
37145 Gallegos de Argañán;10.078;19.941;13.820;12.950;11.335;22.427
3714501 Gallegos de Argañán distrito 01;10.078;19.941;13.820;12.950;11.335;22.427
3714501001 Gallegos de Argañán sección 01001;10.078;19.941;13.820;12.950;11.335;22.427
47069 Gallegos de Hornija;11.313;27.378;16.381;15.750;12.822;31.028
4706901 Gallegos de Hornija distrito 01;11.313;27.378;16.381;15.750;12.822;31.028
4706901001 Gallegos de Hornija sección 01001;11.313;27.378;16.381;15.750;12.822;31.028
