location_raw;Renta neta media por persona ;Renta neta media por hogar;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar
1000201001 Abertura sección 01001;8.998;17.775;12.103;10.850;9.805;19.368
49002 Abezames;.;.;.;.;.;.
4900201 Abezames distrito 01;.;.;.;.;.;.
4900201001 Abezames sección 01001;.;.;.;.;.;.
16001 Abia de la Obispalía;.;.;.;.;.;.
1600101 Abia de la Obispalía distrito 01;.;.;.;.;.;.
1600101001 Abia de la Obispalía sección 01001;.;.;.;.;.;.
34003 Abia de las Torres;12.667;31.666;18.092;17.150;14.794;36.984
3400301 Abia de las Torres distrito 01;12.667;31.666;18.092;17.150;14.794;36.984
3400301001 Abia de las Torres sección 01001;12.667;31.666;18.092;17.150;14.794;36.984
22001 Abiego;13.637;32.040;19.915;19.250;16.067;37.750
2200101 Abiego distrito 01;13.637;32.040;19.915;19.250;16.067;37.750
2200101001 Abiego sección 01001;13.637;32.040;19.915;19.250;16.067;37.750
22002 Abizanda;12.950;30.783;19.436;17.150;15.197;36.125
2200201 Abizanda distrito 01;12.950;30.783;19.436;17.150;15.197;36.125
2200201001 Abizanda sección 01001;12.950;30.783;19.436;17.150;15.197;36.125
04001 Abla;9.556;21.095;13.594;12.250;10.737;23.702
0400101 Abla distrito 01;9.556;21.095;13.594;12.250;10.737;23.702
0400101001 Abla sección 01001;9.556;21.095;13.594;12.250;10.737;23.702
19002 Ablanque;.;.;.;.;.;.
1900201 Ablanque distrito 01;.;.;.;.;.;.
1900201001 Ablanque sección 01001;.;.;.;.;.;.
31006 Ablitas;10.181;28.192;;;;
3100601 Ablitas distrito 01;.;.;;;;
3100601001 Ablitas sección 01001;.;.;;;;
3100602 Ablitas distrito 02;.;.;;;;
3100602001 Ablitas sección 02001;.;.;;;;
08001 Abrera;13.776;37.966;21.236;19.950;16.748;46.157
0800101 Abrera distrito 01;13.776;37.966;21.236;19.950;16.748;46.157
0800101001 Abrera sección 01001;13.821;35.509;20.538;19.950;16.562;42.550
0800101002 Abrera sección 01002;12.381;34.373;18.997;17.850;14.695;40.798
