location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
0800101002 Abrera sección 01002;41,3;21;19,1;2,76;19,4;1.864
0800101003 Abrera sección 01003;39,3;27,7;14,1;3,04;12,7;816
0800101004 Abrera sección 01004;37,7;23,7;12,6;2,72;19,8;1.879
0800101005 Abrera sección 01005;41,4;20,4;17,9;2,75;18,6;1.894
0800101007 Abrera sección 01007;38;22,7;11,4;2,76;17,8;2.562
0800101008 Abrera sección 01008;37,7;23,3;11,1;2,79;19;1.969
04002 Abrucena;49;10;27,7;2,02;42,9;1.210
0400201 Abrucena distrito 01;49;10;27,7;2,02;42,9;1.210
0400201001 Abrucena sección 01001;49;10;27,7;2,02;42,9;1.210
37001 Abusejo;56,5;3,5;40,9;2,29;36,3;183
3700101 Abusejo distrito 01;56,8;3,5;41,6;2,29;36,3;183
3700101001 Abusejo sección 01001;57;3,5;43,2;2,29;36,3;183
28001 Acebeda, La;.;.;.;.;.;.
2800101 Acebeda, La distrito 01;.;.;.;.;.;.
2800101001 Acebeda, La sección 01001;.;.;.;.;.;.
24001 Acebedo;54,5;9,6;34,8;2,08;47,6;187
2400101 Acebedo distrito 01;54,5;9,6;34,8;2,08;48,2;187
2400101001 Acebedo sección 01001;54,5;9,6;34,8;2,08;48,9;187
10003 Acebo;52,7;10,2;36;1,88;47,4;580
1000301 Acebo distrito 01;52,7;10,2;36;1,88;47,4;580
1000301001 Acebo sección 01001;52,7;10,2;36;1,88;47,4;580
16002 Acebrón, El;51,3;11,3;34,4;2,5;28,3;230
1600201 Acebrón, El distrito 01;51,3;11,3;34,4;2,5;28,3;230
1600201001 Acebrón, El sección 01001;51,3;11,3;34,4;2,5;28,3;230
06001 Acedera;46,2;16,6;29;2,32;31,3;807
0600101 Acedera distrito 01;46,2;16,6;29;2,32;31,3;807
0600101001 Acedera sección 01001;46,2;16,6;29;2,32;31,3;807
