location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
3905202003 Piélagos sección 02003;38;25,7;11;2,57;27,9;1.824
3905202004 Piélagos sección 02004;36,5;26,4;7,9;2,94;20,2;2.252
3905202005 Piélagos sección 02005;37,1;24,6;10,7;2,79;22,9;1.704
3905202006 Piélagos sección 02006;40,3;23,2;14;2,88;20,6;1.631
3905202007 Piélagos sección 02007;37,7;24,5;10,8;2,81;20,8;1.786
3905202008 Piélagos sección 02008;39;22,8;13,4;2,79;22,6;1.330
08161 Piera;41,2;20;16,7;2,66;23;15.415
0816101 Piera distrito 01;41,2;20;16,7;2,66;23;15.415
0816101001 Piera sección 01001;41,5;20,5;17,1;2,59;26,5;1.157
0816101002 Piera sección 01002;39,4;22,4;16,2;2,67;24,4;3.238
0816101003 Piera sección 01003;41,9;19,4;18,1;2,8;20,1;2.431
0816101004 Piera sección 01004;40,2;20,3;13,7;2,65;24,9;1.841
0816101005 Piera sección 01005;43;18,3;19,9;2,64;20;1.838
0816101006 Piera sección 01006;41,8;19,4;15,8;2,6;22,5;1.411
0816101007 Piera sección 01007;42,5;19;17,7;2,74;19,6;881
0816101008 Piera sección 01008;41;18,9;14,7;2,63;22;1.563
0816101009 Piera sección 01009;41,9;19,2;17,2;2,52;27,5;1.055
09265 Piérnigas;.;.;.;.;.;.
0926501 Piérnigas distrito 01;.;.;.;.;.;.
0926501001 Piérnigas sección 01001;.;.;.;.;.;.
03902 Pilar de la Horadada;42,5;18,4;21,2;2,55;29;21.308
0390201 Pilar de la Horadada distrito 01;42,5;18,4;21,2;2,55;29;21.308
0390201001 Pilar de la Horadada sección 01001;38,5;19,8;12,3;2,93;25;2.521
0390201002 Pilar de la Horadada sección 01002;38,1;20,4;13,5;2,76;29;2.246
0390201003 Pilar de la Horadada sección 01003;37,6;23,3;13,5;2,94;25,2;3.114
0390201004 Pilar de la Horadada sección 01004;56;9,5;43,2;2,17;28,2;3.500
0390201005 Pilar de la Horadada sección 01005;35,9;23,2;8,2;2,97;21,8;2.359
0390201006 Pilar de la Horadada sección 01006;37,7;20,9;12,5;2,87;23,4;2.064
0390201007 Pilar de la Horadada sección 01007;36,8;24,2;11,2;2,9;21,6;2.021
0390201008 Pilar de la Horadada sección 01008;49,6;12,7;33;1,94;42,1;3.483
41075 Pilas;39;21,3;14,9;2,71;23,5;13.907
4107501 Pilas distrito 01;39;21,3;14,9;2,71;23,5;13.907
4107501001 Pilas sección 01001;41;19;18,3;2,74;23,3;1.220
4107501002 Pilas sección 01002;39,6;22,9;17,5;2,58;27,1;1.534
4107501003 Pilas sección 01003;45,8;16;27,5;2,46;26,9;1.397
4107501004 Pilas sección 01004;39,8;19,4;13,3;2,73;21,2;1.679
4107501005 Pilas sección 01005;42,5;17,1;21,4;2,63;25,7;1.217
4107501006 Pilas sección 01006;35,1;23,1;8,8;2,84;20,1;1.076
4107501007 Pilas sección 01007;37;21,8;10,3;2,81;20,3;2.337
4107501008 Pilas sección 01008;36,6;24,7;12,1;2,68;26,2;1.738
4107501009 Pilas sección 01009;36;25,4;9,8;2,94;20,7;1.709
46195 Piles;42,5;18;17,3;2,26;36,2;2.699
4619501 Piles distrito 01;42,5;18;17,3;2,26;36,2;2.699
4619501001 Piles sección 01001;42,5;18;17,3;2,26;36,2;2.699
43105 Piles, Les;42,3;21,7;20,3;2,47;30,2;212
4310501 Piles, Les distrito 01;42,3;21,7;20,3;2,47;30,2;212
4310501001 Piles, Les sección 01001;42,3;21,7;20,3;2,47;30,2;212
33049 Piloña;51;10,9;30,4;2,18;37,6;6.923
3304901 Piloña distrito 01;51;10,9;30,4;2,18;37,6;6.923
3304901001 Piloña sección 01001;47,4;14,3;25,1;2,26;34,6;1.325
3304901002 Piloña sección 01002;50,1;9,7;27;2,29;33,2;1.029
3304901003 Piloña sección 01003;51,1;10,7;30,9;1,98;46,7;654
3304901004 Piloña sección 01004;54,3;9,8;38;2,07;38,9;661
3304901005 Piloña sección 01005;51,9;10,9;32,4;2,13;39,8;1.484
3304901006 Piloña sección 01006;;;;;;
3304901007 Piloña sección 01007;51,3;10;30,2;2,24;35,6;1.009
3304901008 Piloña sección 01008;53,1;9,1;33,6;2,23;36,7;761
50208 Pina de Ebro;43,1;18,5;20,4;2,64;26,3;2.303
5020801 Pina de Ebro distrito 01;43,1;18,5;20,4;2,64;26,3;2.303
5020801001 Pina de Ebro sección 01001;45;18,6;24;2,43;32,2;716
5020801002 Pina de Ebro sección 01002;42,3;18,5;18,7;2,74;23,3;1.587
12090 Pina de Montalgrao;55,5;8,9;39,8;1,95;46,6;128
1209001 Pina de Montalgrao distrito 01;55,5;8,9;39,8;1,95;46,6;128
1209001001 Pina de Montalgrao sección 01001;55,5;8,9;39,8;1,95;46,6;128
38901 Pinar de El Hierro, El;47,5;12,2;24,6;2,47;34,5;1.883
3890101 Pinar de El Hierro, El distrito 01;47,5;12,2;24,6;2,47;34,5;1.883
3890101001 Pinar de El Hierro, El sección 01001;47,5;12,2;24,6;2,47;34,5;1.883
18910 Pinar, El;48,5;11,1;25,2;2,16;39,2;880
1891001 Pinar, El distrito 01;48,5;11,1;25,2;2,16;39,2;880
1891001001 Pinar, El sección 01001;48,5;11,1;25,2;2,16;39,2;880
16159 Pinarejo;56,5;3,7;40,9;1,94;41,4;215
1615901 Pinarejo distrito 01;56,8;3,7;41,6;1,94;41,4;215
1615901001 Pinarejo sección 01001;57;3,7;43,2;1,94;41,4;215
40159 Pinarejos;50,8;10,2;26,9;2,45;35,5;186
4015901 Pinarejos distrito 01;50,8;10,2;26,9;2,45;35,5;186
4015901001 Pinarejos sección 01001;50,8;10,2;26,9;2,45;35,5;186
40160 Pinarnegrillo;.;.;.;.;.;.
4016001 Pinarnegrillo distrito 01;.;.;.;.;.;.
4016001001 Pinarnegrillo sección 01001;.;.;.;.;.;.
16160 Pineda de Gigüela;.;.;.;.;.;.
1616001 Pineda de Gigüela distrito 01;.;.;.;.;.;.
1616001001 Pineda de Gigüela sección 01001;.;.;.;.;.;.
09266 Pineda de la Sierra;56,5;3,5;34,9;2,36;35,6;128
0926601 Pineda de la Sierra distrito 01;56,8;3,5;34,9;2,36;35,6;128
0926601001 Pineda de la Sierra sección 01001;57;3,5;34,9;2,36;35,6;128
08163 Pineda de Mar;43,1;17,6;20,4;2,5;27,9;26.991
0816301 Pineda de Mar distrito 01;43,1;17,6;20,4;2,5;27,9;26.991
0816301001 Pineda de Mar sección 01001;42,8;17,3;19,4;2,56;23,9;2.294
0816301002 Pineda de Mar sección 01002;44,5;15,8;23,1;2,33;34,1;2.286
0816301003 Pineda de Mar sección 01003;45,1;15,9;21,7;2,62;22,8;1.691
0816301004 Pineda de Mar sección 01004;42,9;17,5;19,3;2,43;31,7;2.842
0816301005 Pineda de Mar sección 01005;44,6;16,3;21,3;2,57;24,1;1.396
0816301006 Pineda de Mar sección 01006;43,7;17,1;22,2;2,29;36,5;1.711
0816301007 Pineda de Mar sección 01007;42;18,3;18,3;2,58;26,1;2.304
0816301008 Pineda de Mar sección 01008;40,5;19,8;17,5;2,71;24,6;1.671
0816301009 Pineda de Mar sección 01009;45,4;15,1;24;2,34;30,1;1.982
0816301010 Pineda de Mar sección 01010;44,2;15,9;21,7;2,33;32,1;1.510
0816301011 Pineda de Mar sección 01011;44,7;17,4;23,5;2,47;25,1;1.542
0816301012 Pineda de Mar sección 01012;40,4;20,1;16,6;2,76;24,3;1.806
0816301013 Pineda de Mar sección 01013;43,7;16,7;21,3;2,56;25,7;1.895
0816301014 Pineda de Mar sección 01014;40,2;22,2;17,2;2,69;23,5;2.061
09267 Pineda Trasmonte;56,5;3,5;40,9;2,05;40,4;128
0926701 Pineda Trasmonte distrito 01;56,8;3,5;41,6;2,05;40,4;128
0926701001 Pineda Trasmonte sección 01001;57;3,5;43,2;2,05;40,4;128
37252 Pinedas;56,5;3,7;40,9;2,14;38;128
3725201 Pinedas distrito 01;56,8;3,7;41,6;2,14;38;128
3725201001 Pinedas sección 01001;57;3,7;43,2;2,14;38;128
43106 Pinell de Brai, El;48,6;14,1;30,6;2,64;27,4;1.001
4310601 Pinell de Brai, El distrito 01;48,6;14,1;30,6;2,64;27,4;1.001
4310601001 Pinell de Brai, El sección 01001;48,6;14,1;30,6;2,64;27,4;1.001
25166 Pinell de Solsonès;49,8;10,1;29,2;3,16;22,2;199
2516601 Pinell de Solsonès distrito 01;49,8;10,1;29,2;3,16;22,2;199
2516601001 Pinell de Solsonès sección 01001;49,8;10,1;29,2;3,16;22,2;199
46196 Pinet;51,8;5,1;31,2;2,28;30,4;157
4619601 Pinet distrito 01;51,8;5,1;31,2;2,28;30,4;157
4619601001 Pinet sección 01001;51,8;5,1;31,2;2,28;30,4;157
19218 Pinilla de Jadraque;.;.;.;.;.;.
1921801 Pinilla de Jadraque distrito 01;.;.;.;.;.;.
1921801001 Pinilla de Jadraque sección 01001;.;.;.;.;.;.
09268 Pinilla de los Barruecos;.;.;.;.;.;.
0926801 Pinilla de los Barruecos distrito 01;.;.;.;.;.;.
0926801001 Pinilla de los Barruecos sección 01001;.;.;.;.;.;.
09269 Pinilla de los Moros;.;.;.;.;.;.
0926901 Pinilla de los Moros distrito 01;.;.;.;.;.;.
0926901001 Pinilla de los Moros sección 01001;.;.;.;.;.;.
19219 Pinilla de Molina;.;.;.;.;.;.
1921901 Pinilla de Molina distrito 01;.;.;.;.;.;.
1921901001 Pinilla de Molina sección 01001;.;.;.;.;.;.
49156 Pinilla de Toro;56,5;3,5;40,9;2,05;46,1;236
4915601 Pinilla de Toro distrito 01;56,8;3,5;41,6;2,05;46,1;236
4915601001 Pinilla de Toro sección 01001;57;3,5;43,2;2,05;46,1;236
42139 Pinilla del Campo;.;.;.;.;.;.
4213901 Pinilla del Campo distrito 01;.;.;.;.;.;.
4213901001 Pinilla del Campo sección 01001;.;.;.;.;.;.
28112 Pinilla del Valle;48,1;14,7;26,8;2,18;47,1;190
2811201 Pinilla del Valle distrito 01;48,1;14,7;26,8;2,18;47,1;190
2811201001 Pinilla del Valle sección 01001;48,1;14,7;26,8;2,18;47,1;190
09270 Pinilla Trasmonte;56,5;3,5;37,4;2,51;26,5;171
0927001 Pinilla Trasmonte distrito 01;56,8;3,5;37,4;2,51;26,5;171
0927001001 Pinilla Trasmonte sección 01001;57;3,5;37,4;2,51;26,5;171
26115 Pinillos;.;.;.;.;.;.
2611501 Pinillos distrito 01;.;.;.;.;.;.
2611501001 Pinillos sección 01001;.;.;.;.;.;.
37253 Pino de Tormes, El;46,9;11,7;24;2,61;28,8;154
3725301 Pino de Tormes, El distrito 01;46,9;11,7;24;2,61;28,8;154
3725301001 Pino de Tormes, El sección 01001;46,9;11,7;24;2,61;28,8;154
49157 Pino del Oro;56,5;3,5;40,9;2,04;43,8;196
4915701 Pino del Oro distrito 01;56,5;3,5;41,6;2,04;43,8;196
4915701001 Pino del Oro sección 01001;56,5;3,5;41,8;2,04;43,8;196
34129 Pino del Río;56,5;3,5;40,9;1,87;47,6;174
3412901 Pino del Río distrito 01;56,8;3,5;41,6;1,87;48,2;174
3412901001 Pino del Río sección 01001;57;3,5;43,2;1,87;50,7;174
15066 Pino, O;48,1;12,8;27;2,7;25,3;4.616
1506601 Pino, O distrito 01;45,1;15,5;22,8;2,67;26,1;2.294
1506601001 Pino, O sección 01001;43;17,6;20,1;2,59;27,7;1.533
1506601002 Pino, O sección 01002;49,4;11,3;28,1;2,86;22,6;761
1506602 Pino, O distrito 02;50,9;10,3;31,9;2,62;28,2;1.039
1506602001 Pino, O sección 02001;50,9;10,3;31,9;2,62;28,2;1.039
1506603 Pino, O distrito 03;51;10,1;30,7;2,83;21,2;1.283
1506603001 Pino, O sección 03001;50;11,2;29,4;2,88;21,2;734
1506603002 Pino, O sección 03002;52,4;8,6;32,4;2,77;21,2;549
10146 Pinofranqueado;45,2;16,4;23,8;2,13;40,7;1.700
1014601 Pinofranqueado distrito 01;45,2;16,4;23,8;2,13;40,7;1.700
1014601001 Pinofranqueado sección 01001;45,2;16,4;23,8;2,13;40,7;1.700
25167 Pinós;45,5;17,8;23,3;2,87;31;287
2516701 Pinós distrito 01;45,5;17,8;23,3;2,87;31;287
2516701001 Pinós sección 01001;45,5;17,8;23,3;2,87;31;287
18157 Pinos Genil;40,9;17,8;13,8;2,67;27,7;1.442
1815701 Pinos Genil distrito 01;40,9;17,8;13,8;2,67;27,7;1.442
1815701001 Pinos Genil sección 01001;40,9;17,8;13,8;2,67;27,7;1.442
18158 Pinos Puente;42,1;18,8;18,6;2,48;29;9.934
1815801 Pinos Puente distrito 01;42,6;17,8;19,5;2,41;30,3;5.144
1815801001 Pinos Puente sección 01001;44,7;14,3;20,9;2,36;30,1;2.162
1815801002 Pinos Puente sección 01002;46,5;14,6;26,4;2,36;29,2;850
1815801003 Pinos Puente sección 01003;39;22,7;15,3;2,5;31;2.132
1815802 Pinos Puente distrito 02;36,9;24,9;11,8;2,57;29,3;2.053
1815802001 Pinos Puente sección 02001;40,9;21,1;15,7;2,38;36,3;727
1815802002 Pinos Puente sección 02002;34,7;27;9,7;2,69;25;1.326
1815803 Pinos Puente distrito 03;44,9;15,9;21,9;2,53;26,3;2.737
1815803001 Pinos Puente sección 03001;43,1;17,6;18,3;2,64;24,4;1.501
1815803002 Pinos Puente sección 03002;47,1;13,8;26,4;2,42;28,4;1.236
1815803003 Pinos Puente sección 03003;;;;;;
1815803004 Pinos Puente sección 03004;;;;;;
03105 Pinós, el/Pinoso;42,7;18,1;18,8;2,56;26,6;7.919
0310501 Pinós, el/Pinoso distrito 01;42,7;18,1;18,8;2,56;26,6;7.919
0310501001 Pinós, el/Pinoso sección 01001;42,6;17,5;19,4;2,38;32,9;1.965
0310501002 Pinós, el/Pinoso sección 01002;42,1;17,7;17;2,69;23,2;1.521
0310501003 Pinós, el/Pinoso sección 01003;45,7;15,6;22,9;2,46;28;1.849
0310501004 Pinós, el/Pinoso sección 01004;40,8;20,5;16,3;2,7;22,2;2.584
50209 Pinseque;37,3;23,8;10,9;2,71;22;3.932
5020901 Pinseque distrito 01;37,3;23,8;10,9;2,71;22;3.932
5020901001 Pinseque sección 01001;41,5;20,2;16,9;2,6;23,9;1.488
5020901002 Pinseque sección 01002;34,8;25,9;7,2;2,78;20,7;2.444
50210 Pintanos, Los;.;.;.;.;.;.
5021001 Pintanos, Los distrito 01;.;.;.;.;.;.
5021001001 Pintanos, Los sección 01001;.;.;.;.;.;.
28113 Pinto;38,2;22;12;2,79;20,2;52.206
2811301 Pinto distrito 01;37,8;21,7;11,7;2,77;21;25.291
2811301001 Pinto sección 01001;43,1;15,3;20;2,65;24,6;1.077
2811301002 Pinto sección 01002;40,9;18,6;15;2,77;21,1;1.953
2811301003 Pinto sección 01003;41,3;15,1;13,4;2,88;18,8;1.950
2811301004 Pinto sección 01004;43,6;14,6;21;2,56;25,5;1.315
2811301005 Pinto sección 01005;42,3;14,8;16,4;2,74;20,6;2.306
2811301006 Pinto sección 01006;34,9;25,6;7,9;2,92;20,7;1.793
2811301007 Pinto sección 01007;46,3;12,2;24;2,86;15,7;1.644
2811301008 Pinto sección 01008;43,2;15,3;17,4;2,82;21,7;1.265
2811301009 Pinto sección 01009;44,3;16,8;24,4;2,67;22,6;983
2811301010 Pinto sección 01010;32,7;29,2;4,4;3;17,3;1.910
2811301011 Pinto sección 01011;33,6;29,9;6,4;2,92;16,7;2.343
2811301012 Pinto sección 01012;32,3;31,2;4,5;2,9;19,6;1.984
2811301013 Pinto sección 01013;29,1;28,5;1,8;2,52;27,1;2.980
2811301014 Pinto sección 01014;36,1;20,9;9,3;2,6;21,2;1.788
2811302 Pinto distrito 02;38,7;22,3;12,4;2,81;19,5;26.915
2811302001 Pinto sección 02001;42,2;16,5;17,7;2,53;30;1.496
2811302002 Pinto sección 02002;43,5;17;22,5;2,68;27,5;1.092
2811302003 Pinto sección 02003;42,9;16;19;2,64;20,8;1.484
2811302004 Pinto sección 02004;41,7;16;14,5;2,74;21,5;2.332
2811302005 Pinto sección 02005;46,1;14,4;26,7;2,64;19,7;1.435
2811302006 Pinto sección 02006;45,5;15;23,9;2,8;17,4;1.710
2811302007 Pinto sección 02007;40,8;19;15;2,7;22,7;1.735
2811302008 Pinto sección 02008;35,6;29,3;7,9;2,92;14,3;2.661
2811302009 Pinto sección 02009;36,6;26,7;7,8;2,99;16,8;1.922
2811302010 Pinto sección 02010;35,7;26,8;6,3;3,05;13,3;1.654
2811302011 Pinto sección 02011;35,9;26,9;8,1;3,02;13,1;1.803
2811302012 Pinto sección 02012;41,9;16,4;14;2,87;18,5;1.378
2811302013 Pinto sección 02013;43;15,4;13,8;3,12;10;1.317
2811302014 Pinto sección 02014;31;34,1;3,5;2,98;17,9;1.983
2811302015 Pinto sección 02015;30,8;28,9;3;2,6;25;2.913
34130 Piña de Campos;52,8;7,8;32,7;2,11;46,6;217
3413001 Piña de Campos distrito 01;52,8;7,8;32,7;2,11;46,6;217
3413001001 Piña de Campos sección 01001;52,8;7,8;32,7;2,11;46,6;217
47117 Piña de Esgueva;50,7;10,7;29,1;2,39;29,9;327
4711701 Piña de Esgueva distrito 01;50,7;10,7;29,1;2,39;29,9;327
4711701001 Piña de Esgueva sección 01001;50,7;10,7;29,1;2,39;29,9;327
18159 Píñar;45,7;11,6;20,7;2,37;32,6;1.146
1815901 Píñar distrito 01;45,7;11,6;20,7;2,37;32,6;1.146
1815901001 Píñar sección 01001;45,7;11,6;20,7;2,37;32,6;1.146
47118 Piñel de Abajo;56,5;6,9;40,9;2,22;37,5;160
4711801 Piñel de Abajo distrito 01;56,8;6,9;41,6;2,22;37,5;160
4711801001 Piñel de Abajo sección 01001;57;6,9;42,5;2,22;37,5;160
47119 Piñel de Arriba;.;.;.;.;.;.
4711901 Piñel de Arriba distrito 01;.;.;.;.;.;.
4711901001 Piñel de Arriba sección 01001;.;.;.;.;.;.
49158 Piñero, El;54,2;6,2;40,5;2,14;39,6;227
4915801 Piñero, El distrito 01;54,2;6,2;40,5;2,14;39,6;227
4915801001 Piñero, El sección 01001;54,2;6,2;40,5;2,14;39,6;227
32061 Piñor;55,2;6,1;39,5;2,36;34,5;1.177
3206101 Piñor distrito 01;55,2;6,1;39,5;2,36;34,5;1.177
3206101001 Piñor sección 01001;55,2;6,1;39,5;2,36;34,5;1.177
28114 Piñuécar-Gandullas;45,8;13,6;23,4;2,24;39;184
2811401 Piñuécar-Gandullas distrito 01;45,8;13,6;23,4;2,24;39;184
2811401001 Piñuécar-Gandullas sección 01001;45,8;13,6;23,4;2,24;39;184
10147 Piornal;46,2;13,4;23,5;2,26;35,2;1.518
1014701 Piornal distrito 01;46,2;13,4;23,5;2,26;35,2;1.518
1014701001 Piornal sección 01001;46,2;13,4;23,5;2,26;35,2;1.518
19220 Pioz;34;26,6;6,2;2,6;28;4.067
1922001 Pioz distrito 01;34;26,6;6,2;2,6;28;4.067
1922001001 Pioz sección 01001;34,2;25,3;6,5;2,57;29,3;2.522
1922001002 Pioz sección 01002;33,5;28,7;5,8;2,66;25,8;1.545
19221 Piqueras;.;.;.;.;.;.
1922101 Piqueras distrito 01;.;.;.;.;.;.
1922101001 Piqueras sección 01001;.;.;.;.;.;.
16161 Piqueras del Castillo;.;.;.;.;.;.
1616101 Piqueras del Castillo distrito 01;.;.;.;.;.;.
1616101001 Piqueras del Castillo sección 01001;.;.;.;.;.;.
43107 Pira;43,6;19,9;20,5;2,53;27,7;493
4310701 Pira distrito 01;43,6;19,9;20,5;2,53;27,7;493
4310701001 Pira sección 01001;43,6;19,9;20,5;2,53;27,7;493
22181 Piracés;52,6;10,8;33,3;3;29,4;128
2218101 Piracés distrito 01;52,6;10,8;33,3;3;29,4;128
2218101001 Piracés sección 01001;52,6;10,8;33,3;3;29,4;128
44183 Pitarque;.;.;.;.;.;.
4418301 Pitarque distrito 01;.;.;.;.;.;.
4418301001 Pitarque sección 01001;.;.;.;.;.;.
37254 Pitiegua;55,7;5,4;38,4;2,28;23,5;185
3725401 Pitiegua distrito 01;55,7;5,4;38,4;2,28;23,5;185
3725401001 Pitiegua sección 01001;55,7;5,4;38,4;2,28;23,5;185
31205 Pitillas;52,1;11,7;33,8;2,12;36,9;471
3120501 Pitillas distrito 01;52,1;11,7;33,8;2,12;36,9;471
3120501001 Pitillas sección 01001;52,1;11,7;33,8;2,12;36,9;471
29080 Pizarra;39,8;20,8;14,9;2,71;23,9;9.175
2908001 Pizarra distrito 01;39,4;21,3;14,4;2,8;21,4;6.527
2908001001 Pizarra sección 01001;41,7;18,3;19,9;2,64;26,4;1.313
2908001002 Pizarra sección 01002;43,7;16,5;20,8;2,58;26,4;1.195
2908001003 Pizarra sección 01003;39,1;21,8;12,8;2,88;21,1;1.243
2908001004 Pizarra sección 01004;42,1;17,8;16,6;2,81;19,2;1.420
2908001005 Pizarra sección 01005;30,8;31,7;2,9;3,12;13,6;1.356
2908002 Pizarra distrito 02;40,8;19,6;16,1;2,53;29,4;2.648
2908002001 Pizarra sección 02001;39,6;21,3;14,3;2,52;29,6;1.355
2908002002 Pizarra sección 02002;42;17,8;17,9;2,53;29,2;1.293
37255 Pizarral;.;.;.;.;.;.
3725501 Pizarral distrito 01;.;.;.;.;.;.
3725501001 Pizarral sección 01001;.;.;.;.;.;.
43108 Pla de Santa Maria, El;43;17,6;19,3;2,48;27,8;2.277
4310801 Pla de Santa Maria, El distrito 01;43;17,6;19,3;2,48;27,8;2.277
4310801001 Pla de Santa Maria, El sección 01001;43;17,6;19,3;2,48;27,8;2.277
08164 Pla del Penedès, El;41,2;20,7;17,1;2,43;31,6;1.255
0816401 Pla del Penedès, El distrito 01;41,2;20,7;17,1;2,43;31,6;1.255
0816401001 Pla del Penedès, El sección 01001;41,2;20,7;17,1;2,43;31,6;1.255
22182 Plan;49,4;13,7;28,9;2,47;34,8;284
2218201 Plan distrito 01;49,4;13,7;28,9;2,47;34,8;284
2218201001 Plan sección 01001;49,4;13,7;28,9;2,47;34,8;284
03106 Planes;52,5;9,5;33,7;2,14;39,5;694
0310601 Planes distrito 01;52,5;9,5;33,7;2,14;39,5;694
0310601001 Planes sección 01001;52,5;9,5;33,7;2,14;39,5;694
17133 Planes d'Hostoles, Les;47,6;15,6;28,3;2,59;24;1.642
1713301 Planes d'Hostoles, Les distrito 01;47,6;15,6;28,3;2,59;24;1.642
1713301001 Planes d'Hostoles, Les sección 01001;47,6;15,6;28,3;2,59;24;1.642
17134 Planoles;48;14,6;25,4;2,25;44,5;288
1713401 Planoles distrito 01;48;14,6;25,4;2,25;44,5;288
1713401001 Planoles sección 01001;48;14,6;25,4;2,25;44,5;288
25911 Plans de Sió, Els;49,2;11,9;27,8;2,44;36,7;478
2591101 Plans de Sió, Els distrito 01;49,2;11,9;27,8;2,44;36,7;478
2591101001 Plans de Sió, Els sección 01001;49,2;11,9;27,8;2,44;36,7;478
10148 Plasencia;43,1;17,5;18,8;2,43;32,4;39.667
1014801 Plasencia distrito 01;46,6;14,2;24,5;2,35;35,1;10.677
1014801001 Plasencia sección 01001;44,4;15,9;20,3;2,09;42,5;1.932
1014801002 Plasencia sección 01002;48,4;13,2;27,8;2,18;37,6;862
1014801004 Plasencia sección 01004;46,1;15,3;24,5;2,37;36,5;727
1014801005 Plasencia sección 01005;49,9;13,2;31,6;2,39;33,3;623
1014801006 Plasencia sección 01006;49,1;12,7;28,7;2,27;35,6;593
1014801007 Plasencia sección 01007;50,9;10,9;33,2;2,21;40,9;885
1014801008 Plasencia sección 01008;47,1;13,2;25,4;2,58;24,5;1.287
1014801009 Plasencia sección 01009;48,6;12;29,9;2,49;35,3;1.251
1014801010 Plasencia sección 01010;46,3;14,6;23,4;2,31;35,3;1.394
1014801011 Plasencia sección 01011;40,3;18,8;10,4;2,81;21,8;1.123
1014802 Plasencia distrito 02;45,1;15,7;22,4;2,36;36,5;6.659
1014802001 Plasencia sección 02001;49,2;12,4;29,7;2,46;36,2;1.507
1014802002 Plasencia sección 02002;49,6;11,5;29,3;2,02;43,9;1.227
1014802003 Plasencia sección 02003;46,3;12,3;21,4;2,28;36,7;1.361
1014802004 Plasencia sección 02004;38,6;23,3;13;2,61;29,9;1.450
1014802005 Plasencia sección 02005;42;18,8;18,4;2,46;34,7;1.114
1014803 Plasencia distrito 03;45,1;15;21,7;2,43;31,2;2.421
1014803002 Plasencia sección 03002;46,1;12,1;21,3;2,56;23,7;866
1014803003 Plasencia sección 03003;39;23,9;15,4;2,67;30,9;683
1014803004 Plasencia sección 03004;48,8;10,8;27,2;2,17;37,7;872
1014804 Plasencia distrito 04;40,3;20,2;14;2,53;29,2;18.727
1014804001 Plasencia sección 04001;48;12,6;24,6;1,9;50,7;698
1014804002 Plasencia sección 04002;50,1;12,6;32,4;2,19;39,3;787
1014804003 Plasencia sección 04003;40,7;18,2;12,5;2,61;25,5;1.856
1014804004 Plasencia sección 04004;45,6;11,6;20;2,42;31,3;1.027
1014804005 Plasencia sección 04005;44,6;16,7;20,8;2,49;35,2;1.232
1014804006 Plasencia sección 04006;46,9;14,5;25,3;2,34;33,5;879
1014804007 Plasencia sección 04007;42,4;20,5;18,4;2,68;28,3;1.721
1014804008 Plasencia sección 04008;47,4;12,7;23,3;2,14;41,3;1.125
1014804009 Plasencia sección 04009;36,1;23,9;8,5;2,82;21,8;1.671
1014804010 Plasencia sección 04010;38,2;20,4;9,3;2,47;27,4;2.463
1014804011 Plasencia sección 04011;36,5;24,7;7,9;2,66;23;2.437
1014804012 Plasencia sección 04012;33,5;28,8;5,5;2,83;19,8;1.668
1014804013 Plasencia sección 04013;33,3;27,9;4,1;2,79;21,6;1.163
1014805 Plasencia distrito 05;39,7;19,6;15,9;2,35;34,5;1.183
1014805001 Plasencia sección 05001;39,7;19,6;15,9;2,35;34,5;1.183
50211 Plasencia de Jalón;50;8,5;28,8;2,19;35,7;306
5021101 Plasencia de Jalón distrito 01;50;8,5;28,8;2,19;35,7;306
5021101001 Plasencia de Jalón sección 01001;50;8,5;28,8;2,19;35,7;306
10149 Plasenzuela;47,6;12;24,9;2,17;37,7;449
1014901 Plasenzuela distrito 01;47,6;12;24,9;2,17;37,7;449
1014901001 Plasenzuela sección 01001;47,6;12;24,9;2,17;37,7;449
50212 Pleitas;.;.;.;.;.;.
5021201 Pleitas distrito 01;.;.;.;.;.;.
5021201001 Pleitas sección 01001;.;.;.;.;.;.
50213 Plenas;56,5;3,8;40,9;2,04;32,7;128
5021301 Plenas distrito 01;56,8;3,8;41,6;2,04;32,7;128
5021301001 Plenas sección 01001;57;3,8;43,2;2,04;32,7;128
48077 Plentzia;43,4;17,5;17,8;2,48;30,1;4.318
4807701 Plentzia distrito 01;43,4;17,5;17,8;2,48;30,1;4.318
4807701001 Plentzia sección 01001;42,3;19;16,2;2,79;20,7;1.928
4807701002 Plentzia sección 01002;44,3;16,2;19;2,28;36,3;2.390
30032 Pliego;42,5;18,7;20,3;2,53;29,3;3.832
3003201 Pliego distrito 01;42,5;18,7;20,3;2,53;29,3;3.832
3003201001 Pliego sección 01001;45,6;16,2;25,3;2,42;30,9;1.314
3003201002 Pliego sección 01002;48,4;12,8;30,1;2,45;30,1;634
3003201003 Pliego sección 01003;37,9;23,1;12,5;2,6;28,5;994
3003201004 Pliego sección 01004;38,8;21,8;14,6;2,7;27;890
44184 Plou;.;.;.;.;.;.
4418401 Plou distrito 01;.;.;.;.;.;.
4418401001 Plou sección 01001;.;.;.;.;.;.
25168 Poal, El;47,1;15;24,7;2,73;22,4;647
2516801 Poal, El distrito 01;47,1;15;24,7;2,73;22,4;647
2516801001 Poal, El sección 01001;47,1;15;24,7;2,73;22,4;647
