CODIGO;NUM_VIVIENDA_TURISTICA;TOTAL_PLAZAS;RATIO_PLAZA_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;MUN;MUN_LITERAL
4618402003;0;0;;0,0;46184;Ontinyent
4618402005;4;23;5,8;1,4;46184;Ontinyent
4618402006;5;39;7,8;1,1;46184;Ontinyent
4618402007;5;26;5,2;1,4;46184;Ontinyent
4618402008;0;0;;0,0;46184;Ontinyent
4618403001;0;0;;0,0;46184;Ontinyent
4618403002;0;0;;0,0;46184;Ontinyent
4618403003;0;0;;0,0;46184;Ontinyent
4618403004;0;0;;0,0;46184;Ontinyent
4618403005;0;0;;0,0;46184;Ontinyent
4618403006;0;0;;0,0;46184;Ontinyent
4618403007;0;0;;0,0;46184;Ontinyent
4618403008;1;5;5,0;0,1;46184;Ontinyent
4618403009;2;13;6,5;0,3;46184;Ontinyent
4618403010;0;0;;0,0;46184;Ontinyent
4618403011;0;0;;0,0;46184;Ontinyent
4618403012;0;0;;0,0;46184;Ontinyent
4618403013;1;2;2,0;0,2;46184;Ontinyent
4618501001;0;0;;0,0;46185;Otos
4618601001;1;4;4,0;0,1;46186;Paiporta
4618601002;3;9;3,0;0,3;46186;Paiporta
4618601003;1;5;5,0;0,1;46186;Paiporta
4618601004;1;5;5,0;0,1;46186;Paiporta
4618601005;2;6;3,0;0,2;46186;Paiporta
4618601006;0;0;;0,0;46186;Paiporta
4618601007;0;0;;0,0;46186;Paiporta
4618601008;0;0;;0,0;46186;Paiporta
4618601009;2;4;2,0;0,2;46186;Paiporta
4618601010;1;6;6,0;0,1;46186;Paiporta
4618601011;0;0;;0,0;46186;Paiporta
4618601012;0;0;;0,0;46186;Paiporta
4618601013;0;0;;0,0;46186;Paiporta
4618601014;1;6;6,0;0,2;46186;Paiporta
4618701001;18;129;7,2;1,4;46187;Palma de Gandía
4618801001;2;6;3,0;0,4;46188;Palmera
4618901001;1;4;4,0;0,3;46189;Palomar, el
4619001001;3;14;4,7;0,5;46190;Paterna
4619001002;2;12;6,0;0,3;46190;Paterna
4619001003;4;13;3,3;0,8;46190;Paterna
4619001004;0;0;;0,0;46190;Paterna
4619001005;0;0;;0,0;46190;Paterna
4619001006;0;0;;0,0;46190;Paterna
4619001007;0;0;;0,0;46190;Paterna
4619001008;0;0;;0,0;46190;Paterna
4619001009;0;0;;0,0;46190;Paterna
4619001010;2;3;1,5;0,3;46190;Paterna
4619001011;2;3;1,5;0,3;46190;Paterna
4619001012;2;6;3,0;0,3;46190;Paterna
4619001013;0;0;;0,0;46190;Paterna
