,business_status,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
84,OPERATIONAL,EF cursos de inglés en el extranjero,4.3,"['point_of_interest', 'establishment']",135.0,39.4739759,-0.3739849,education,0105,point_of_interest
88,OPERATIONAL,Grupo Studio Formación,4.0,"['school', 'point_of_interest', 'establishment']",45.0,39.478155,-0.34712600000000005,education,1325,school
89,OPERATIONAL,Universitat Politècnica de València: ETSIT Telecomunicació,4.3,"['university', 'point_of_interest', 'establishment']",46.0,39.47945050000001,-0.34255599999999997,education,1325,university
90,OPERATIONAL,"UPV - Escuela Técnica Superior de Ingeniería Geodésica, Cartográfica y Topográfica ETSIGCT",4.6,"['university', 'point_of_interest', 'establishment']",16.0,39.4811525,-0.3370268,education,1325,university
91,OPERATIONAL,Servei de Llengües i Política Lingüística de la Universitat de València,4.1,"['university', 'point_of_interest', 'establishment']",27.0,39.474851,-0.342881,education,1325,university
92,OPERATIONAL,University of Valencia,3.9,"['university', 'point_of_interest', 'establishment']",455.0,39.4790511,-0.3590873,education,0624,university
93,OPERATIONAL,Colegio Trafalgar,4.0,"['school', 'point_of_interest', 'establishment']",18.0,39.4614349,-0.3428071,education,1231,school
94,OPERATIONAL,Generalitat Valenciana,1.0,"['point_of_interest', 'establishment']",1.0,39.496788200000005,-0.3642968,education,1533,point_of_interest
96,OPERATIONAL,IES Francesc Ferrer i Guàrdia,4.5,"['secondary_school', 'school', 'point_of_interest', 'establishment']",17.0,39.4819796,-0.355015,education,1401,secondary_school
97,OPERATIONAL,Institut d'Educació Secundària Ramón Llull,3.9,"['secondary_school', 'school', 'point_of_interest', 'establishment']",21.0,39.4759614,-0.3462188,education,1325,secondary_school
98,OPERATIONAL,Valencia Polytechnic University,4.5,"['university', 'point_of_interest', 'establishment']",881.0,39.4807985,-0.34062990000000004,education,1325,university
99,OPERATIONAL,Centre d'Idiomes de la Universitat de València,3.9,"['point_of_interest', 'establishment']",66.0,39.4752835,-0.3452635,education,1325,point_of_interest
100,OPERATIONAL,Institut d'Educació Secundària Ies Font de Sant Lluís,2.6,"['secondary_school', 'school', 'point_of_interest', 'establishment']",61.0,39.4543488,-0.36410040000000005,education,1036,secondary_school
103,OPERATIONAL,IES Orriols,4.2,"['secondary_school', 'school', 'point_of_interest', 'establishment']",29.0,39.4961636,-0.36685100000000004,education,1533,secondary_school
109,OPERATIONAL,FP Valencia - Formación Profesional,4.5,"['point_of_interest', 'establishment']",2.0,39.4656027,-0.3739828,education,0233,point_of_interest
110,OPERATIONAL,Colegio Jesús Maria,3.6,"['school', 'point_of_interest', 'establishment']",47.0,39.4730611,-0.38767440000000003,education,0318,school
111,OPERATIONAL,IES Balears,3.7,"['secondary_school', 'school', 'point_of_interest', 'establishment']",18.0,39.4588061,-0.3411885000000001,education,1232,secondary_school
112,CLOSED_TEMPORARILY,ISED,0.0,"['university', 'school', 'point_of_interest', 'establishment']",0.0,39.4644365,-0.3886312,education,0833,university
113,OPERATIONAL,Grupo Studio Formación,5.0,"['point_of_interest', 'establishment']",1.0,39.47702,-0.3479,education,1324,point_of_interest
129,OPERATIONAL,CFFOLGADO PORT,0.0,"['point_of_interest', 'establishment']",0.0,39.4271732,-0.333818,education,1106,point_of_interest
137,OPERATIONAL,Carmen Laundry Quart,4.4,"['laundry', 'point_of_interest', 'establishment']",26.0,39.477416399999996,-0.3828649,lavanderias,0117,laundry
138,OPERATIONAL,Bugadry • Valencia,4.5,"['laundry', 'point_of_interest', 'establishment']",33.0,39.462688799999995,-0.389336,lavanderias,0840,laundry
139,OPERATIONAL,Ruzafa Laundry,4.7,"['laundry', 'point_of_interest', 'establishment']",11.0,39.461641,-0.37178130000000004,lavanderias,0226,laundry
140,OPERATIONAL,Colada 30,3.9,"['laundry', 'point_of_interest', 'establishment']",20.0,39.4637344,-0.39825370000000004,lavanderias,0822,laundry
141,OPERATIONAL,The Laundry Room Lavanderías Autoservicio,4.8,"['laundry', 'point_of_interest', 'establishment']",48.0,39.494691700000004,-0.3785937,lavanderias,1521,laundry
142,OPERATIONAL,Lavanderia Autoservicio,4.3,"['laundry', 'point_of_interest', 'establishment']",50.0,39.46065,-0.39039959999999996,lavanderias,0814,laundry
143,OPERATIONAL,Lavandería Autoservicio Lavanda Laundry Justo y Pastor,4.4,"['laundry', 'point_of_interest', 'establishment']",47.0,39.46946500000001,-0.347995,lavanderias,1205,laundry
144,OPERATIONAL,LAVANDERÍA ECOLAUNDRY,4.6,"['laundry', 'point_of_interest', 'establishment']",23.0,39.479425899999995,-0.3978793,lavanderias,0406,laundry
146,OPERATIONAL,California Laundry,5.0,"['laundry', 'point_of_interest', 'establishment']",8.0,39.461004100000004,-0.37137509999999996,lavanderias,0226,laundry
147,OPERATIONAL,pilar lavanderia,4.4,"['laundry', 'point_of_interest', 'establishment']",12.0,39.4570817,-0.36668670000000003,lavanderias,1004,laundry
148,OPERATIONAL,la lavandería blue-wash line,3.7,"['laundry', 'point_of_interest', 'establishment']",53.0,39.472652200000006,-0.38108759999999997,lavanderias,0123,laundry
149,OPERATIONAL,Lacolada Clean & Dry,4.5,"['laundry', 'point_of_interest', 'establishment']",12.0,39.466988,-0.4142605,lavanderias,0739,laundry
