,type,properties.coddistrit,properties.codsec,properties.coddistsec,geometry.type,geometry.coordinates
20,Feature,19,5,1905,Polygon,"[[[-0.359081986831602, 39.43392075305194], [-0.356394657249097, 39.433021855720256], [-0.355413102023172, 39.43269323188321], [-0.351137649995377, 39.431267092580754], [-0.348960346781856, 39.43053717125399], [-0.346080506066041, 39.429534385606075], [-0.344116830062167, 39.42233215678668], [-0.344120351825805, 39.421323284922416], [-0.345780337011326, 39.421406341616915], [-0.350109199418963, 39.42226658389348], [-0.353611792783548, 39.42202214854005], [-0.357167497772416, 39.41954913895837], [-0.358031321330015, 39.419780480680146], [-0.358936448039556, 39.4196298910812], [-0.360050330601735, 39.41971825909698], [-0.361834789613854, 39.41925430159767], [-0.362676203190736, 39.41936798886693], [-0.363320999776222, 39.419594320737225], [-0.363954495299058, 39.419793367041706], [-0.364769180803221, 39.41994246721291], [-0.364809125654914, 39.42024966406217], [-0.364644404323028, 39.4209981437317], [-0.365488618177214, 39.421269524145835], [-0.366345951771631, 39.42163578568728], [-0.367673709126163, 39.4222334070265], [-0.368078582009206, 39.422431756720755], [-0.36753724779633, 39.423311343436865], [-0.366905202100576, 39.42488253116911], [-0.366370786520171, 39.424730788780025], [-0.366144539956767, 39.42524365338968], [-0.363999295392225, 39.424645491725315], [-0.3642032164595, 39.425897801791336], [-0.364135895509944, 39.42645030090511], [-0.363329577989907, 39.42655812930133], [-0.362090734642988, 39.42643092112529], [-0.362024011745705, 39.427447372684234], [-0.361928946817601, 39.428080317367275], [-0.361844853694424, 39.42846127164657], [-0.361608255477716, 39.42913154128643], [-0.361277646976951, 39.429849222720904], [-0.359081986831602, 39.43392075305194]]]"
21,Feature,19,14,1914,Polygon,"[[[-0.389515064218595, 39.43258596445956], [-0.389927875271102, 39.43041966534555], [-0.390147044781582, 39.42995614149127], [-0.390618113267768, 39.428133473291744], [-0.390447817872245, 39.42806658933418], [-0.391073239109275, 39.42675636958742], [-0.394022139936941, 39.42722792008892], [-0.392444809146164, 39.43103019591758], [-0.391599097707997, 39.43304715553013], [-0.389515064218595, 39.43258596445956]]]"
22,Feature,19,3,1903,Polygon,"[[[-0.37060241985682, 39.43225416563626], [-0.369265780474145, 39.43180952090667], [-0.368600677608762, 39.431289983431284], [-0.367972124436418, 39.43114962921493], [-0.367322148706327, 39.43065294850895], [-0.366949578997754, 39.43104088371832], [-0.36537186842087, 39.43048262949885], [-0.363436502810677, 39.430186496516505], [-0.363618675353492, 39.42915014217308], [-0.363945976381575, 39.427999968284205], [-0.364135895509944, 39.42645030090511], [-0.3642032164595, 39.425897801791336], [-0.363999295392225, 39.424645491725315], [-0.366144539956767, 39.42524365338968], [-0.366370786520171, 39.424730788780025], [-0.366905202100576, 39.42488253116911], [-0.36753724779633, 39.423311343436865], [-0.368078582009206, 39.422431756720755], [-0.369354408641596, 39.42305971292798], [-0.370594817301221, 39.42358775971784], [-0.371297338886271, 39.42388291803454], [-0.371947143553595, 39.424190392864546], [-0.371358721087684, 39.42562746358487], [-0.372328180257413, 39.42612233754493], [-0.371471306503947, 39.428017278940885], [-0.370920158116015, 39.42936960807456], [-0.370723075270685, 39.43055427870095], [-0.37060241985682, 39.43225416563626]]]"
23,Feature,10,24,1024,Polygon,"[[[-0.378433989009587, 39.45582664006517], [-0.377911241231218, 39.455067116437895], [-0.378174269840247, 39.45407758192607], [-0.378438874627609, 39.45287187153838], [-0.38167753489675, 39.45319714151625], [-0.381238918735626, 39.45462866159628], [-0.379835745550156, 39.45522764340044], [-0.378433989009587, 39.45582664006517]]]"
24,Feature,19,4,1904,Polygon,"[[[-0.363436502810677, 39.430186496516505], [-0.361277646976951, 39.429849222720904], [-0.361608255477716, 39.42913154128643], [-0.361844853694424, 39.42846127164657], [-0.361928946817601, 39.428080317367275], [-0.362024011745705, 39.427447372684234], [-0.362090734642988, 39.42643092112529], [-0.363329577989907, 39.42655812930133], [-0.364135895509944, 39.42645030090511], [-0.363945976381575, 39.427999968284205], [-0.363618675353492, 39.42915014217308], [-0.363436502810677, 39.430186496516505]]]"
25,Feature,19,6,1906,Polygon,"[[[-0.337642305425486, 39.42657078146516], [-0.336845808955185, 39.42636330853149], [-0.336054603693964, 39.426340625262], [-0.335023697352353, 39.42504673905885], [-0.334187768370491, 39.42187906670896], [-0.3403743362208, 39.42109778160772], [-0.340401965477975, 39.42121102147721], [-0.342433529400889, 39.42123958948651], [-0.344120351825805, 39.421323284922416], [-0.344116830062167, 39.42233215678668], [-0.346080506066041, 39.429534385606075], [-0.337642305425486, 39.42657078146516]]]"
26,Feature,19,7,1907,Polygon,"[[[-0.350109199418963, 39.42226658389348], [-0.345780337011326, 39.421406341616915], [-0.344120351825805, 39.421323284922416], [-0.342433529400889, 39.42123958948651], [-0.340401965477975, 39.42121102147721], [-0.3403743362208, 39.42109778160772], [-0.334187768370491, 39.42187906670896], [-0.333587028149447, 39.41955008065739], [-0.333140386980367, 39.41702645078835], [-0.330885406767483, 39.40820034040951], [-0.328091948146294, 39.39765920172644], [-0.328767508533673, 39.39240030831035], [-0.329330910111584, 39.39174665159683], [-0.329946576355461, 39.391130228210955], [-0.33089641782236, 39.39145386533725], [-0.330808631609023, 39.39038884632363], [-0.331372392909679, 39.38905955061944], [-0.331798225822192, 39.38689378234773], [-0.33204495204898, 39.38489503554787], [-0.334409366638321, 39.385129541206226], [-0.334462251304255, 39.38353172120158], [-0.335255802662981, 39.38344184068258], [-0.336081147268443, 39.385604848799495], [-0.33751415838652, 39.3852999102882], [-0.341275309892692, 39.38847610847646], [-0.343809588687681, 39.39152047903609], [-0.345163407720307, 39.39393422378612], [-0.347264309458133, 39.39729742588176], [-0.348788391756525, 39.398404284302295], [-0.349234516986356, 39.39934686504655], [-0.350454164790833, 39.40054133732755], [-0.351026159452322, 39.40256781529199], [-0.350798041414382, 39.407436237235004], [-0.349584211875215, 39.415651325252746], [-0.350109199418963, 39.42226658389348]]]"
27,Feature,10,28,1028,Polygon,"[[[-0.378438874627609, 39.45287187153838], [-0.377681145164418, 39.452742163751005], [-0.37630737651193, 39.45261656007731], [-0.37578629213468, 39.45245164362416], [-0.374305496337421, 39.450382207290225], [-0.374079837729963, 39.45004828737358], [-0.375010457318267, 39.450195437671496], [-0.375402233067182, 39.45024482713617], [-0.375714302774419, 39.45026989319783], [-0.37594187155859, 39.45030205894795], [-0.376263141537234, 39.450372375207394], [-0.376820975153528, 39.45058316305608], [-0.378948498674617, 39.450865401636946], [-0.378980833286062, 39.451532780788504], [-0.378774493875029, 39.45228936813277], [-0.378438874627609, 39.45287187153838]]]"
28,Feature,9,19,0919,Polygon,"[[[-0.392564470423871, 39.45310412433538], [-0.390898231626427, 39.452427098529114], [-0.391848723966441, 39.451052075394], [-0.393499312193859, 39.45171972774419], [-0.392564470423871, 39.45310412433538]]]"
29,Feature,9,22,0922,Polygon,"[[[-0.390898231626427, 39.452427098529114], [-0.390518112708698, 39.453017646773404], [-0.388666983288999, 39.45225535761205], [-0.388795654444443, 39.451591599192405], [-0.388856947251435, 39.45127316470454], [-0.390129796687141, 39.45143689264302], [-0.390008277756317, 39.45206477811406], [-0.390898231626427, 39.452427098529114]]]"
